time,open,high,low,close
1787004001,30082.5,30082.75,30076.5,30079.5
1787004002,30079.25,30086.25,30079.25,30086.25
1787004003,30082.25,30084.5,30082.0,30084.5
1787004004,30084.75,30086.5,30084.5,30086.0
1787004005,30086.75,30088.0,30084.5,30088.0
1787004006,30088.0,30088.0,30085.25,30085.25
1787004007,30086.0,30088.0,30086.0,30087.75
1787004008,30086.0,30087.5,30086.0,30087.5
1787004009,30087.25,30087.25,30085.75,30085.75
1787004010,30087.25,30087.25,30087.0,30087.0
1787004011,30086.5,30086.5,30084.25,30084.25
1787004012,30084.0,30086.5,30084.0,30086.5
1787004013,30086.5,30086.5,30086.5,30086.5
1787004014,30085.0,30086.25,30083.25,30086.25
1787004015,30085.25,30085.25,30085.25,30085.25
1787004016,30085.25,30085.25,30085.25,30085.25
1787004017,30085.25,30085.25,30085.25,30085.25
1787004018,30085.0,30085.0,30084.75,30084.75
1787004019,30086.25,30086.25,30086.25,30086.25
1787004020,30086.5,30086.5,30086.5,30086.5
1787004021,30086.5,30086.75,30086.25,30086.25
1787004022,30086.25,30086.25,30086.25,30086.25
1787004023,30086.25,30086.25,30086.25,30086.25
1787004024,30086.25,30086.25,30086.25,30086.25
1787004025,30084.5,30084.5,30084.5,30084.5
1787004026,30085.25,30086.5,30084.5,30086.5
1787004027,30086.5,30086.5,30086.5,30086.5
1787004028,30087.25,30087.25,30085.75,30085.75
1787004029,30086.25,30086.25,30086.25,30086.25
1787004030,30086.25,30086.25,30085.0,30085.0
1787004031,30086.5,30086.5,30085.5,30085.5
1787004032,30085.5,30085.5,30085.5,30085.5
1787004033,30085.5,30085.5,30085.5,30085.5
1787004034,30087.0,30087.5,30086.5,30086.5
1787004035,30087.75,30087.75,30087.75,30087.75
1787004036,30086.5,30087.75,30086.5,30087.75
1787004037,30086.25,30088.0,30086.25,30088.0
1787004038,30088.0,30088.0,30088.0,30088.0
1787004039,30088.0,30088.0,30088.0,30088.0
1787004040,30085.75,30086.75,30085.25,30086.75
1787004041,30086.5,30086.5,30086.5,30086.5
1787004042,30088.0,30089.0,30088.0,30089.0
1787004043,30089.25,30091.0,30089.25,30091.0
1787004044,30089.5,30090.25,30089.5,30090.25
1787004045,30090.5,30090.5,30090.5,30090.5
1787004046,30088.25,30088.5,30085.75,30088.5
1787004047,30087.75,30087.75,30087.75,30087.75
1787004048,30087.75,30087.75,30087.75,30087.75
1787004049,30087.75,30087.75,30087.75,30087.75
1787004050,30087.75,30087.75,30087.75,30087.75
1787004051,30088.0,30088.0,30086.0,30086.75
1787004052,30085.0,30085.0,30082.0,30082.0
1787004053,30082.25,30082.25,30082.0,30082.0
1787004054,30082.5,30082.5,30082.5,30082.5
1787004055,30082.5,30082.5,30082.5,30082.5
1787004056,30082.5,30082.5,30082.5,30082.5
1787004057,30080.75,30080.75,30080.75,30080.75
1787004058,30080.75,30083.0,30080.75,30083.0
1787004059,30081.75,30081.75,30081.75,30081.75
1787004060,30082.25,30082.25,30082.25,30082.25
1787004061,30082.5,30082.5,30082.5,30082.5
1787004062,30082.5,30082.5,30082.5,30082.5
1787004063,30085.75,30086.5,30085.0,30086.5
1787004064,30086.0,30086.0,30085.75,30085.75
1787004065,30086.25,30086.25,30084.25,30084.25
1787004066,30084.5,30085.0,30081.5,30085.0
1787004067,30085.0,30085.0,30085.0,30085.0
1787004068,30085.0,30085.0,30085.0,30085.0
1787004069,30086.0,30086.0,30086.0,30086.0
1787004070,30086.75,30087.25,30086.75,30087.25
1787004071,30086.0,30086.0,30086.0,30086.0
1787004072,30085.0,30085.0,30085.0,30085.0
1787004073,30083.75,30083.75,30083.0,30083.0
1787004074,30082.5,30082.5,30082.5,30082.5
1787004075,30082.5,30082.5,30082.5,30082.5
1787004076,30082.5,30082.5,30082.5,30082.5
1787004077,30085.25,30085.25,30085.25,30085.25
1787004078,30085.25,30085.25,30085.25,30085.25
1787004079,30086.0,30086.5,30086.0,30086.5
1787004080,30085.75,30085.75,30085.5,30085.5
1787004081,30084.5,30084.75,30084.5,30084.75
1787004082,30084.0,30084.0,30084.0,30084.0
1787004083,30084.0,30084.0,30084.0,30084.0
1787004084,30084.0,30084.0,30084.0,30084.0
1787004085,30084.0,30084.0,30084.0,30084.0
1787004086,30084.0,30084.0,30084.0,30084.0
1787004087,30084.0,30084.0,30084.0,30084.0
1787004088,30084.75,30084.75,30084.75,30084.75
1787004089,30084.75,30084.75,30084.75,30084.75
1787004090,30084.75,30084.75,30084.75,30084.75
1787004091,30084.5,30084.5,30084.25,30084.25
1787004092,30083.0,30083.0,30083.0,30083.0
1787004093,30082.25,30083.0,30081.0,30083.0
1787004094,30083.25,30084.25,30082.75,30082.75
1787004095,30084.5,30084.5,30084.5,30084.5
1787004096,30081.0,30081.0,30081.0,30081.0
1787004097,30082.75,30082.75,30082.75,30082.75
1787004098,30083.25,30083.25,30083.25,30083.25
1787004099,30083.25,30083.25,30083.25,30083.25
1787004100,30083.25,30083.25,30083.25,30083.25
1787004101,30083.25,30083.25,30083.25,30083.25
1787004102,30083.25,30083.25,30083.25,30083.25
1787004103,30084.0,30085.25,30084.0,30085.25
1787004104,30085.25,30085.25,30085.25,30085.25
1787004105,30084.5,30084.5,30084.25,30084.25
1787004106,30084.25,30084.25,30084.25,30084.25
1787004107,30084.25,30084.25,30084.25,30084.25
1787004108,30083.75,30083.75,30083.75,30083.75
1787004109,30083.75,30083.75,30083.75,30083.75
1787004110,30083.75,30083.75,30083.75,30083.75
1787004111,30083.75,30083.75,30083.75,30083.75
1787004112,30083.75,30083.75,30083.75,30083.75
1787004113,30083.75,30083.75,30083.75,30083.75
1787004114,30083.75,30083.75,30083.75,30083.75
1787004115,30083.75,30083.75,30083.75,30083.75
1787004116,30083.75,30083.75,30083.75,30083.75
1787004117,30083.75,30083.75,30083.75,30083.75
1787004118,30083.75,30083.75,30083.75,30083.75
1787004119,30083.75,30083.75,30083.75,30083.75
1787004120,30085.0,30086.0,30085.0,30086.0
1787004121,30086.25,30086.25,30086.25,30086.25
1787004122,30086.25,30086.5,30086.25,30086.5
1787004123,30086.5,30086.5,30086.5,30086.5
1787004124,30086.5,30086.5,30086.5,30086.5
1787004125,30086.5,30086.5,30086.5,30086.5
1787004126,30086.75,30087.25,30086.0,30086.0
1787004127,30085.0,30085.0,30082.5,30082.5
1787004128,30085.5,30085.5,30085.5,30085.5
1787004129,30085.5,30085.5,30085.5,30085.5
1787004130,30085.75,30085.75,30085.75,30085.75
1787004131,30085.75,30085.75,30084.5,30084.5
1787004132,30084.5,30084.5,30084.25,30084.25
1787004133,30084.25,30084.25,30084.25,30084.25
1787004134,30084.25,30084.25,30084.25,30084.25
1787004135,30085.5,30085.5,30085.5,30085.5
1787004136,30085.5,30085.5,30085.5,30085.5
1787004137,30085.5,30085.5,30085.5,30085.5
1787004138,30082.75,30082.75,30082.75,30082.75
1787004139,30084.25,30086.0,30084.25,30086.0
1787004140,30086.25,30087.0,30086.25,30087.0
1787004141,30087.0,30087.0,30087.0,30087.0
1787004142,30087.0,30087.0,30087.0,30087.0
1787004143,30086.0,30086.0,30086.0,30086.0
1787004144,30084.75,30084.75,30084.75,30084.75
1787004145,30084.75,30084.75,30084.75,30084.75
1787004146,30084.75,30084.75,30084.75,30084.75
1787004147,30084.75,30084.75,30084.75,30084.75
1787004148,30084.75,30084.75,30084.75,30084.75
1787004149,30085.75,30086.5,30085.75,30086.5
1787004150,30086.25,30086.25,30085.75,30085.75
1787004151,30086.5,30086.5,30086.5,30086.5
1787004152,30086.5,30086.5,30086.5,30086.5
1787004153,30086.75,30089.0,30086.75,30089.0
