symbol,hour,offset,n,expansion_rate,med_dir,med_range,med_netto,med_mfe_20,med_mfe_60
AUDUSD,0,0,3972,0.2858,0.4620,4.3868,1.9286,3.4000,5.9167
AUDUSD,0,10,3925,0.2734,0.4615,4.3333,1.9000,3.3889,6.0769
AUDUSD,0,20,3944,0.2825,0.4600,4.3333,1.9091,3.4286,6.1538
AUDUSD,0,30,3971,0.2833,0.4500,4.3750,1.9167,3.3600,6.3333
AUDUSD,0,40,3979,0.2780,0.4595,4.3846,1.9167,3.3846,6.4615
AUDUSD,0,50,4086,0.2952,0.4638,4.7500,2.0625,3.7273,6.5714
AUDUSD,1,0,4167,0.3218,0.4769,5.0714,2.3000,4.0000,6.8750
AUDUSD,1,10,4159,0.3109,0.4762,4.8571,2.1667,3.8095,7.2353
AUDUSD,1,20,4226,0.2939,0.4592,5.0000,2.1000,3.8536,7.6471
AUDUSD,1,30,4276,0.3218,0.4857,5.1818,2.3333,4.0000,8.0607
AUDUSD,1,40,4397,0.3125,0.4615,5.2143,2.3333,4.0000,8.3333
AUDUSD,1,50,4622,0.3382,0.4706,6.3333,2.8182,4.8787,8.6250
AUDUSD,2,0,4822,0.3430,0.4689,7.0000,3.0769,5.3604,9.0000
AUDUSD,2,10,4810,0.3322,0.4667,6.5000,3.0000,5.0000,9.1429
AUDUSD,2,20,4851,0.3379,0.4684,6.5000,2.9091,5.0000,9.3333
AUDUSD,2,30,4919,0.3269,0.4690,6.5833,3.0000,5.0833,9.3846
AUDUSD,2,40,4930,0.3310,0.4706,6.5000,3.0000,5.0000,9.5385
AUDUSD,2,50,5013,0.3395,0.4648,7.5000,3.3333,5.8333,9.6923
AUDUSD,3,0,5053,0.3550,0.4821,7.8333,3.5000,6.0000,9.6985
AUDUSD,3,10,4991,0.3446,0.4737,7.2000,3.2727,5.6364,9.5000
AUDUSD,3,20,4961,0.3447,0.4737,7.0588,3.1818,5.5000,9.2727
AUDUSD,3,30,4949,0.3376,0.4595,6.8889,3.0000,5.2727,9.0000
AUDUSD,3,40,4899,0.3415,0.4722,6.6667,3.0000,5.1429,8.9091
AUDUSD,3,50,4907,0.3395,0.4697,6.9333,3.0000,5.2500,8.8333
AUDUSD,4,0,4907,0.3505,0.4746,6.9000,3.0000,5.3333,8.5963
AUDUSD,4,10,4840,0.3483,0.4848,6.4000,3.0000,5.0000,8.3333
AUDUSD,4,20,4811,0.3259,0.4559,6.4000,2.7778,4.9000,8.1381
AUDUSD,4,30,4823,0.3344,0.4667,6.2727,2.7857,4.9286,8.0000
AUDUSD,4,40,4792,0.3345,0.4634,6.0000,2.6667,4.6667,7.7778
AUDUSD,4,50,4775,0.3171,0.4545,6.1000,2.6111,4.6923,7.6172
AUDUSD,5,0,4744,0.3314,0.4615,6.0000,2.6667,4.6667,7.4760
AUDUSD,5,10,4695,0.3263,0.4681,5.6667,2.5000,4.3846,7.3333
AUDUSD,5,20,4651,0.3253,0.4545,5.6000,2.4615,4.3000,7.3060
AUDUSD,5,30,4607,0.3147,0.4590,5.4762,2.4286,4.2222,7.2727
AUDUSD,5,40,4571,0.3065,0.4526,5.3636,2.3103,4.0870,7.2143
AUDUSD,5,50,4538,0.3186,0.4571,5.5833,2.4286,4.2500,7.1250
AUDUSD,6,0,4546,0.3308,0.4655,5.6429,2.5000,4.3333,7.1333
AUDUSD,6,10,4454,0.3229,0.4615,5.3333,2.3571,4.1429,7.0562
AUDUSD,6,20,4411,0.3246,0.4667,5.2727,2.3571,4.0952,7.1667
AUDUSD,6,30,4392,0.3240,0.4694,5.2500,2.3604,4.0000,7.2164
AUDUSD,6,40,4416,0.3019,0.4539,5.2546,2.2917,4.0769,7.2857
AUDUSD,6,50,4448,0.3147,0.4545,5.5477,2.4000,4.2500,7.3604
AUDUSD,7,0,4543,0.3238,0.4516,5.6429,2.4444,4.3077,7.5000
AUDUSD,7,10,4501,0.3186,0.4615,5.3571,2.4000,4.1250,7.6283
AUDUSD,7,20,4514,0.3257,0.4615,5.5000,2.5000,4.2792,7.8333
AUDUSD,7,30,4526,0.3372,0.4815,5.6667,2.5455,4.3636,8.1250
