id,typ,modus,datum,wochentag,kw,monat,instrument,tags,bias,bias_korrekt,session_profile,session_high,session_low,zeit_entry,zeit_exit,haltedauer_min,session,macro,im_fenster,modell,richtung,entry,stop,target,exit_preis,kontrakte,punkte,risiko_pct,risiko_betrag,rr_geplant,rr_real,resultat,ergebnis_r,ergebnis_betrag,check_liq_sweep,check_displacement,check_consolidation,check_zeitfenster,check_ms_break,check_entry,check_macro_expansion,check_target_liq,checks_erfuellt,checks_gesamt,zeit_liq_sweep,zeit_displacement,zeit_ms_break,pd_arrays,liquidity_ziel,emotion_vorher,emotion_waehrend,emotion_nachher,fehler_belegt,fehler_vermutet,datenluecken,screenshots,seite
2026-06-04-01,tape-reading,live,2026-06-04,Donnerstag,2026-W23,2026-06,MNQ,London,Baerish,,,,,,,,,,,London,,,,,,4,-15.75,,,,,Loss,,-126,ja,nein,ja,nein,ja,nein,nein,nein,3,8,,,03:19,,,,,,S01;T03;S12;S13;S05;P10;P07,,"Original enthält keine Entry-/Exit-Zeit und keine Preise; Ergebnis stammt aus dem Lucid-Konto (04.06.2026: -126,00 USD, 4 Kontrakte, 0 % Trefferquote).",,journal/entries/2026-06-04 MNQ Tape Reading.md
2026-07-31-01,tape-reading,replay,2026-07-31,Freitag,2026-W31,2026-07,MNQ,Tapereading;NY-AM,Bullish,,,,,09:50,,,NY AM,Macro 09:50,nein,Silver Bullet,,,,,,,,,,,,,,,ja,,,ja,,nein,,,2,8,09:47,,,Fair Value Gap (FVG);BISI & SIBI (Buyside-Sellside Imbalance),,,,frustriert,,,"S01;S11;S02;S13;S05;Checkliste nur teilweise belegbar: Displacement, Consolidation, MS Break, Macro Expansion und Target-Liquidität sind im Chart nicht annotiert und wurden bewusst nicht geraten.",2026-07-31-replay-02.png;2026-07-31-replay-01.png;2026-07-31-replay-05.png;2026-07-31-replay-03.png;2026-07-31-replay-04.png,journal/entries/2026-07-31 MNQ 0950 Tape Reading.md
2026-08-03-01,weekly-bias,live,2026-08-03,Montag,2026-W32,2026-08,MNQ,Weekly-Bias,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Week Opening Gap (NWOG) Bias;BISI & SIBI (Buyside-Sellside Imbalance);IFVG (Inverse Fair Value Gap);Fair Value Gap (FVG);ORG (Opening Range Gap) & 1st Presented FVG;Equilibrium Vs. Discount;Open Float & Liquidity Pools;COT (Commitment of Traders) Data,"Buyside Liquidity 29.363,50 (Daily) — ca. 727 Punkte ueber dem Montag-Open",,,,,S09;S08,"P09;Kein Invalidierungslevel fuer den Bullish-Bias genannt — vorgeschlagen: Daily-Close unter 28.284,00.;Kein RTH-Chart unter den Screenshots, obwohl im Text darauf Bezug genommen wird.;DXY / SMT fehlen, obwohl 'DXY zuerst' Schritt 2 der eigenen ICT Day Trade Routine ist.;Seasonal Tendency fehlt, obwohl das Wiki COT ausdruecklich mit Seasonals und SMT kombiniert.;'0,25 der Premium Wick' im Weekly ohne Preisangabe — nicht nachpruefbar.;Kein Plan fuer Dienstag bis Donnerstag; die Woche ist nur ueber Montag und Freitag gedacht.;Keine Angabe zur Gefuehlslage beim Erstellen des Bias.",2026-08-03-01.png;2026-08-03-02.png;2026-08-03-03.png;2026-08-03-04.png;2026-08-03-05.png;2026-08-03-newskalender.png;2026-08-03-cot.png,journal/entries/2026-08-03 MNQ Weekly Bias.md
2026-08-03-02,daily-bias,live,2026-08-03,Montag,2026-W32,2026-08,MNQ,Daily-Bias,Bullish,,,,,,,,,,,NY PM Silver Bullet,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volume Imbalance (VII);New Week Opening Gap (NWOG) Bias;Judas Swing;Open Float & Liquidity Pools;ORG (Opening Range Gap) & 1st Presented FVG;Equilibrium Vs. Discount;ICT Daily Range Session Timing,"Buyside-Cluster 28.725,75–28.763,75 (Freitags-High 31.07 + Montags-High 27.07)",,,,S08,T03,"P09;Keine Angabe zur Gefuehlslage.;'Bellweather Chart' hat keine Wiki-Seite — beim dritten Auftreten anlegen.;Keine Rangfolge zwischen Daily-DOL (28.725,75–28.763,75), ORG-Rest (bis 29.249,75) und Weekly-DOL (29.363,50).;Kein Plan fuer den Fall, dass der Tagesmove in der AM-Session ablaeuft und um 14:00 nichts mehr steht.",2026-08-03-06.png;2026-08-03-07.png;2026-08-03-daily-markup.png;2026-08-03-08.png,journal/entries/2026-08-03 MNQ Daily Bias.md
2026-08-04-01,trade,live,2026-08-04,Dienstag,2026-W32,2026-08,MNQ,NY-AM-Trade,Bullish,ja,,,,09:58,10:02,4,NY AM,Macro 09:50,nein,Silver Bullet,short,29453,29488,29185,29488,4,-35,1.12,280.0,7.66,1.0,Loss,-1.0,-280.0,ja,ja,nein,ja,ja,nein,nein,ja,5,8,09:36,09:44,,ORG (Opening Range Gap) & 1st Presented FVG;BISI & SIBI (Buyside-Sellside Imbalance);Fair Value Gap (FVG);New Week Opening Gap (NWOG) Bias;Open Float & Liquidity Pools,Sellside Liquidity 29.185 — Rücklauf ins ORG Richtung C.E 29.073,fokussiert,frustriert;unsicher,frustriert,R01;R08;S12;R03;S13;S11;S07;P10,,"Exakte Entry-Zeit unbelegt: die Position war um 09:58:47 lokal bereits offen und mit −38 USD im Minus, der tatsächliche Fill lag wahrscheinlich zwischen 09:55 und 09:57. 09:58 ist hier als späteste mögliche Zeit eingetragen.;Exakte Zeiten für Displacement und MS Break nicht annotiert — nur der Liq Sweep (09:36) ist belegt.;Kommission/Gebühren nicht erfasst; −280,00 USD ist das reine Preisergebnis (35 Punkte × 4 MNQ × 2 USD).;Die Notizen „Daily Bias 04.08.26.md“ und „Weekly Bias KW 32.md“ aus dem VS-Code-Screenshot liegen nicht im Repo — sie sind auf dem anderen Rechner ungespeichert/uncommitted. Inhalt hier nur aus dem Screenshot übernommen.",2026-08-04-06.png;2026-08-04-07.png;2026-08-04-09.png;2026-08-04-05.png;2026-08-04-01.png;2026-08-04-02.png;2026-08-04-03.png;2026-08-04-04.png;2026-08-04-18.png;2026-08-04-19.png;2026-08-04-20.png;2026-08-04-12.png;2026-08-04-13.png;2026-08-04-08.png;2026-08-04-10.png;2026-08-04-11.png;2026-08-04-15.png;2026-08-04-16.png;2026-08-04-14.png;2026-08-04-17.png,journal/entries/2026-08-04 MNQ 0958 Silver Bullet.md
2026-08-05-01,tape-reading,live,2026-08-05,Mittwoch,2026-W32,2026-08,MNQ,Tapereading;London,Baerish,ja,,,29895.75,,,,,,,Silver Bullet,,,,,,,,,,,,,,,ja,ja,,ja,ja,nein,ja,ja,6,8,03:00,03:09,03:10,New Week Opening Gap (NWOG) Bias;BISI & SIBI (Buyside-Sellside Imbalance);Fair Value Gap (FVG);IFVG (Inverse Fair Value Gap);CISD (Change in State of Delivery);Open Float & Liquidity Pools;ICT Macros & Leading Candles;Silver Bullet Model,"Minor Sellside-Liq 29.920,25 (mehrfach getestetes 1m-Low aus der Asia-/Fruehen-London-Phase) — um 03:27 genommen",fokussiert,fomo,,S12;R01,,"S11;Checklistenpunkt 'Anhaltende Consolidation' nicht annotiert. Zwischen 02:30 und 02:55 lief eine Range um den NWOG, aber er hat sie nirgends als Konsolidierungsphase markiert — deshalb leer statt 'nein'.;Kein Daily-Bias-Eintrag fuer den 05.08. vorhanden; der Baerish-Bias hier ist ein Session-Bias fuer London, kein Tagesbias.;Gefuehlslage NACH der Session nicht genannt.;Das SMT-Signal ES/YM wurde zweimal geprueft, aber nie als Argument notiert — im Nachhinein nicht rekonstruierbar, wie stark es in die Entscheidung eingegangen ist.;Kein zweites Ziel unterhalb 29.920,25 definiert (Sellside Liquidity 29.842,25 und NDOG 29.819,50 lagen bereit) — der Move lief nach dem DOL noch 19 Punkte weiter.",2026-08-05-05.png;2026-08-05-14.png;2026-08-05-04.png;2026-08-05-15.png;2026-08-05-16.png;2026-08-05-17.png;2026-08-05-21.png;2026-08-05-25.png;2026-08-05-24.png;2026-08-05-01.png;2026-08-05-03.png;2026-08-05-11.png;2026-08-05-26.png;2026-08-05-23.png;2026-08-05-02.png;2026-08-05-06.png;2026-08-05-07.png;2026-08-05-08.png;2026-08-05-09.png;2026-08-05-13.png;2026-08-05-18.png;2026-08-05-19.png;2026-08-05-20.png;2026-08-05-22.png;2026-08-05-10.png;2026-08-05-12.png,journal/entries/2026-08-05 MNQ Tape Reading.md
2026-08-06-01,daily-bias,live,2026-08-06,Donnerstag,2026-W32,2026-08,MNQ,Daily-Bias,Bullish,,,,,,,,,,,kein Trade (No-Trading-Tag laut eigener Regel),,,,,,,,,,,,,,,,,,,,,,,,,,,,New Week Opening Gap (NWOG) Bias;New Day Opening Gap (NDOG);IFVG (Inverse Fair Value Gap);BISI & SIBI (Buyside-Sellside Imbalance);Market Structure Shift (MSS);Judas Swing;Silver Bullet Model;Open Float & Liquidity Pools;Breakaway Gap,"REH-Cluster 30.062,50-30.094,00 (06.07/10.07/15.07); naeher: Daily-BISI-Oberkante ~29.775,50; Invalidierung Close unter BISI-C.E. 29.370,25",,,,,,Tag laeuft noch (Daten bis 02:05 NY); bias_korrekt erst im Nachtrag; Dienstag-NY-AM-Sellside-Level nicht verifiziert; kein Screenshot,,journal/entries/2026-08-06 MNQ Daily Bias.md
2026-08-07-01,daily-bias,live,2026-08-07,Freitag,2026-W32,2026-08,MNQ,Daily-Bias,Neutral,,,,,,,,,,,kein Trade (NFP-Freitag laut eigener Regel),,,,,,,,,,,,,,,,,,,,,,,,,,,,ORG (Opening Range Gap) & 1st Presented FVG;New Week Opening Gap (NWOG) Bias;IFVG (Inverse Fair Value Gap);BISI & SIBI (Buyside-Sellside Imbalance);TGIF (Thank God its Friday);Fair Value Gap (FVG),"Kein aktiver Bias; ORG 04.08 offen 28.927,25-29.234,25 (DOL-Kandidat abwaerts); REH-Cluster 30.062,50-30.094,00 weiterhin offen aufwaerts",,,,,,Tag laeuft noch (Daten bis 06:20 NY); bias_korrekt erst im Nachtrag; kein Screenshot; '2 Drives Pattern'-Frage unbeantwortet,,journal/entries/2026-08-07 MNQ Daily Bias.md
2026-08-10-01,weekly-bias,live,2026-08-10,Montag,2026-W33,2026-08,MNQ,Weekly-Bias,Bullish,,,,,,,,,,,Weekly Range Trading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Week Opening Gap (NWOG) Bias;Volume Imbalance (VII);Chain of Custody (Q-Validation);Suspension Block;Weekly Range Trading Model;Market Structure Shift (MSS),"Buyside 30.094,00 (nahezu perfekte Buyside im Weekly/Daily) — danach erwartetes Retracement zum Daily Suspension Block vom 04.08.",,,,P07,,"P09;NWOG-Freitag-Close im Text als 28.841,00 notiert; sein eigener Chart labelt NWOG 33 bei 29.841,00 / 29.851,50 — im Eintrag sind die Chart-Werte verwendet, der Text hat vermutlich einen Zahlendreher.;bias_korrekt fuer die Woche steht noch aus — nachtragen, wenn Buyside 30.094,00 genommen ist oder die Woche schliesst.",,journal/entries/2026-08-10 MNQ Weekly Bias.md
2026-08-10-02,daily-bias,live,2026-08-10,Montag,2026-W33,2026-08,MNQ,Daily-Bias,Bullish,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chain of Custody (Q-Validation);New Week Opening Gap (NWOG) Bias;BISI & SIBI (Buyside-Sellside Imbalance);Fair Value Gap (FVG);Order Block,"C.E. der Premium Wick vom Mittwoch 05.08. — Close darueber oder darunter entscheidet; Daily BISI, falls hoeher als Donnerstag geschlossen wird",,,,P07,,"P09;Offene Frage aus dem Text, bewusst als Erinnerung stehengelassen: wird der 1H-Orderblock von Sonntag 19:00/20:00 ein OB+? Am 11.08. nachtragen.;bias_korrekt noch offen — Tag war beim Erfassen (14:10 NY) nicht geschlossen. Zwischenstand: RTH-Open ~29.805, um 14:00 ~29.750, also gegen den bullishen Bias.",,journal/entries/2026-08-10 MNQ Daily Bias.md
