time,open,high,low,close
1786736199,7804.25,7804.25,7804,7804
1786736200,7804.25,7804.25,7804.25,7804.25
1786736201,7804,7804,7804,7804
1786736202,7804.25,7804.25,7804.25,7804.25
1786736203,7804.25,7804.25,7804.25,7804.25
1786736204,7804.25,7804.25,7804.25,7804.25
1786736205,7804.25,7804.25,7804.25,7804.25
1786736206,7804,7804,7804,7804
1786736207,7804,7804,7804,7804
1786736208,7804,7804,7803.75,7803.75
1786736210,7804,7804,7804,7804
1786736211,7804.25,7804.25,7804,7804
1786736212,7804.25,7804.25,7804.25,7804.25
1786736213,7804,7804,7804,7804
1786736214,7803.75,7803.75,7803.75,7803.75
1786736215,7803.75,7803.75,7803.5,7803.75
1786736219,7804,7804,7803.75,7803.75
1786736220,7803.5,7803.75,7803.5,7803.5
1786736221,7803.25,7803.25,7803.25,7803.25
1786736222,7803.25,7803.25,7803.25,7803.25
1786736223,7803.5,7803.5,7803.25,7803.25
1786736224,7803.25,7803.5,7803.25,7803.5
1786736225,7803.5,7803.5,7803.25,7803.25
1786736226,7803.5,7803.5,7803.25,7803.25
1786736227,7803.25,7803.5,7803.25,7803.5
1786736229,7803.25,7803.5,7803.25,7803.5
1786736230,7803.5,7803.75,7803.25,7803.75
1786736231,7803.75,7803.75,7803.75,7803.75
1786736232,7803.5,7803.5,7803.5,7803.5
1786736234,7803.25,7803.25,7803.25,7803.25
1786736235,7803.5,7803.5,7803.5,7803.5
1786736236,7803.25,7803.25,7803.25,7803.25
1786736237,7803.25,7803.5,7803.25,7803.5
1786736238,7803.75,7803.75,7803.75,7803.75
1786736239,7803.5,7803.5,7803.5,7803.5
1786736240,7803.5,7803.5,7803.5,7803.5
1786736242,7803.5,7803.75,7803.5,7803.75
1786736243,7803.75,7803.75,7803.75,7803.75
1786736244,7803.5,7803.5,7803.5,7803.5
1786736245,7803.5,7804,7803.5,7804
1786736246,7804,7804,7804,7804
1786736248,7803.75,7803.75,7803.75,7803.75
1786736249,7803.75,7803.75,7803.75,7803.75
1786736250,7803.75,7804,7803.75,7804
1786736251,7804,7804,7804,7804
1786736252,7803.75,7803.75,7803.5,7803.5
1786736253,7803.75,7803.75,7803.75,7803.75
1786736254,7803.5,7803.75,7803.5,7803.75
1786736256,7803.75,7803.75,7803.75,7803.75
1786736258,7803.75,7803.75,7803.75,7803.75
1786736259,7803.5,7803.5,7803.5,7803.5
1786736260,7803.75,7803.75,7803.75,7803.75
1786736262,7803.75,7803.75,7803.75,7803.75
1786736265,7803.75,7803.75,7803.5,7803.5
1786736266,7803.5,7803.75,7803.5,7803.75
1786736267,7803.75,7803.75,7803.75,7803.75
1786736269,7803.5,7803.5,7803.25,7803.25
1786736271,7803.5,7803.5,7803.5,7803.5
1786736272,7803.25,7803.25,7803.25,7803.25
1786736273,7803.25,7803.25,7803,7803
1786736274,7803,7803,7803,7803
1786736275,7803,7803.25,7803,7803.25
1786736276,7803,7803,7803,7803
1786736277,7803.25,7803.25,7803.25,7803.25
1786736278,7803,7803,7803,7803
1786736279,7803,7803.25,7803,7803.25
1786736280,7803,7803,7803,7803
1786736281,7802.75,7802.75,7802.75,7802.75
1786736283,7802.75,7802.75,7802.75,7802.75
1786736284,7802.75,7802.75,7802.5,7802.5
1786736285,7802.5,7802.75,7802.5,7802.75
1786736286,7802.75,7802.75,7802.75,7802.75
1786736287,7802.75,7803,7802.75,7802.75
1786736289,7802.75,7803.25,7802.75,7803.25
1786736290,7803,7803.25,7803,7803.25
1786736291,7803,7803.25,7803,7803.25
1786736293,7803.5,7803.5,7803.5,7803.5
1786736296,7803.5,7803.5,7803.25,7803.25
1786736297,7803.25,7803.25,7803.25,7803.25
1786736299,7803.5,7803.5,7803.25,7803.25
1786736300,7803.5,7803.5,7803.5,7803.5
1786736302,7803.5,7803.5,7803.5,7803.5
1786736303,7803.5,7803.5,7803.5,7803.5
1786736304,7803.75,7803.75,7803.75,7803.75
1786736305,7803.75,7803.75,7803.75,7803.75
1786736306,7803.5,7803.5,7803.5,7803.5
1786736307,7803.5,7803.75,7803.5,7803.5
1786736308,7803.5,7803.5,7803.5,7803.5
1786736309,7803.5,7803.5,7803.5,7803.5
1786736310,7803.5,7803.5,7803.5,7803.5
1786736311,7803.75,7803.75,7803.75,7803.75
1786736312,7803.75,7803.75,7803.75,7803.75
1786736314,7803.75,7803.75,7803.75,7803.75
1786736315,7804,7804,7803.75,7804
1786736316,7804,7804,7804,7804
1786736319,7803.75,7803.75,7803.5,7803.75
1786736320,7803.5,7803.75,7803.5,7803.75
1786736321,7803.75,7803.75,7803.75,7803.75
1786736322,7803.5,7803.5,7803.25,7803.5
1786736323,7803.25,7803.25,7803.25,7803.25
1786736324,7803.5,7803.5,7803.5,7803.5
1786736326,7803.5,7803.5,7803.5,7803.5
1786736329,7803.5,7803.5,7803.5,7803.5
1786736330,7803.5,7803.5,7803.5,7803.5
1786736331,7803.75,7803.75,7803.75,7803.75
1786736335,7803.75,7803.75,7803.75,7803.75
1786736336,7803.5,7803.5,7803.5,7803.5
1786736337,7803.75,7803.75,7803.75,7803.75
1786736338,7803.75,7803.75,7803.75,7803.75
1786736339,7804,7804,7804,7804
1786736340,7804,7804,7804,7804
1786736341,7804,7804,7804,7804
1786736342,7804,7804,7803.75,7803.75
1786736343,7804,7804,7804,7804
1786736346,7803.75,7803.75,7803.75,7803.75
1786736348,7804,7804,7804,7804
1786736349,7804.25,7804.25,7804.25,7804.25
1786736350,7804.25,7804.25,7804,7804
1786736351,7804.25,7804.25,7804.25,7804.25
1786736353,7804.25,7804.25,7804.25,7804.25
1786736354,7804.25,7804.25,7804.25,7804.25
