time,open,high,low,close
1786582080,7770,7770,7769.5,7770
1786582140,7770,7770.25,7769.5,7770.25
1786582200,7770.25,7770.5,7769.5,7770.25
1786582260,7770.25,7770.25,7769.25,7769.5
1786582320,7769.75,7770.25,7769.5,7770.25
1786582380,7770.25,7770.5,7769.75,7769.75
1786582440,7769.75,7769.75,7768.5,7768.75
1786582500,7769,7769,7768,7768.5
1786582560,7768.5,7769,7768.25,7768.5
1786582620,7768.5,7769,7768.25,7769
1786582680,7769,7769.75,7769,7769.75
1786582740,7769.75,7770.5,7769.5,7770.5
1786582800,7770.25,7770.75,7768.5,7768.5
1786582860,7768.5,7768.75,7767.25,7768
1786582920,7768,7768.5,7767.5,7768
1786582980,7768,7768.5,7768,7768.25
1786583040,7768.5,7768.75,7768.25,7768.5
1786583100,7768.25,7769,7768,7769
1786583160,7769,7769,7768,7768.5
1786583220,7768.5,7768.5,7768.25,7768.5
1786583280,7768.75,7768.75,7768,7768
1786583340,7768,7769,7768,7768.75
1786583400,7768.75,7769.25,7768.25,7769
1786583460,7769,7769.25,7767.75,7767.75
1786583520,7767.75,7767.75,7766.5,7766.5
1786583580,7766.75,7767,7766.25,7766.75
1786583640,7766.5,7766.5,7766,7766.25
1786583700,7766.25,7766.25,7765.25,7765.25
1786583760,7765.25,7766.75,7765.25,7766.5
1786583820,7766.25,7766.5,7766.25,7766.25
1786583880,7766.25,7767,7766.25,7766.75
1786583940,7766.5,7766.75,7766.25,7766.5
1786584000,7766.5,7766.5,7765.5,7765.75
1786584060,7765.75,7766,7765.25,7765.25
1786584120,7765.5,7766,7765.25,7765.75
1786584180,7766,7766.25,7765.5,7766.25
1786584240,7766.25,7766.5,7766,7766.25
1786584300,7766.25,7766.25,7765.25,7765.5
1786584360,7765.75,7766,7765.25,7765.75
1786584420,7765.75,7766,7765.25,7765.25
1786584480,7765.5,7765.75,7764.75,7765
1786584540,7765,7765.75,7764.25,7765.25
1786584600,7765.25,7766.75,7765.25,7766
1786584660,7766.25,7766.5,7765.75,7765.75
1786584720,7765.75,7767,7765.75,7767
1786584780,7767,7767.75,7767,7767.5
1786584840,7767.5,7767.5,7767,7767.25
1786584900,7767.5,7768,7767.25,7767.5
1786584960,7767.5,7767.75,7767.25,7767.5
1786585020,7767.75,7768,7767.25,7767.25
1786585080,7767.25,7767.5,7767,7767.5
1786585140,7767.5,7767.5,7767,7767.5
1786585200,7767.25,7767.5,7767,7767.25
1786585260,7767.25,7767.5,7766.5,7766.5
1786585320,7766.5,7767.25,7766.5,7767.25
1786585380,7767,7767.25,7766.5,7767.25
1786585440,7767.25,7767.5,7767,7767
1786585500,7767,7767.75,7767,7767.5
1786585560,7767.25,7767.75,7767,7767.5
1786585620,7767.25,7767.25,7766.5,7767
1786585680,7766.75,7767.25,7766.5,7767.25
1786585740,7767.25,7767.25,7766.5,7767
1786585800,7767,7768.25,7767,7768.25
1786585860,7768.25,7768.5,7768,7768.25
1786585920,7768,7768.5,7768,7768.5
1786585980,7768.5,7769.75,7768.5,7769.5
1786586040,7769.5,7770.5,7769.5,7770.25
1786586100,7770.25,7771.25,7770.25,7770.75
1786586160,7770.75,7771,7770.25,7770.5
1786586220,7770.5,7771,7770.5,7770.5
1786586280,7770.25,7770.25,7769.75,7770.25
1786586340,7770.25,7770.5,7770,7770
1786586400,7770.25,7770.75,7770,7770.5
1786586460,7770.25,7770.5,7770,7770.5
1786586520,7770.5,7770.75,7770.25,7770.75
1786586580,7770.5,7771.75,7770.5,7771.5
1786586640,7771.5,7771.75,7770.5,7770.75
1786586700,7771,7772,7771,7771.75
1786586760,7771.5,7771.5,7770.75,7771
1786586820,7771,7771.25,7771,7771.25
1786586880,7771,7771.5,7770.75,7771.5
1786586940,7771.5,7771.5,7771,7771.5
1786587000,7771.5,7771.5,7771.25,7771.25
1786587060,7771.5,7771.5,7771.25,7771.5
1786587120,7771.75,7772,7771.5,7772
1786587180,7772,7772,7771.75,7771.75
1786587240,7771.75,7772,7771.5,7771.75
1786587300,7771.75,7772.5,7771.75,7771.75
1786587360,7771.75,7771.75,7771.5,7771.75
1786587420,7772,7772.25,7772,7772
1786587480,7772.25,7772.5,7772,7772.5
1786587540,7772.25,7772.25,7772.25,7772.25
1786587600,7772,7772.25,7771.75,7771.75
1786587660,7772,7772,7771.25,7771.5
1786587720,7771.5,7773,7771.5,7772.75
1786587780,7772.5,7772.75,7771.75,7772.5
1786587840,7772.5,7772.75,7772,7772
1786587900,7772,7772.25,7771.75,7772.25
1786587960,7772,7772.5,7771.75,7772.5
1786588020,7772.25,7772.5,7771.5,7771.5
1786588080,7771.5,7771.75,7770.75,7771.25
1786588140,7771,7771,7770.5,7771
1786588200,7770.75,7770.75,7769.5,7769.75
1786588260,7769.5,7770.5,7769.5,7770
1786588320,7770.25,7770.5,7769,7769.25
1786588380,7769.25,7769.5,7768.25,7768.5
1786588440,7768.75,7768.75,7768,7768.25
1786588500,7768.25,7769,7768.25,7768.5
1786588560,7768.5,7768.75,7768.25,7768.75
1786588620,7768.5,7769.5,7768.5,7769.5
1786588680,7769.75,7770.25,7769.25,7769.25
1786588740,7769.5,7770.25,7769.25,7770
1786588800,7770.25,7770.75,7770.25,7770.75
1786588860,7770.75,7771.75,7770.75,7771.75
1786588920,7771.75,7772.75,7771.75,7772.5
1786588980,7772.5,7773,7772.25,7772.75
1786589040,7773,7774.5,7773,7773.25
1786589100,7773.25,7773.5,7772.75,7773
1786589160,7773.25,7773.5,7773,7773
1786589220,7773.25,7773.25,7772.75,7773
1786589280,7773,7773.5,7773,7773.25
1786589340,7773.5,7773.5,7773,7773.25
1786589400,7773.25,7773.5,7773,7773.5
1786589460,7773.25,7773.25,7772.5,7772.75
1786589520,7772.5,7773,7772.5,7773
1786589580,7772.75,7772.75,7772.5,7772.75
1786589640,7773,7773.25,7772.75,7773
1786589700,7773,7773.25,7772.75,7773.25
1786589760,7773.25,7773.25,7772.75,7772.75
1786589820,7772.75,7773.25,7772.75,7773
1786589880,7773.25,7773.25,7772.75,7773
1786589940,7773,7773,7772.75,7773
1786590000,7772.75,7772.75,7772.25,7772.5
1786590060,7772.5,7772.5,7772,7772.25
1786590120,7772.5,7772.75,7772.25,7772.5
1786590180,7772.5,7772.75,7772.5,7772.5
1786590240,7772.5,7772.5,7772,7772.25
1786590300,7772.5,7772.75,7772.25,7772.75
1786590360,7772.75,7772.75,7772.25,7772.75
1786590420,7772.5,7772.5,7772.25,7772.5
1786590480,7772.75,7772.75,7772.5,7772.5
1786590540,7772.25,7772.25,7772.25,7772.25
1786590600,7772.5,7772.5,7772.25,7772.5
1786590660,7772.5,7772.5,7772,7772.25
1786590720,7772.25,7772.25,7772,7772.25
1786590780,7772.25,7772.5,7772.25,7772.5
1786590840,7772.5,7773.25,7772.5,7773.25
1786590900,7773,7773.5,7773,7773
1786590960,7773.25,7773.5,7773,7773.25
1786591020,7773.25,7773.25,7773.25,7773.25
1786591080,7773.25,7773.75,7773.25,7773.75
1786591140,7773.5,7773.5,7773.25,7773.5
1786591200,7773.5,7773.5,7773,7773.25
1786591260,7773,7773,7772.75,7773
1786591320,7773,7773.25,7773,7773.25
