time,open,high,low,close
1782950400,30045.5,30046.25,29953,30001
1782951300,30001.75,30067,29975.75,30062
1782952200,30062.25,30081,30010.75,30013.5
1782953100,30013.75,30118.25,30006,30109.5
1782954000,30109.5,30190.75,30097.5,30187.75
1782954900,30187,30205,30166.75,30194.75
1782955800,30194.5,30227.25,30189.25,30215
1782956700,30215.25,30226.75,30194.5,30202.75
1782957600,30203.25,30231,30190.25,30230
1782958500,30229,30239,30186.75,30192.75
1782959400,30193,30219,30177.75,30207.25
1782960300,30207.25,30228.5,30191.25,30207.25
1782961200,30207,30214,30158.5,30177.75
1782962100,30177.5,30185,30134.25,30151
1782963000,30152,30197.5,30145.25,30158.75
1782963900,30157.75,30185.75,30137.75,30173
1782964800,30173.75,30188.75,30126.5,30128.25
1782965700,30128.25,30141.75,30102.25,30135
1782966600,30135.25,30136,30064,30068.5
1782967500,30068.75,30122,30052,30113.25
1782968400,30113,30155,30093.75,30145.75
1782969300,30144.5,30159.75,30112.25,30115.5
1782970200,30115.75,30117,30045.5,30054.5
1782971100,30054.25,30072.75,30037,30050.25
1782972000,30050.75,30066.5,29954.5,29954.75
1782972900,29955.25,29995.25,29947.5,29954.5
1782973800,29954.5,30007.75,29952,29974
1782974700,29973.25,29978,29894.25,29920.5
1782975600,29920.5,29938,29832.25,29835.75
1782976500,29836.5,29871.75,29826,29863
1782977400,29862.75,29943.5,29858.5,29938.5
1782978300,29938.5,29944.5,29884,29890.75
1782979200,29891,29927,29827,29841.5
1782980100,29840.75,29942,29839.25,29925.75
1782981000,29925.5,30014.25,29915.5,29982.25
1782981900,29981.5,30039,29970.25,30033
1782982800,30033,30034,29960.25,29984
1782983700,29983.5,29986.25,29941.5,29982.5
1782984600,29983.25,30014.75,29977.5,29999.25
1782985500,29998.75,29998.75,29952,29958.75
1782986400,29958.25,29959.75,29919.25,29936
1782987300,29935.25,29961,29924.5,29948.25
1782988200,29948.5,30005,29947.75,29978.75
1782989100,29979.5,30008.5,29971.25,30004
1782990000,30004.5,30022.25,29967.75,30006
1782990900,30006.25,30014.5,29970,30005.75
1782991800,30006,30065,29992.5,30058.25
1782992700,30058.75,30079,30033.5,30034.5
1782993600,30034.75,30141.75,30021.75,30130.75
1782994500,30130.75,30188,30127.75,30180.5
1782995400,30185.25,30319.75,30137,30242
1782996300,30242.25,30266.75,30154.75,30182.5
1782997200,30183,30215.75,30118,30142
1782998100,30142.5,30183.25,30073.75,30076
1782999000,30075.5,30188,30007.25,30126.25
1782999900,30125.75,30261.75,30100.75,30258
1783000800,30259,30293,30131,30216
1783001700,30215.75,30226,29910.25,29934.75
1783002600,29935,30006.5,29776.5,29809.5
1783003500,29809.75,29868,29730.5,29840.5
1783004400,29840.5,29851.75,29628.75,29717
1783005300,29716.25,29747.25,29611,29670.75
1783006200,29670.5,29816.75,29667.25,29711.25
1783007100,29710.75,29749,29636,29676.25
1783008000,29676.25,29688.75,29585,29647.25
1783008900,29647.75,29653.5,29547.75,29559
1783009800,29558.25,29563.5,29454.25,29537.5
1783010700,29537.75,29542.5,29434,29461.5
1783011600,29461,29483.25,29387.5,29455
1783012500,29454.75,29483.5,29421.5,29448
1783013400,29448,29473.5,29361.5,29404.75
1783014300,29405.25,29409,29328.5,29338.5
1783015200,29339.25,29503.5,29330.75,29459.5
1783016100,29459.75,29489.25,29411,29488.25
1783017000,29487.75,29526.25,29463,29481
1783017900,29480.5,29528,29439,29488.25
1783018800,29488,29505,29380.75,29412
1783019700,29412.25,29445.25,29349,29422.75
1783020600,29422.25,29476,29411.5,29455
1783021500,29454.75,29588,29431.25,29538.5
1783022400,29538.5,29553,29514,29545.5
1783023300,29546,29562,29532.5,29548
1783024200,29548.25,29565.25,29537.75,29542.5
1783025100,29542.25,29558.5,29536.75,29551.75
