time,open,high,low,close
1786582800,29845.25,29849.75,29828.75,29829.5
1786582860,29829,29833.75,29823.5,29828.5
1786582920,29828.75,29830.25,29821.25,29822.75
1786582980,29822.75,29828.5,29822.75,29826.75
1786583040,29827.25,29832.25,29826.75,29830.5
1786583100,29830.25,29840.75,29829,29838.25
1786583160,29838,29839.5,29830.5,29836
1786583220,29837.75,29840.5,29833.5,29838.5
1786583280,29838.75,29840.75,29836.25,29837.5
1786583340,29838.25,29844.25,29837,29841.75
1786583400,29841.75,29852.25,29839.5,29848.25
1786583460,29848.25,29851.75,29839.75,29842
1786583520,29842.5,29843.25,29831.25,29831.25
1786583580,29831.25,29836.25,29828.75,29832.25
1786583640,29831.75,29834.25,29826.25,29830.5
1786583700,29830.75,29832,29823.75,29824.5
1786583760,29824.5,29837.5,29824,29835
1786583820,29834.25,29835.75,29830.75,29832.75
1786583880,29832.5,29838.25,29829.5,29836.25
1786583940,29837,29837.25,29833,29834.25
1786584000,29834.75,29835.5,29829.25,29829.25
1786584060,29829.5,29832.75,29822,29822.75
1786584120,29823,29830.25,29821.75,29827.5
1786584180,29827.25,29829.5,29825.5,29828.25
1786584240,29828.25,29830.25,29825.25,29828
1786584300,29828.5,29828.5,29818,29820.25
1786584360,29820.75,29824.75,29818,29824.25
1786584420,29824.25,29826.75,29818.5,29820.5
1786584480,29820.25,29822.75,29817.5,29817.5
1786584540,29817.5,29821.5,29808.25,29817.75
1786584600,29817.5,29824.75,29815.5,29821.5
1786584660,29821.5,29825.5,29813.75,29815.5
1786584720,29814.75,29825.5,29814.25,29824
1786584780,29823.75,29834.25,29823.5,29833.25
1786584840,29832.25,29837.75,29830.5,29835.75
1786584900,29836,29843.75,29835.5,29837.25
1786584960,29838,29841,29836.5,29839.75
1786585020,29840.5,29843.25,29835.5,29835.5
1786585080,29835.75,29838.5,29835.25,29838
1786585140,29838,29840,29834,29840
1786585200,29840,29841.25,29835,29837.25
1786585260,29837.5,29841.5,29829.75,29830.5
1786585320,29831,29839,29828.5,29838
1786585380,29837.25,29841.5,29833.75,29840
1786585440,29840.25,29843.25,29836.75,29836.75
1786585500,29837,29841.5,29836,29837.25
1786585560,29837.5,29840.5,29833.25,29839.25
1786585620,29838.5,29839.25,29829.75,29831.75
1786585680,29831,29833.25,29828,29832.5
1786585740,29832.25,29833.75,29828,29830.25
1786585800,29830,29839,29829.5,29838.5
1786585860,29838,29843.25,29835.5,29840.25
1786585920,29839.25,29844.25,29837.5,29843.75
1786585980,29843.75,29851.5,29843.75,29849.75
1786586040,29850,29856.75,29849,29855
1786586100,29855,29865.5,29853.5,29862.25
1786586160,29862.25,29864.25,29858,29862
1786586220,29862.25,29865.75,29859.5,29860.75
1786586280,29860,29860.5,29856,29858.75
1786586340,29859,29859,29853.25,29857.5
