time,open,high,low,close
1786546980,29867.25,29869.25,29841.25,29843.5
1786547040,29843.25,29852.25,29838.75,29851.25
1786547100,29851.5,29856,29841.25,29854
1786547160,29853.5,29879.25,29845.75,29876.5
1786547220,29876.25,29877.75,29864.75,29875.25
1786547280,29875.25,29876.5,29861.75,29869.25
1786547340,29869,29877.25,29866,29870.5
1786547400,29871.5,29873.25,29848.5,29851.25
1786547460,29851.25,29863.75,29849,29863.75
1786547520,29863.75,29886.5,29859.25,29886.5
1786547580,29886.5,29890.5,29878.25,29884.75
1786547640,29884.75,29891.25,29877,29879.5
1786547700,29880.25,29887.5,29872.75,29874.5
1786547760,29875.5,29885.25,29872,29874
1786547820,29874.25,29883.25,29866.25,29882.5
1786547880,29882,29882.75,29868.75,29869
1786547940,29869.5,29874.25,29862.25,29870.75
1786548000,29871.25,29878,29863.75,29865.75
1786548060,29866.25,29875.25,29861.25,29874.25
1786548120,29874,29874.75,29848.75,29852.75
1786548180,29852.75,29856.75,29845,29856.25
1786548240,29856.25,29858.25,29847.75,29849.25
1786548300,29849.5,29854.75,29843.5,29848.5
1786548360,29848.5,29857.5,29845.5,29854.25
1786548420,29854.5,29858.5,29846.25,29853
1786548480,29853,29861.5,29845.5,29858.75
1786548540,29858.5,29874.5,29852.75,29874.5
1786548600,29874.5,29880,29858.75,29864.75
1786548660,29864.75,29868,29849.5,29851.5
1786548720,29852,29857.5,29831.75,29843.75
1786548780,29843.5,29846.5,29822.75,29825.75
1786548840,29825.5,29837,29818.75,29832
1786548900,29832,29845.75,29830.75,29839.75
1786548960,29840,29858.25,29833.25,29854.25
1786549020,29854,29854.75,29845.5,29847.25
1786549080,29847.5,29850.75,29842.75,29846.75
1786549140,29847,29850.5,29830,29833
1786549200,29832.75,29834.25,29819.25,29820.25
1786549260,29820,29832.5,29818.75,29831.75
1786549320,29832.25,29842.5,29831,29837.25
1786549380,29837.5,29843,29834.5,29837.75
1786549440,29837.25,29839.75,29825.5,29828.5
1786549500,29828.5,29832.5,29819,29826.75
1786549560,29826.75,29837,29822.25,29834.25
1786549620,29835,29846.75,29828.25,29846.5
1786549680,29845.75,29847.5,29832,29836.5
1786549740,29836,29847.25,29833.25,29847
1786549800,29847.5,29848.5,29834.25,29835
1786549860,29835.25,29843,29834.75,29840
1786549920,29840.25,29849.25,29839.5,29847.75
1786549980,29848,29854,29846.75,29850.25
1786550040,29850.25,29851.5,29837,29837.5
1786550100,29837.5,29843.5,29830.75,29830.75
1786550160,29830.5,29840.25,29829.75,29835.5
1786550220,29836.25,29841.5,29833.75,29834.25
1786550280,29834.25,29836,29829.25,29832
1786550340,29831.75,29837.5,29830.75,29831.75
1786550400,29832.25,29848.75,29829,29848.75
1786550460,29848,29858,29847.75,29855.75
1786550520,29855.25,29863.5,29854.5,29858.75
1786550580,29859.25,29861,29849,29849.5
1786550640,29849.5,29858.25,29848.5,29850.5
1786550700,29851,29856.25,29848.5,29853.25
1786550760,29853,29856.25,29847,29849.75
1786550820,29849.5,29855.5,29847.5,29848.25
1786550880,29848.5,29865.5,29845.25,29863.5
1786550940,29863.5,29872.5,29862,29871.5
1786551000,29871.75,29873,29860.25,29866
1786551060,29866.25,29875,29865,29873.5
1786551120,29873.25,29873.5,29860,29864.5
1786551180,29864.25,29876.75,29864,29872.75
1786551240,29872.75,29878.25,29871.75,29873.25
1786551300,29873.5,29876.5,29863.75,29867
1786551360,29866.5,29874.25,29858,29868
1786551420,29867.75,29870.5,29862.5,29866.5
1786551480,29866,29870.75,29865.5,29866
1786551540,29866.25,29868,29858.75,29861.75
1786551600,29862,29867.5,29860.25,29861
1786551660,29861,29873,29858,29872.25
1786551720,29871.5,29881.75,29870.5,29880.75
1786551780,29880.5,29884,29878.25,29880.5
1786551840,29880,29881.75,29876,29881.5
1786551900,29881.25,29888,29879.25,29885.5
1786551960,29886,29886.25,29878.25,29879.25
1786552020,29879,29879.5,29868.75,29873.5
1786552080,29874,29878.75,29873,29875
1786552140,29875.75,29876.25,29872.75,29873.5
1786552200,29873.5,29880,29873.25,29874.75
1786552260,29874.75,29874.75,29855,29858
1786552320,29858,29864.75,29853.75,29864.5
1786552380,29864.25,29866.5,29858.25,29861.25
1786552440,29861.5,29863.75,29850.75,29852
1786552500,29852.25,29862.25,29851.25,29852
1786552560,29852.25,29864,29851,29858.5
1786552620,29858.75,29874.75,29856.5,29874.25
1786552680,29874.25,29878.75,29873.75,29874.5
1786552740,29874.75,29886.25,29874.75,29885
1786552800,29885.25,29894,29884,29890.75
1786552860,29890.25,29894.75,29889,29891.75
1786552920,29892,29894.75,29888.75,29891.5
1786552980,29891.25,29893.5,29882.75,29883.5
1786553040,29883.75,29888,29881.25,29885
1786553100,29885.25,29888,29881.5,29882.75
1786553160,29882.75,29889,29879.25,29885.5
1786553220,29885.5,29893.25,29885.25,29886.25
1786553280,29886.25,29897.75,29884.25,29893
1786553340,29892.75,29899,29892,29896.5
1786553400,29896.25,29913.5,29896.25,29910.75
1786553460,29911.25,29916.25,29908.5,29910
1786553520,29909.75,29915.5,29904,29915.25
1786553580,29915,29917.25,29912.5,29915
1786553640,29915,29917.5,29910.25,29911
1786553700,29911,29914,29904.75,29908.5
1786553760,29909,29911.5,29906,29910.75
1786553820,29911,29914,29908.25,29909.5
1786553880,29909.75,29912.25,29904,29905.25
1786553940,29905,29909.25,29902.75,29905.5
1786554000,29905.75,29912.25,29902.5,29909.25
1786554060,29909.5,29919.25,29909.5,29915.25
1786554120,29915.25,29915.5,29910,29912.25
1786554180,29912.75,29917.75,29910,29917.75
1786554240,29917.75,29924.5,29916.5,29919.5
1786554300,29919.25,29923.75,29918,29922.75
1786554360,29922.75,29923.5,29915.25,29922
1786554420,29922.25,29924.5,29919.75,29921.25
