time,open,high,low,close
1778698800,29757,29807.25,29727,29755.5
1778702400,29739.5,29819,29721.5,29796
1778709600,29809,29880,29797,29864
1778713200,29863.25,29921.5,29863.25,29900
1778716800,29904.25,29968.75,29864,29956.5
1778720400,29949.75,29956,29883.25,29883.25
1778724000,29880.25,29907.5,29849.25,29860.5
1778727600,29858,29877,29798,29804.5
1778731200,29794.5,29873.75,29789.5,29853
1778734800,29832.5,29882.75,29821,29873.5
1778738400,29880,29914.5,29880,29889
1778742000,29888,29903,29846.5,29847
1778745600,29850.75,29901.5,29823,29853.75
1778749200,29847,29850,29755,29810
1778752800,29811.25,29860,29786.5,29815.75
1778756400,29826,29849,29784.5,29818.5
1778760000,29815,29842.5,29751,29766.5
1778763600,29756.5,29953.5,29719.5,29813.5
1778767200,29857,30000,29810.5,29944
1778770800,29943.5,30046.75,29942,30031.75
1778774400,30032.25,30056,29967.75,29990
1778778000,30010,30024,29865.25,30002
1778781600,30002,30002,29915.75,29981.75
1778785200,29990,30007,29951,29962.75
1778788800,29962.5,30009.5,29930.25,29954.75
1778796000,29980.75,29995.75,29950,29979.75
1778799600,29982,30008,29960,29965
1778803200,29958,29999,29916.5,29955.75
1778806800,29945,29945,29793.5,29811
1778810400,29806.5,29866,29771.75,29850
1778814000,29856.5,29863.25,29810.5,29836.25
1778817600,29832.5,29832.5,29725,29727.75
1778821200,29735,29735,29551.75,29555
1778824800,29550,29682.5,29522.5,29668.5
1778828400,29669.25,29736,29648.25,29667.5
1778832000,29667.5,29667.5,29456,29522.5
1778835600,29524,29550,29447.5,29490
1778839200,29497.75,29627,29470,29591.25
1778842800,29612.25,29616,29524.75,29524.75
1778846400,29518,29518,29409.25,29460.75
1778850000,29454.25,29558.25,29355.5,29413.5
1778853600,29413.5,29647,29400,29550
1778857200,29550.25,29646.25,29498.25,29552.25
1778860800,29559.5,29618,29522,29583.75
1778864400,29593.75,29720,29584.75,29718.25
1778868000,29721,29755,29585.5,29661.25
1778871600,29643,29643,29480,29499.75
1778875200,29498,29498,29380,29450.75
1779055200,29403.5,29552,29385,29485
1779058800,29496.25,29496.25,29282,29388
