time,open,high,low,close
1786736698,30108.5,30109,30108.5,30108.75
1786736699,30108.5,30108.5,30107.25,30108.5
1786736700,30108.5,30109,30107.25,30108.25
1786736701,30108,30108.5,30107.25,30107.75
1786736702,30108,30109.5,30108,30108.25
1786736703,30108,30108.75,30108,30108.75
1786736704,30108.5,30110.25,30108.5,30108.75
1786736705,30108.5,30110,30108.25,30108.5
1786736706,30108.5,30108.5,30107.75,30108.25
1786736707,30108.5,30108.5,30107.5,30107.75
1786736708,30107.75,30107.75,30107.25,30107.25
1786736709,30107.25,30107.5,30106.75,30107.5
1786736710,30106.75,30106.75,30105.75,30106.5
1786736711,30106.5,30106.75,30106.25,30106.25
1786736712,30106.5,30106.75,30104,30105.25
1786736713,30105,30105.25,30103.25,30104
1786736714,30104,30104.75,30103.75,30103.75
1786736715,30103.5,30103.5,30102.25,30103.25
1786736716,30103.5,30104.25,30103.5,30104
1786736717,30103.75,30106,30102.75,30105.75
1786736718,30106.25,30106.5,30106,30106.25
1786736719,30106,30107,30106,30107
1786736720,30107,30107.75,30107,30107.75
1786736721,30107.75,30108,30107,30107.75
1786736722,30107.5,30107.5,30107.25,30107.25
1786736723,30107.25,30107.75,30107.25,30107.75
1786736724,30108,30108,30107.25,30107.5
1786736725,30106.75,30107.25,30106.5,30107.25
1786736726,30107.5,30109,30107.5,30108.75
1786736727,30108.75,30108.75,30107.75,30107.75
1786736728,30108.5,30108.75,30108.25,30108.25
1786736729,30108.5,30108.5,30108,30108.25
1786736730,30108.5,30108.75,30108.25,30108.5
1786736731,30108.75,30108.75,30108.75,30108.75
1786736732,30108.5,30108.5,30108.5,30108.5
1786736733,30108,30108,30107.5,30107.75
1786736734,30107.5,30109.75,30107.5,30109.25
1786736735,30109.25,30109.75,30109.25,30109.5
1786736736,30109.75,30110.25,30109.5,30109.75
1786736737,30110.25,30110.25,30110,30110
1786736738,30109.75,30109.75,30109.75,30109.75
1786736739,30109.25,30109.25,30109,30109.25
1786736740,30109.25,30109.25,30108,30108
1786736741,30107.75,30108.5,30107.75,30108.5
1786736742,30108,30108.25,30107.5,30108
1786736743,30107.5,30108,30107.5,30108
1786736744,30107.75,30108,30107.5,30107.5
1786736745,30107.75,30107.75,30107.75,30107.75
1786736746,30107.5,30107.5,30107.25,30107.25
1786736747,30107.25,30107.25,30106,30106.25
1786736748,30106.5,30107.5,30106.25,30107
1786736749,30107,30107.25,30107,30107.25
1786736750,30107.25,30107.25,30106.75,30107
1786736751,30107.25,30107.25,30107.25,30107.25
1786736752,30107,30108.25,30106.75,30106.75
1786736753,30107,30107,30106.5,30106.75
1786736754,30106.5,30106.75,30106.25,30106.75
1786736755,30106.25,30106.5,30106.25,30106.5
1786736756,30106.25,30106.25,30106,30106
1786736757,30106.5,30106.5,30106,30106.25
1786736758,30106.5,30106.5,30106.25,30106.5
1786736759,30106.5,30106.5,30105.5,30106.25
1786736760,30106,30107,30106,30107
1786736761,30107.25,30108.5,30107.25,30108
1786736762,30108.25,30108.25,30108,30108
1786736763,30108.25,30108.25,30107.75,30107.75
1786736764,30107.75,30108.25,30107.75,30108
1786736765,30108.25,30108.75,30106.5,30106.5
1786736766,30106.5,30106.5,30105,30105.75
1786736767,30106.25,30107,30106.25,30106.75
1786736768,30105.75,30106,30105.25,30105.25
1786736769,30105,30105,30104.75,30104.75
1786736770,30105.25,30106,30104.75,30105.5
1786736772,30106.75,30107,30106.75,30107
1786736773,30107.5,30107.5,30107,30107
1786736774,30107.5,30107.5,30106.75,30107.25
1786736775,30107.25,30107.25,30107.25,30107.25
1786736776,30107.5,30107.75,30107.5,30107.5
1786736777,30108,30108,30107.25,30107.5
1786736778,30107.5,30107.5,30107.5,30107.5
1786736779,30107.5,30107.5,30107.5,30107.5
1786736780,30107.5,30108.5,30107.5,30108
1786736781,30108.5,30108.5,30108.5,30108.5
1786736782,30108.25,30108.75,30108.25,30108.75
1786736783,30108.75,30108.75,30108.75,30108.75
1786736784,30109,30109,30108.5,30108.5
1786736785,30108.25,30108.25,30107.75,30108
1786736786,30107.5,30108,30107.5,30108
1786736787,30107.75,30108.5,30107.75,30108
1786736788,30108.5,30109.25,30108.5,30109.25
1786736789,30108.5,30108.5,30108,30108
1786736790,30107.75,30108.25,30107.75,30108
1786736791,30108,30108.25,30107.75,30108.25
1786736792,30107.75,30108.25,30107.75,30108.25
1786736793,30108,30108.25,30106.75,30107.25
1786736794,30107,30107.5,30107,30107.5
1786736795,30107.25,30107.25,30106.5,30106.5
1786736796,30106.75,30107.5,30106.5,30107.5
1786736797,30107.5,30107.75,30107,30107.5
1786736798,30107.5,30107.5,30107.5,30107.5
1786736799,30107.25,30107.5,30107.25,30107.25
1786736800,30107,30107.25,30106.75,30106.75
1786736801,30107,30107.5,30107,30107.5
1786736802,30106.75,30106.75,30106.75,30106.75
1786736803,30106.75,30107.75,30106.75,30107.75
1786736804,30107,30107,30107,30107
1786736805,30107,30108.5,30106.75,30108.5
1786736806,30108.25,30108.25,30108.25,30108.25
1786736807,30108,30108,30107.25,30107.5
1786736809,30107.25,30107.25,30106.25,30106.75
1786736810,30106.5,30106.75,30106.5,30106.5
1786736811,30106.75,30106.75,30106.75,30106.75
1786736812,30106.25,30106.25,30105,30105.5
1786736813,30105.75,30105.75,30104.75,30104.75
1786736814,30105,30105,30104,30104.5
1786736815,30104.25,30104.5,30104.25,30104.5
1786736816,30104,30104.5,30104,30104.5
1786736817,30104,30104.25,30103,30103
1786736818,30103,30103.25,30102.75,30102.75
1786736819,30102.5,30102.75,30101.5,30102.5
1786736820,30102.5,30103,30102.25,30103
1786736821,30102.75,30103.75,30102.5,30103.5
1786736822,30105,30105.25,30105,30105.25
1786736823,30104.75,30105.5,30104.5,30105
1786736824,30105.5,30105.75,30105.5,30105.5
1786736825,30105.5,30105.75,30105.25,30105.25
1786736826,30105.5,30105.75,30105.5,30105.75
1786736827,30106,30106.25,30106,30106.25
1786736828,30106.25,30106.5,30106,30106
1786736829,30106.25,30106.25,30106,30106
1786736830,30106,30106.5,30106,30106
1786736831,30106.25,30106.5,30106.25,30106.5
1786736832,30106.75,30106.75,30106,30106.5
1786736833,30106.75,30107.25,30106.75,30107
1786736834,30107.5,30108,30107.5,30108
1786736835,30108,30108.25,30107.5,30107.5
1786736836,30107.25,30107.75,30107.25,30107.75
1786736837,30107.25,30107.25,30107.25,30107.25
1786736838,30107,30107,30105,30105.25
1786736839,30105.5,30105.5,30105.25,30105.5
1786736840,30105.75,30105.75,30105,30105.5
1786736841,30105.75,30106.25,30105.75,30106
1786736842,30106.5,30107,30106.25,30107
1786736843,30107.25,30107.5,30107,30107.25
1786736844,30107.75,30108,30107.5,30107.75
1786736845,30107.75,30107.75,30107.75,30107.75
1786736846,30107.25,30107.25,30106.75,30106.75
1786736847,30107.25,30107.25,30107.25,30107.25
1786736848,30107.25,30107.25,30105.5,30106
1786736849,30107,30107.25,30106.5,30107.25
1786736850,30106.5,30106.75,30106.25,30106.5
1786736851,30106.75,30106.75,30106.75,30106.75
1786736852,30106.5,30106.5,30106.5,30106.5
1786736853,30107,30107,30107,30107
1786736854,30107,30107,30107,30107
1786736855,30107,30107,30106.25,30106.25
1786736856,30106.25,30106.25,30104.75,30105.75
1786736857,30105.5,30106.5,30105.5,30106.25
1786736858,30106.5,30106.5,30106.25,30106.25
1786736859,30106.5,30106.75,30106.5,30106.75
1786736860,30106.75,30106.75,30106.75,30106.75
1786736861,30107.5,30107.5,30107.25,30107.25
1786736862,30107,30107,30106.5,30106.5
1786736863,30106.5,30107,30106.5,30107
1786736864,30107.25,30107.25,30107,30107.25
1786736865,30107,30107.25,30107,30107
1786736866,30107.25,30107.25,30107.25,30107.25
1786736867,30107,30107.25,30107,30107.25
1786736868,30107.25,30107.5,30106.75,30107
1786736869,30107.5,30107.5,30107.25,30107.25
1786736870,30106.75,30106.75,30106.5,30106.75
1786736871,30107.25,30107.5,30107.25,30107.25
1786736872,30108,30108.5,30107.75,30108.5
1786736873,30108.5,30108.5,30108,30108
1786736874,30108,30108.75,30108,30108.75
1786736875,30108.25,30108.75,30108,30108.75
1786736876,30109,30109.25,30108.75,30109.25
1786736877,30108.75,30109.25,30108.75,30109.25
1786736878,30109,30109,30108,30108
1786736879,30108.5,30108.5,30108,30108
1786736880,30107.5,30108,30107.5,30107.75
1786736881,30108,30109,30108,30109
1786736882,30108.5,30108.5,30108,30108
1786736883,30108.5,30109,30108.5,30108.5
1786736884,30107.75,30108.5,30107.75,30108.25
1786736885,30108.25,30108.5,30108.25,30108.5
1786736886,30108.25,30108.25,30108.25,30108.25
1786736887,30108,30108,30107.75,30107.75
1786736888,30108,30108.5,30108,30108.5
1786736889,30108.75,30108.75,30108,30108.25
1786736890,30108.25,30108.25,30108,30108
1786736891,30108.25,30108.5,30108,30108
1786736892,30108.25,30109,30108.25,30109
1786736893,30108.75,30112,30108.75,30111.5
1786736894,30111.75,30112,30111,30111.25
1786736895,30111.25,30111.75,30110.75,30111
1786736896,30111.5,30111.75,30111.5,30111.75
1786736897,30111.25,30112,30111.25,30112
1786736898,30111.25,30111.25,30111.25,30111.25
1786736899,30111,30111.25,30110.75,30111
1786736900,30110.75,30111,30110.5,30110.5
1786736901,30110.75,30111,30110.75,30111
1786736902,30110.5,30111,30110,30110.75
1786736903,30111.25,30111.25,30111,30111
1786736904,30111,30111.75,30111,30111.5
1786736905,30111.25,30111.25,30111,30111.25
1786736906,30111.25,30111.25,30111,30111
1786736907,30111.25,30111.5,30111.25,30111.25
1786736908,30111,30111.25,30111,30111
1786736909,30110.75,30110.75,30110,30110
1786736910,30110,30110,30109.75,30109.75
1786736911,30109.5,30109.5,30109.25,30109.25
1786736912,30109.5,30109.75,30109.5,30109.5
1786736914,30109.5,30110.5,30109.5,30110.5
1786736915,30110.75,30111,30110.75,30111
1786736916,30110.75,30111,30110.75,30111
1786736917,30111,30111.25,30110.75,30111
1786736918,30111,30111,30110.75,30110.75
1786736919,30111,30111,30110.75,30111
1786736920,30111,30111.5,30110.75,30110.75
1786736921,30110.5,30110.75,30110.5,30110.75
1786736922,30111,30111.25,30111,30111.25
1786736923,30111.75,30111.75,30110.75,30110.75
1786736924,30111,30111.25,30111,30111
1786736925,30111.25,30111.25,30110.5,30110.5
1786736926,30110.75,30111.25,30110.5,30111
1786736927,30111,30111,30111,30111
1786736928,30111.25,30111.5,30111,30111.5
1786736929,30111.75,30112.25,30111.5,30111.75
1786736930,30111.75,30111.75,30111.75,30111.75
1786736931,30111.5,30111.5,30110.75,30110.75
1786736932,30111,30111,30110.5,30111
1786736933,30111,30111.25,30111,30111
1786736934,30110.75,30111.5,30110.75,30111.5
1786736935,30110.75,30111,30110.75,30110.75
1786736936,30110.5,30111.25,30110.5,30111.25
1786736937,30111.25,30111.25,30111,30111
1786736939,30111.75,30111.75,30111.25,30111.25
1786736940,30110.75,30111.25,30110.5,30110.75
1786736941,30110.75,30110.75,30110.25,30110.5
1786736942,30110.25,30111,30110.25,30111
1786736943,30111,30111.25,30111,30111.25
1786736944,30111,30111,30110.75,30110.75
1786736945,30110.5,30110.5,30110,30110
1786736946,30110,30111,30110,30110.75
1786736947,30110.5,30111,30110.25,30111
1786736948,30111.25,30111.25,30111,30111
1786736949,30110.75,30110.75,30110.75,30110.75
1786736950,30110.5,30111,30110.5,30110.5
1786736951,30110.5,30110.75,30110.5,30110.5
1786736952,30111.25,30112,30111.25,30112
1786736953,30112.5,30112.5,30112.5,30112.5
1786736954,30112.5,30112.5,30112,30112.5
1786736955,30112.25,30112.25,30111.75,30111.75
1786736956,30111.75,30112.5,30111.75,30112.5
1786736957,30112.75,30113,30112.75,30112.75
1786736958,30112.75,30112.75,30112.75,30112.75
1786736959,30113,30113,30112.5,30112.5
1786736960,30112.5,30113,30112.5,30113
1786736961,30113,30113.25,30113,30113
1786736962,30113,30113.25,30112.75,30113.25
1786736963,30113,30113.5,30112.5,30113.5
1786736964,30113.5,30113.75,30113.25,30113.5
1786736965,30113.75,30113.75,30113.25,30113.5
1786736966,30113.5,30114.25,30113.5,30113.75
1786736967,30114.25,30114.5,30114.25,30114.25
1786736968,30114.25,30114.5,30114,30114.5
1786736969,30114,30114.25,30114,30114.25
1786736970,30114.25,30114.5,30114,30114.5
1786736971,30114.5,30115.5,30114.5,30115.25
1786736972,30115.25,30115.25,30114.75,30115
1786736973,30114.5,30114.75,30114,30114.75
1786736974,30115,30118.5,30114.75,30117.5
1786736975,30117.5,30118,30117.25,30117.75
1786736976,30117.75,30120.5,30117.5,30117.75
1786736977,30117.75,30118,30116.5,30117.25
1786736978,30117.5,30117.75,30117,30117.75
1786736979,30117.5,30118,30117.25,30118
1786736980,30117.75,30119.5,30117.75,30118.75
1786736981,30119,30119,30118.5,30119
1786736982,30118.75,30119.25,30118.5,30119.25
1786736983,30119,30119.5,30119,30119.5
1786736984,30119.25,30119.5,30118.75,30119.25
1786736985,30119.25,30119.5,30118,30118
1786736986,30118.75,30118.75,30118,30118.5
1786736987,30118.25,30118.75,30118.25,30118.25
1786736988,30118.5,30118.75,30118.5,30118.75
1786736989,30118.5,30118.5,30117.75,30118.25
1786736990,30117.75,30118,30117.5,30118
1786736991,30117.75,30118.5,30117.75,30118.5
1786736992,30118,30118.5,30118,30118
1786736993,30118.25,30118.75,30118.25,30118.75
1786736994,30119,30119,30118.5,30119
1786736995,30119.25,30119.5,30118.75,30118.75
1786736996,30118.5,30119,30118.5,30119
1786736997,30118.75,30119,30118,30118.75
1786736998,30118.75,30118.75,30118.75,30118.75
1786736999,30118.75,30119.75,30118.5,30119.5
1786737000,30119.25,30128.25,30114.75,30123.25
1786737001,30122.75,30123.25,30120.5,30122.5
1786737002,30123.25,30123.25,30120,30121.25
1786737003,30121.25,30121.5,30120,30121
1786737004,30121.5,30124.75,30121.5,30124.5
1786737005,30125,30127.5,30125,30126.5
1786737006,30126.25,30130,30126.25,30127.5
1786737007,30127,30129,30127,30128
1786737008,30127.75,30128,30125.5,30126
