time,open,high,low,close
1750021200,1.15308,1.16148,1.15237,1.15611
1750107600,1.15667,1.15803,1.14747,1.14799
1750194000,1.1489,1.15304,1.1461,1.14802
1750280400,1.14803,1.15001,1.14463,1.14959
1750366800,1.14945,1.1544,1.14917,1.15233
1750626000,1.14715,1.15817,1.14537,1.15771
1750712400,1.15795,1.16418,1.15735,1.16096
1750798800,1.16152,1.16652,1.15901,1.16595
1750885200,1.1656,1.17451,1.16547,1.17005
1750971600,1.1709,1.17542,1.1681,1.17099
1751230800,1.17275,1.17887,1.17079,1.17873
1751317200,1.17795,1.18301,1.17615,1.18063
1751403600,1.18021,1.18101,1.17469,1.17991
1751490000,1.17978,1.18103,1.17176,1.1757
1751576400,1.17548,1.17876,1.17528,1.1775
1751835600,1.17836,1.17903,1.16868,1.17082
1751922000,1.17103,1.17653,1.16824,1.17253
1752008400,1.1721,1.17294,1.16896,1.17205
1752094800,1.17148,1.17497,1.16627,1.17005
1752181200,1.16985,1.17144,1.16648,1.16887
1752440400,1.16683,1.16978,1.16544,1.16645
1752526800,1.16627,1.16927,1.15928,1.16013
1752613200,1.15995,1.17216,1.15623,1.16415
1752699600,1.16348,1.16427,1.15568,1.15966
1752786000,1.1595,1.1672,1.15948,1.16225
1753045200,1.16305,1.17168,1.16145,1.16937
1753131600,1.16913,1.17606,1.16789,1.17542
1753218000,1.17543,1.17752,1.17109,1.17711
1753304400,1.17698,1.17889,1.17307,1.17479
1753390800,1.17438,1.17609,1.17031,1.17422
1753650000,1.17566,1.17705,1.15853,1.15892
1753736400,1.15913,1.15993,1.15189,1.15474
1753822800,1.15473,1.15727,1.1401,1.1405
1753909200,1.14043,1.14609,1.1404,1.14151
1753995600,1.14165,1.15971,1.13917,1.15855
1754254800,1.15948,1.15969,1.15497,1.15721
1754341200,1.15715,1.15878,1.15278,1.15754
1754427600,1.15733,1.16686,1.15645,1.16596
1754514000,1.16578,1.16989,1.1611,1.16651
1754600400,1.16665,1.16795,1.16288,1.16401
1754859600,1.16487,1.16755,1.15901,1.16152
1754946000,1.16135,1.16974,1.15988,1.16748
1755032400,1.16748,1.17303,1.16697,1.17057
1755118800,1.17023,1.17151,1.16311,1.16475
1755205200,1.16495,1.17153,1.16464,1.17019
1755464400,1.17118,1.17163,1.1656,1.16608
1755550800,1.16618,1.16929,1.16391,1.16467
1755637200,1.16499,1.16738,1.16221,1.16516
1755723600,1.16545,1.16629,1.16012,1.16057
1755810000,1.1607,1.17428,1.1583,1.17168
1756069200,1.17233,1.17274,1.16029,1.16186
1756155600,1.16195,1.16655,1.16022,1.16423
1756242000,1.16455,1.16481,1.15741,1.16386
1756328400,1.1637,1.16974,1.16291,1.16837
1756414800,1.16793,1.1709,1.16508,1.16853
1756674000,1.16962,1.17365,1.16868,1.17113
1756760400,1.17085,1.17183,1.16129,1.16402
1756846800,1.16378,1.16822,1.16082,1.1662
1756933200,1.16605,1.16696,1.16299,1.16496
1757019600,1.1649,1.17595,1.16486,1.1716
1757278800,1.17175,1.17657,1.17037,1.17634
1757365200,1.17618,1.17799,1.17038,1.17084
1757451600,1.17121,1.17308,1.16825,1.16948
1757538000,1.16965,1.17461,1.1661,1.17341
1757624400,1.17343,1.17479,1.17013,1.17353
1757883600,1.17313,1.17745,1.17163,1.17611
1757970000,1.17652,1.18784,1.17575,1.18673
1758056400,1.18578,1.19189,1.1808,1.1813
1758142800,1.18125,1.18484,1.17502,1.17874
1758229200,1.1789,1.17926,1.17289,1.17491
1758488400,1.17462,1.18041,1.17262,1.18032
1758574800,1.17948,1.18201,1.17791,1.18155
1758661200,1.18145,1.18193,1.17283,1.17379
1758747600,1.17382,1.17541,1.16455,1.16659
1758834000,1.1659,1.17074,1.1658,1.17037
1759093200,1.17033,1.17547,1.17016,1.17267
1759179600,1.17267,1.17616,1.17123,1.17334
1759266000,1.17375,1.17788,1.17155,1.17264
1759352400,1.17293,1.17586,1.16832,1.17155
1759438800,1.17174,1.17596,1.17147,1.17423
1759698000,1.1725,1.17318,1.16517,1.17113
1759784400,1.17083,1.17161,1.16477,1.16569
1759870800,1.16571,1.16613,1.15985,1.16297
1759957200,1.16275,1.16483,1.15422,1.15642
1760043600,1.15618,1.16308,1.15571,1.16179
1760302800,1.16113,1.163,1.15575,1.15699
1760389200,1.15713,1.16152,1.15423,1.16066
1760475600,1.1608,1.16479,1.16018,1.16472
1760562000,1.16433,1.16944,1.16429,1.16873
1760648400,1.16867,1.17284,1.16507,1.16538
1760907600,1.1667,1.16755,1.16383,1.16417
1760994000,1.16443,1.16552,1.15978,1.15998
1761080400,1.16035,1.16225,1.15769,1.16106
1761166800,1.16103,1.16202,1.15855,1.16183
1761253200,1.16165,1.16502,1.1601,1.16289
1761512400,1.16355,1.16521,1.16178,1.16447
1761598800,1.1646,1.1669,1.16256,1.1651
1761685200,1.16518,1.16661,1.15777,1.16011
1761771600,1.16035,1.16376,1.15471,1.15646
1761858000,1.15668,1.15776,1.15216,1.15365
1762120800,1.15312,1.15413,1.15051,1.152
1762207200,1.152,1.15336,1.14731,1.14821
1762293600,1.14818,1.14982,1.14687,1.14924
1762380000,1.14913,1.15524,1.1491,1.15471
1762466400,1.15445,1.15911,1.15296,1.15674
1762725600,1.15598,1.15832,1.15411,1.15571
1762812000,1.15586,1.1606,1.15472,1.15825
1762898400,1.15848,1.15979,1.1563,1.15933
1762984800,1.15913,1.16562,1.15791,1.16337
1763071200,1.1638,1.16538,1.16061,1.16198
1763330400,1.16233,1.16247,1.1582,1.15917
1763416800,1.15893,1.16079,1.15716,1.15809
1763503200,1.15805,1.15972,1.15178,1.15375
1763589600,1.15387,1.15501,1.15013,1.15281
1763676000,1.15273,1.15525,1.14911,1.15145
1763935200,1.15138,1.15506,1.15019,1.15209
1764021600,1.15235,1.15861,1.15116,1.15704
1764108000,1.157,1.1601,1.15472,1.15951
1764194400,1.15951,1.16135,1.15767,1.15961
1764280800,1.15952,1.16076,1.15557,1.1596
1764540000,1.15948,1.16525,1.15896,1.161
1764626400,1.16073,1.16261,1.15914,1.16242
1764712800,1.16218,1.16777,1.16214,1.16711
1764799200,1.16718,1.1682,1.16411,1.16445
1764885600,1.16447,1.16718,1.16281,1.16442
