Etc/UTC,Open,High,Low,Close,Volume
2006-01-02T00:00:00+00:00,1.18428,1.18455,1.18428,1.18455,387800000
2006-01-02T00:01:00+00:00,1.1844,1.18455,1.18428,1.18449,692900000
2006-01-02T00:02:00+00:00,1.1845,1.1845,1.18435,1.18441,487900000
2006-01-02T00:03:00+00:00,1.18447,1.18453,1.18436,1.18445,613100000
2006-01-02T00:04:00+00:00,1.18451,1.18453,1.18429,1.18444,458100000
2006-01-02T00:05:00+00:00,1.18439,1.18449,1.18429,1.18446,818400000
2006-01-02T00:06:00+00:00,1.18431,1.18448,1.18431,1.18439,334000000
2006-01-02T00:07:00+00:00,1.18452,1.18452,1.1843,1.18437,217000000
2006-01-02T00:08:00+00:00,1.18443,1.18452,1.18435,1.18452,401700000
2006-01-02T00:09:00+00:00,1.18452,1.18452,1.18435,1.18445,849600000
2006-01-02T00:10:00+00:00,1.18453,1.18453,1.18431,1.18438,555200000
2006-01-02T00:11:00+00:00,1.18447,1.18453,1.18437,1.18437,205700000
2006-01-02T00:12:00+00:00,1.18433,1.1845,1.18433,1.18446,495200000
2006-01-02T00:13:00+00:00,1.18421,1.18442,1.18421,1.18439,693700000
2006-01-02T00:14:00+00:00,1.18437,1.18447,1.18431,1.1844,633200000
2006-01-02T00:15:00+00:00,1.18436,1.1845,1.18436,1.1844,385600000
2006-01-02T00:16:00+00:00,1.1844,1.18449,1.18436,1.18436,343500000
2006-01-02T00:17:00+00:00,1.18447,1.18448,1.18431,1.18441,788200000
2006-01-02T00:18:00+00:00,1.18439,1.18448,1.18433,1.18437,559200000
2006-01-02T00:19:00+00:00,1.18442,1.18453,1.18433,1.18442,501400000
2006-01-02T00:20:00+00:00,1.18442,1.18446,1.18426,1.18435,516100000
2006-01-02T00:21:00+00:00,1.1844,1.18451,1.18437,1.18445,786500000
2006-01-02T00:22:00+00:00,1.18448,1.18454,1.18428,1.18452,701000000
2006-01-02T00:23:00+00:00,1.18438,1.18451,1.18436,1.18451,480300000
2006-01-02T00:24:00+00:00,1.18452,1.18456,1.18441,1.18441,568400000
2006-01-02T00:25:00+00:00,1.1844,1.18444,1.18429,1.18429,369700000
2006-01-02T00:26:00+00:00,1.18443,1.18446,1.18432,1.1844,580200000
2006-01-02T00:27:00+00:00,1.18442,1.18449,1.18432,1.18437,464400000
2006-01-02T00:28:00+00:00,1.18434,1.1845,1.18434,1.18447,244200000
2006-01-02T00:29:00+00:00,1.18447,1.1845,1.1843,1.18433,531300000
2006-01-02T00:30:00+00:00,1.18437,1.18448,1.18433,1.1844,568800000
2006-01-02T00:31:00+00:00,1.18438,1.18455,1.18437,1.18446,395000000
