time,open,high,low,close
1343275200,94.737000,94.758000,94.735000,94.756000
1343275260,94.755000,94.758000,94.751000,94.754000
1343275320,94.755000,94.764000,94.751000,94.762000
1343275380,94.763000,94.770000,94.763000,94.768000
1343275440,94.769000,94.782000,94.766000,94.782000
1343275500,94.780000,94.784000,94.780000,94.783000
1343275560,94.781000,94.781000,94.775000,94.777000
1343275620,94.779000,94.784000,94.779000,94.783000
1343275680,94.782000,94.783000,94.776000,94.783000
1343275740,94.781000,94.783000,94.777000,94.777000
1343275800,94.779000,94.779000,94.770000,94.772000
1343275860,94.774000,94.774000,94.770000,94.770000
1343275920,94.772000,94.780000,94.770000,94.774000
1343275980,94.772000,94.777000,94.768000,94.777000
1343276040,94.773000,94.781000,94.770000,94.779000
1343276100,94.778000,94.785000,94.773000,94.785000
1343276160,94.783000,94.784000,94.777000,94.783000
1343276220,94.785000,94.789000,94.785000,94.789000
1343276280,94.785000,94.793000,94.785000,94.786000
1343276340,94.785000,94.785000,94.775000,94.775000
1343276400,94.777000,94.785000,94.777000,94.785000
1343276460,94.786000,94.792000,94.765000,94.766000
1343276520,94.767000,94.777000,94.765000,94.777000
1343276580,94.776000,94.776000,94.755000,94.765000
1343276640,94.764000,94.764000,94.748000,94.753000
1343276700,94.751000,94.754000,94.746000,94.753000
1343276760,94.751000,94.757000,94.744000,94.757000
1343276820,94.758000,94.767000,94.755000,94.757000
1343276880,94.759000,94.759000,94.751000,94.757000
1343276940,94.759000,94.762000,94.741000,94.743000
1343277000,94.741000,94.763000,94.740000,94.762000
1343277060,94.760000,94.761000,94.753000,94.760000
1343277120,94.762000,94.769000,94.758000,94.762000
1343277180,94.765000,94.769000,94.761000,94.761000
1343277240,94.760000,94.810000,94.747000,94.788000
1343277300,94.787000,94.800000,94.786000,94.796000
1343277360,94.798000,94.821000,94.798000,94.821000
1343277420,94.822000,94.832000,94.804000,94.816000
1343277480,94.813000,94.839000,94.805000,94.811000
1343277540,94.813000,94.822000,94.806000,94.810000
1343277600,94.812000,94.830000,94.804000,94.821000
1343277660,94.822000,94.830000,94.816000,94.817000
1343277720,94.816000,94.850000,94.813000,94.828000
1343277780,94.833000,94.836000,94.824000,94.836000
1343277840,94.837000,94.860000,94.829000,94.856000
1343277900,94.854000,94.854000,94.836000,94.838000
1343277960,94.836000,94.847000,94.830000,94.839000
1343278020,94.837000,94.850000,94.825000,94.825000
1343278080,94.827000,94.852000,94.825000,94.848000
1343278140,94.849000,94.849000,94.814000,94.814000
1343278200,94.813000,94.838000,94.813000,94.833000
1343278260,94.838000,94.843000,94.828000,94.842000
1343278320,94.845000,94.882000,94.845000,94.849000
1343278380,94.850000,94.895000,94.849000,94.895000
1343278440,94.901000,94.901000,94.851000,94.851000
1343278500,94.852000,94.867000,94.851000,94.867000
1343278560,94.869000,94.869000,94.857000,94.867000
1343278620,94.865000,94.865000,94.852000,94.852000
1343278680,94.854000,94.883000,94.854000,94.880000
1343278740,94.878000,94.880000,94.870000,94.871000
1343278800,94.869000,94.869000,94.854000,94.855000
1343278860,94.862000,94.896000,94.862000,94.886000
1343278920,94.885000,94.892000,94.867000,94.886000
1343278980,94.888000,94.893000,94.888000,94.890000
1343279040,94.892000,94.920000,94.880000,94.920000
1343279100,94.919000,94.941000,94.919000,94.927000
1343279160,94.926000,94.952000,94.921000,94.946000
1343279220,94.944000,94.963000,94.944000,94.963000
1343279280,94.961000,95.010000,94.957000,94.959000
1343279340,94.957000,94.959000,94.903000,94.907000
1343279400,94.906000,94.923000,94.903000,94.916000
1343279460,94.918000,94.932000,94.907000,94.907000
1343279520,94.910000,94.934000,94.900000,94.928000
1343279580,94.929000,94.981000,94.927000,94.970000
1343279640,94.968000,94.994000,94.956000,94.987000
1343279700,94.986000,94.986000,94.955000,94.980000
1343279760,94.979000,94.981000,94.971000,94.971000
1343279820,94.975000,95.026000,94.975000,94.991000
1343279880,94.990000,94.990000,94.971000,94.974000
1343279940,94.977000,94.977000,94.935000,94.939000
1343280000,94.944000,94.967000,94.943000,94.954000
1343280060,94.953000,94.956000,94.934000,94.941000
1343280120,94.943000,94.946000,94.938000,94.945000
1343280180,94.941000,94.943000,94.939000,94.941000
1343280240,94.939000,94.939000,94.928000,94.930000
1343280300,94.932000,94.937000,94.928000,94.930000
1343280360,94.931000,94.953000,94.931000,94.947000
1343280420,94.945000,94.956000,94.932000,94.956000
1343280480,94.954000,94.977000,94.954000,94.959000
1343280540,94.960000,94.969000,94.958000,94.958000
1343280600,94.957000,94.959000,94.956000,94.956000
1343280660,94.958000,94.958000,94.944000,94.944000
1343280720,94.946000,94.956000,94.946000,94.956000
1343280780,94.954000,94.956000,94.940000,94.946000
1343280840,94.944000,94.944000,94.922000,94.926000
1343280900,94.928000,94.934000,94.920000,94.925000
1343280960,94.921000,94.940000,94.921000,94.939000
