time,open,high,low,close
1346731200,1.589350,1.589510,1.589350,1.589490
1346731260,1.589500,1.589570,1.589500,1.589550
1346731320,1.589530,1.589560,1.589530,1.589560
1346731380,1.589540,1.589540,1.589520,1.589520
1346731440,1.589540,1.589560,1.589520,1.589540
1346731500,1.589560,1.589620,1.589540,1.589620
1346731560,1.589600,1.589620,1.589580,1.589600
1346731620,1.589560,1.589580,1.589560,1.589580
1346731680,1.589560,1.589610,1.589540,1.589560
1346731740,1.589520,1.589560,1.589410,1.589410
1346731800,1.589400,1.589440,1.589390,1.589440
1346731860,1.589420,1.589440,1.589340,1.589370
1346731920,1.589390,1.589410,1.589360,1.589400
1346731980,1.589380,1.589400,1.589270,1.589290
1346732040,1.589310,1.589310,1.589090,1.589090
1346732100,1.589110,1.589150,1.589090,1.589120
1346732160,1.589100,1.589120,1.589020,1.589020
1346732220,1.589040,1.589040,1.588980,1.589000
1346732280,1.589030,1.589030,1.588990,1.589000
1346732340,1.589020,1.589020,1.589000,1.589000
1346732400,1.589010,1.589050,1.589000,1.589010
1346732460,1.589000,1.589030,1.589000,1.589020
1346732520,1.589030,1.589040,1.589020,1.589030
1346732580,1.589000,1.589110,1.589000,1.589100
1346732640,1.589120,1.589200,1.589110,1.589180
1346732700,1.589170,1.589200,1.589130,1.589200
1346732760,1.589160,1.589220,1.589160,1.589190
1346732820,1.589150,1.589210,1.589130,1.589190
1346732880,1.589210,1.589210,1.589050,1.589070
1346732940,1.589090,1.589110,1.588840,1.588990
1346733000,1.588980,1.589120,1.588980,1.589090
1346733060,1.589050,1.589320,1.589030,1.589320
1346733120,1.589340,1.589380,1.589150,1.589230
1346733180,1.589210,1.589240,1.589190,1.589220
1346733240,1.589240,1.589240,1.589120,1.589170
1346733300,1.589260,1.589290,1.589220,1.589260
1346733360,1.589240,1.589390,1.589180,1.589270
1346733420,1.589300,1.589440,1.589190,1.589210
1346733480,1.589220,1.589220,1.589140,1.589150
1346733540,1.589160,1.589240,1.589150,1.589190
1346733600,1.589200,1.589200,1.589110,1.589130
1346733660,1.589110,1.589130,1.589020,1.589090
1346733720,1.589070,1.589090,1.589040,1.589060
1346733780,1.589040,1.589070,1.588960,1.589050
1346733840,1.589040,1.589110,1.589030,1.589070
1346733900,1.589060,1.589070,1.588950,1.589040
1346733960,1.589020,1.589140,1.589000,1.589080
1346734020,1.589060,1.589060,1.588940,1.589050
1346734080,1.589040,1.589060,1.589020,1.589020
1346734140,1.589000,1.589070,1.589000,1.589070
1346734200,1.589100,1.589110,1.589040,1.589100
1346734260,1.589080,1.589080,1.589000,1.589060
1346734320,1.589040,1.589040,1.588830,1.588840
1346734380,1.588850,1.588860,1.588540,1.588590
1346734440,1.588580,1.588740,1.588540,1.588710
1346734500,1.588690,1.588790,1.588690,1.588740
1346734560,1.588750,1.588760,1.588720,1.588740
1346734620,1.588720,1.588720,1.588510,1.588540
1346734680,1.588520,1.588600,1.588490,1.588550
1346734740,1.588570,1.588610,1.588550,1.588570
1346734800,1.588610,1.588860,1.588590,1.588860
1346734860,1.588850,1.588860,1.588740,1.588810
1346734920,1.588790,1.588810,1.588700,1.588700
1346734980,1.588690,1.588700,1.588490,1.588530
1346735040,1.588560,1.588590,1.588500,1.588570
1346735100,1.588560,1.588730,1.588530,1.588550
1346735160,1.588560,1.588570,1.588520,1.588520
1346735220,1.588540,1.588610,1.588520,1.588540
1346735280,1.588520,1.588560,1.588520,1.588540
1346735340,1.588520,1.588560,1.588430,1.588430
1346735400,1.588410,1.588490,1.588390,1.588420
1346735460,1.588400,1.588440,1.588380,1.588420
1346735520,1.588440,1.588450,1.588390,1.588430
1346735580,1.588410,1.588620,1.588410,1.588600
1346735640,1.588620,1.588620,1.588530,1.588580
1346735700,1.588590,1.588610,1.588530,1.588540
1346735760,1.588550,1.588550,1.588500,1.588510
1346735820,1.588530,1.588560,1.588510,1.588540
1346735880,1.588550,1.588560,1.588500,1.588540
1346735940,1.588500,1.588540,1.588480,1.588500
1346736000,1.588520,1.588560,1.588490,1.588510
1346736060,1.588490,1.588490,1.588420,1.588430
1346736120,1.588460,1.588460,1.588400,1.588430
1346736180,1.588450,1.588460,1.588400,1.588450
1346736240,1.588490,1.588500,1.588430,1.588440
1346736300,1.588410,1.588410,1.588290,1.588350
1346736360,1.588320,1.588350,1.588220,1.588270
1346736420,1.588260,1.588360,1.588260,1.588330
1346736480,1.588350,1.588500,1.588350,1.588500
1346736540,1.588460,1.588570,1.588460,1.588550
1346736600,1.588530,1.588730,1.588530,1.588660
1346736660,1.588640,1.588660,1.588520,1.588520
1346736720,1.588470,1.588540,1.588470,1.588520
1346736780,1.588540,1.588730,1.588520,1.588670
1346736840,1.588690,1.588810,1.588690,1.588790
1346736900,1.588770,1.589040,1.588770,1.589040
1346736960,1.589030,1.589030,1.588970,1.588990
1346737020,1.589000,1.589090,1.588960,1.589050
1346737080,1.589070,1.589110,1.589040,1.589090
1346737140,1.589070,1.589150,1.589010,1.589110
1346737200,1.589070,1.589230,1.589070,1.589180
1346737260,1.589200,1.589310,1.589110,1.589110
1346737320,1.589090,1.589090,1.589010,1.589070
1346737380,1.589140,1.589180,1.589120,1.589170
1346737440,1.589180,1.589180,1.589140,1.589160
1346737500,1.589140,1.589160,1.589010,1.589010
1346737560,1.588990,1.588990,1.588850,1.588900
1346737620,1.588860,1.588910,1.588790,1.588790
1346737680,1.588770,1.588830,1.588730,1.588820
1346737740,1.588830,1.588870,1.588770,1.588770
1346737800,1.588750,1.588780,1.588720,1.588760
1346737860,1.588780,1.588830,1.588750,1.588790
1346737920,1.588810,1.588810,1.588780,1.588800
1346737980,1.588780,1.588940,1.588740,1.588740
1346738040,1.588730,1.588730,1.588650,1.588690
1346738100,1.588730,1.588790,1.588680,1.588770
1346738160,1.588780,1.588780,1.588700,1.588700
1346738220,1.588710,1.588760,1.588700,1.588710
1346738280,1.588730,1.588770,1.588730,1.588750
1346738340,1.588770,1.588770,1.588690,1.588700
1346738400,1.588690,1.588760,1.588690,1.588760
1346738460,1.588740,1.588760,1.588710,1.588730
1346738520,1.588710,1.588810,1.588710,1.588810
1346738580,1.588740,1.588810,1.588490,1.588810
1346738640,1.588790,1.588790,1.588340,1.588480
1346738700,1.588430,1.588610,1.588420,1.588550
1346738760,1.588530,1.588550,1.588320,1.588390
1346738820,1.588430,1.588490,1.588390,1.588470
1346738880,1.588400,1.588580,1.588370,1.588530
1346738940,1.588520,1.588620,1.588500,1.588560
1346739000,1.588550,1.588610,1.588500,1.588500
1346739060,1.588470,1.588570,1.588430,1.588550
1346739120,1.588570,1.588880,1.588560,1.588810
1346739180,1.588790,1.588940,1.588680,1.588880
1346739240,1.588870,1.588950,1.588740,1.588770
1346739300,1.588760,1.588800,1.588690,1.588750
1346739360,1.588770,1.588790,1.588620,1.588620
1346739420,1.588610,1.588680,1.588590,1.588680
1346739480,1.588670,1.588690,1.588570,1.588600
1346739540,1.588610,1.588810,1.588560,1.588780
1346739600,1.588800,1.588810,1.588770,1.588780
1346739660,1.588750,1.588800,1.588720,1.588790
1346739720,1.588760,1.588760,1.588580,1.588610
1346739780,1.588600,1.588610,1.588570,1.588610
1346739840,1.588630,1.588810,1.588630,1.588790
1346739900,1.588810,1.588840,1.588720,1.588780
1346739960,1.588820,1.588840,1.588730,1.588790
1346740020,1.588820,1.588820,1.588790,1.588800
1346740080,1.588840,1.588840,1.588770,1.588800
1346740140,1.588820,1.588820,1.588800,1.588820
1346740200,1.588800,1.588840,1.588770,1.588810
1346740260,1.588820,1.588850,1.588710,1.588850
1346740320,1.588800,1.588840,1.588710,1.588820
1346740380,1.588800,1.588850,1.588770,1.588800
1346740440,1.588860,1.588930,1.588730,1.588800
1346740500,1.588780,1.588810,1.588740,1.588790
1346740560,1.588830,1.589090,1.588830,1.589090
1346740620,1.589070,1.589290,1.589070,1.589230
1346740680,1.589260,1.589260,1.589070,1.589150
1346740740,1.589160,1.589270,1.589160,1.589220
1346740800,1.589230,1.589540,1.589220,1.589500
1346740860,1.589480,1.589480,1.589360,1.589400
1346740920,1.589380,1.589390,1.589180,1.589220
1346740980,1.589270,1.589290,1.589210,1.589260
1346741040,1.589270,1.589310,1.589220,1.589300
1346741100,1.589310,1.589320,1.589270,1.589300
1346741160,1.589310,1.589360,1.589240,1.589310
1346741220,1.589330,1.589490,1.589330,1.589410
1346741280,1.589400,1.589540,1.589370,1.589480
1346741340,1.589470,1.589540,1.589430,1.589430
1346741400,1.589400,1.589500,1.589350,1.589480
1346741460,1.589430,1.589470,1.589340,1.589400
1346741520,1.589410,1.589410,1.589230,1.589280
1346741580,1.589270,1.589400,1.589260,1.589380
1346741640,1.589340,1.589520,1.589330,1.589510
1346741700,1.589490,1.589550,1.589490,1.589530
1346741760,1.589540,1.589580,1.589310,1.589370
1346741820,1.589380,1.589410,1.589200,1.589370
1346741880,1.589420,1.589480,1.589380,1.589400
1346741940,1.589420,1.589470,1.589280,1.589300
1346742000,1.589260,1.589370,1.589190,1.589310
1346742060,1.589320,1.589390,1.589230,1.589250
1346742120,1.589240,1.589510,1.589240,1.589460
1346742180,1.589470,1.589580,1.589410,1.589540
1346742240,1.589530,1.589540,1.589270,1.589290
1346742300,1.589280,1.589310,1.589210,1.589280
1346742360,1.589270,1.589340,1.589210,1.589330
1346742420,1.589320,1.589530,1.589300,1.589420
1346742480,1.589380,1.589420,1.589100,1.589110
1346742540,1.589130,1.589430,1.589130,1.589430
1346742600,1.589400,1.589430,1.589320,1.589390
1346742660,1.589360,1.589610,1.589330,1.589610
1346742720,1.589600,1.589720,1.589600,1.589720
1346742780,1.589670,1.589830,1.589670,1.589800
1346742840,1.589780,1.590160,1.589680,1.589720
1346742900,1.589710,1.589730,1.589370,1.589550
1346742960,1.589560,1.589710,1.589440,1.589490
1346743020,1.589470,1.589490,1.589220,1.589280
1346743080,1.589240,1.589630,1.589240,1.589470
1346743140,1.589510,1.589670,1.589430,1.589470
1346743200,1.589490,1.589640,1.589420,1.589510
1346743260,1.589460,1.589690,1.589450,1.589610
1346743320,1.589630,1.589810,1.589590,1.589810
1346743380,1.589800,1.590180,1.589800,1.590150
1346743440,1.590160,1.590240,1.590100,1.590200
1346743500,1.590180,1.590320,1.590140,1.590180
1346743560,1.590120,1.590300,1.590100,1.590180
1346743620,1.590160,1.590370,1.590160,1.590300
1346743680,1.590280,1.590300,1.590120,1.590200
1346743740,1.590170,1.590340,1.590150,1.590330
1346743800,1.590340,1.590670,1.590340,1.590600
1346743860,1.590580,1.590710,1.590380,1.590710
1346743920,1.590680,1.590700,1.590480,1.590600
1346743980,1.590610,1.590650,1.590470,1.590560
1346744040,1.590570,1.590580,1.590380,1.590400
1346744100,1.590410,1.590540,1.590310,1.590320
1346744160,1.590270,1.590290,1.590050,1.590070
1346744220,1.590100,1.590170,1.590010,1.590050
1346744280,1.590070,1.590240,1.590040,1.590140
1346744340,1.590160,1.590160,1.589870,1.590040
1346744400,1.590020,1.590330,1.590020,1.590270
1346744460,1.590290,1.590380,1.590220,1.590380
1346744520,1.590470,1.590600,1.590430,1.590570
1346744580,1.590560,1.590590,1.590410,1.590570
1346744640,1.590580,1.590660,1.590550,1.590660
1346744700,1.590690,1.590690,1.590550,1.590620
1346744760,1.590590,1.590630,1.590370,1.590400
1346744820,1.590370,1.590400,1.590190,1.590340
1346744880,1.590390,1.590540,1.590280,1.590310
1346744940,1.590290,1.590400,1.590260,1.590300
1346745000,1.590280,1.590390,1.590260,1.590290
1346745060,1.590270,1.590520,1.590270,1.590520
1346745120,1.590480,1.590600,1.590120,1.590140
1346745180,1.590160,1.590200,1.589900,1.590100
1346745240,1.590080,1.590190,1.590010,1.590050
1346745300,1.590120,1.590250,1.590110,1.590250
1346745360,1.590260,1.590260,1.589980,1.590060
1346745420,1.590080,1.590140,1.589990,1.590120
1346745480,1.590140,1.590140,1.590000,1.590040
1346745540,1.590000,1.590100,1.589940,1.590080
1346745600,1.590070,1.590130,1.590050,1.590110
1346745660,1.590160,1.590250,1.590130,1.590250
1346745720,1.590240,1.590240,1.590030,1.590060
1346745780,1.590080,1.590330,1.590060,1.590300
1346745840,1.590280,1.590280,1.590010,1.590120
1346745900,1.590130,1.590290,1.590130,1.590150
1346745960,1.590140,1.590160,1.590050,1.590120
1346746020,1.590130,1.590240,1.590060,1.590080
1346746080,1.590060,1.590170,1.590040,1.590050
1346746140,1.590060,1.590170,1.590020,1.590160
1346746200,1.590170,1.590240,1.590160,1.590220
1346746260,1.590230,1.590240,1.590010,1.590150
1346746320,1.590170,1.590200,1.590120,1.590170
1346746380,1.590160,1.590160,1.590050,1.590070
1346746440,1.590060,1.590090,1.590000,1.590030
1346746500,1.590050,1.590140,1.590040,1.590140
1346746560,1.590130,1.590200,1.590030,1.590160
1346746620,1.590150,1.590170,1.589800,1.589980
1346746680,1.589940,1.589990,1.589760,1.589860
1346746740,1.589870,1.590140,1.589870,1.590110
1346746800,1.590100,1.590250,1.590030,1.590040
1346746860,1.590050,1.590290,1.590040,1.590110
1346746920,1.590120,1.590160,1.589990,1.590020
1346746980,1.590030,1.590040,1.589900,1.589960
1346747040,1.589950,1.590090,1.589940,1.590080
1346747100,1.590070,1.590210,1.590060,1.590090
1346747160,1.590110,1.590240,1.590090,1.590240
