time,open,high,low,close
1507176000,0.975450,0.975480,0.975440,0.975480
1507176060,0.975440,0.975490,0.975430,0.975490
1507176120,0.975490,0.975500,0.975490,0.975500
1507176180,0.975490,0.975500,0.975490,0.975500
1507176240,0.975490,0.975490,0.975490,0.975490
1507176300,0.975490,0.975500,0.975480,0.975480
1507176360,0.975480,0.975490,0.975480,0.975480
1507176420,0.975490,0.975490,0.975460,0.975460
1507176480,0.975460,0.975490,0.975460,0.975470
1507176540,0.975480,0.975490,0.975440,0.975470
1507176600,0.975470,0.975490,0.975440,0.975440
1507176660,0.975440,0.975440,0.975420,0.975430
1507176720,0.975410,0.975430,0.975330,0.975430
1507176780,0.975370,0.975430,0.975310,0.975320
1507176840,0.975320,0.975380,0.975310,0.975310
1507176900,0.975320,0.975320,0.975270,0.975270
1507176960,0.975250,0.975250,0.975250,0.975250
1507177020,0.975250,0.975250,0.975200,0.975220
1507177080,0.975190,0.975240,0.975170,0.975240
1507177140,0.975230,0.975260,0.975230,0.975250
1507177320,0.975280,0.975300,0.975280,0.975290
1507177440,0.975330,0.975330,0.975230,0.975230
1507177500,0.975300,0.975320,0.975260,0.975270
1507177560,0.975280,0.975320,0.975270,0.975320
1507177620,0.975310,0.975370,0.975310,0.975340
1507177680,0.975330,0.975330,0.975330,0.975330
1507177740,0.975320,0.975320,0.975290,0.975300
1507177800,0.975300,0.975300,0.975290,0.975290
1507177860,0.975280,0.975290,0.975270,0.975280
1507177920,0.975270,0.975290,0.975270,0.975290
1507177980,0.975280,0.975300,0.975270,0.975300
1507178040,0.975290,0.975290,0.975290,0.975290
1507178100,0.975270,0.975270,0.975190,0.975210
1507178160,0.975210,0.975210,0.975190,0.975190
1507178220,0.975200,0.975210,0.975200,0.975210
1507178340,0.975200,0.975200,0.975200,0.975200
1507178400,0.975200,0.975210,0.975150,0.975150
1507178460,0.975170,0.975190,0.975170,0.975190
1507178520,0.975190,0.975210,0.975190,0.975210
1507178580,0.975210,0.975210,0.975200,0.975200
1507178640,0.975200,0.975200,0.975190,0.975190
1507178700,0.975180,0.975210,0.975160,0.975180
1507178760,0.975180,0.975210,0.975180,0.975200
1507178820,0.975190,0.975200,0.975190,0.975190
1507178880,0.975200,0.975210,0.975190,0.975190
1507178940,0.975180,0.975200,0.975180,0.975190
1507179000,0.975180,0.975200,0.975180,0.975190
1507179060,0.975170,0.975200,0.975130,0.975190
1507179120,0.975180,0.975200,0.975160,0.975160
1507179180,0.975140,0.975140,0.975140,0.975140
1507179240,0.975130,0.975130,0.975030,0.975030
1507179300,0.974990,0.975020,0.974950,0.974950
1507179360,0.974930,0.974950,0.974920,0.974940
1507179420,0.974940,0.975020,0.974940,0.975010
1507179480,0.975020,0.975030,0.974940,0.974940
1507179540,0.974950,0.974970,0.974920,0.974920
1507179600,0.974950,0.974970,0.974820,0.974860
1507179660,0.974880,0.974940,0.974860,0.974940
1507179720,0.974960,0.975010,0.974820,0.974840
1507179780,0.974820,0.974840,0.974760,0.974770
1507179840,0.974750,0.974750,0.974750,0.974750
1507179900,0.974740,0.974760,0.974740,0.974760
1507179960,0.974770,0.974810,0.974770,0.974810
1507180020,0.974800,0.974820,0.974750,0.974760
1507180080,0.974770,0.974770,0.974750,0.974760
1507180140,0.974770,0.974770,0.974760,0.974760
1507180200,0.974810,0.974810,0.974770,0.974780
1507180260,0.974800,0.974850,0.974750,0.974770
1507180320,0.974790,0.974860,0.974760,0.974830
1507180380,0.974840,0.974920,0.974820,0.974870
1507180440,0.974870,0.974920,0.974860,0.974920
1507180500,0.974930,0.974980,0.974930,0.974980
1507180560,0.974980,0.974980,0.974980,0.974980
1507180620,0.974990,0.974990,0.974920,0.974940
1507180680,0.975000,0.975100,0.975000,0.975100
1507180740,0.975110,0.975110,0.975050,0.975060
1507180800,0.975040,0.975040,0.974970,0.974990
1507180860,0.974980,0.974990,0.974980,0.974980
1507180920,0.974970,0.975020,0.974960,0.974980
1507180980,0.974980,0.974990,0.974960,0.974990
1507181040,0.974980,0.975100,0.974980,0.975090
1507181100,0.975100,0.975130,0.975070,0.975070
1507181160,0.975140,0.975230,0.975140,0.975230
1507181220,0.975240,0.975260,0.975200,0.975210
1507181280,0.975220,0.975330,0.975220,0.975330
1507181340,0.975360,0.975360,0.975310,0.975310
1507181400,0.975320,0.975330,0.975320,0.975320
1507181460,0.975300,0.975330,0.975250,0.975320
1507181520,0.975330,0.975330,0.975320,0.975330
1507181580,0.975350,0.975350,0.975340,0.975340
1507181640,0.975320,0.975340,0.975320,0.975340
1507181700,0.975330,0.975430,0.975310,0.975420
1507181760,0.975430,0.975490,0.975430,0.975490
1507181820,0.975510,0.975540,0.975440,0.975480
1507181880,0.975470,0.975480,0.975270,0.975460
1507181940,0.975470,0.975500,0.975440,0.975480
1507182000,0.975480,0.975480,0.975470,0.975480
1507182060,0.975460,0.975460,0.975420,0.975420
