time,open,high,low,close
1586232000,1.081450,1.081490,1.081410,1.081440
1586232060,1.081450,1.081560,1.081440,1.081540
1586232120,1.081550,1.081610,1.081510,1.081580
1586232180,1.081590,1.081590,1.081380,1.081390
1586232240,1.081380,1.081440,1.081350,1.081440
1586232300,1.081440,1.081440,1.081300,1.081370
1586232360,1.081350,1.081370,1.081290,1.081300
1586232420,1.081300,1.081380,1.081290,1.081380
1586232480,1.081390,1.081580,1.081380,1.081580
1586232540,1.081580,1.081670,1.081580,1.081620
1586232600,1.081640,1.081650,1.081560,1.081580
1586232660,1.081610,1.081630,1.081520,1.081540
1586232720,1.081530,1.081530,1.081350,1.081370
1586232780,1.081370,1.081440,1.081250,1.081250
1586232840,1.081240,1.081280,1.081230,1.081250
1586232900,1.081240,1.081260,1.081140,1.081140
1586232960,1.081130,1.081310,1.081130,1.081310
1586233020,1.081300,1.081370,1.081290,1.081350
1586233080,1.081340,1.081360,1.081280,1.081280
1586233140,1.081300,1.081360,1.081280,1.081360
1586233200,1.081340,1.081370,1.081270,1.081340
1586233260,1.081330,1.081330,1.081180,1.081210
1586233320,1.081230,1.081360,1.081230,1.081270
1586233380,1.081260,1.081380,1.081260,1.081370
1586233440,1.081370,1.081430,1.081360,1.081400
1586233500,1.081400,1.081550,1.081400,1.081490
1586233560,1.081480,1.081490,1.081480,1.081480
1586233620,1.081480,1.081500,1.081480,1.081490
1586233680,1.081470,1.081470,1.081380,1.081440
1586233740,1.081440,1.081570,1.081420,1.081420
1586233800,1.081420,1.081440,1.081390,1.081430
1586233860,1.081440,1.081480,1.081430,1.081460
1586233920,1.081460,1.081480,1.081390,1.081450
1586233980,1.081470,1.081530,1.081390,1.081430
1586234040,1.081430,1.081460,1.081420,1.081450
1586234100,1.081440,1.081460,1.081390,1.081440
1586234160,1.081450,1.081510,1.081430,1.081490
1586234220,1.081490,1.081720,1.081470,1.081700
1586234280,1.081710,1.082480,1.081680,1.082270
1586234340,1.082260,1.082300,1.082040,1.082270
1586234400,1.082270,1.082280,1.081920,1.081920
1586234460,1.081910,1.081970,1.081820,1.081900
1586234520,1.081920,1.081980,1.081770,1.081980
1586234580,1.082000,1.082210,1.081990,1.082140
1586234640,1.082140,1.082500,1.082110,1.082400
1586234700,1.082410,1.082410,1.082160,1.082290
1586234760,1.082300,1.082340,1.082230,1.082330
1586234820,1.082300,1.082550,1.082300,1.082430
1586234880,1.082410,1.082540,1.082360,1.082470
1586234940,1.082470,1.082880,1.082450,1.082700
1586235000,1.082690,1.082940,1.082650,1.082840
1586235060,1.082870,1.082970,1.082840,1.082930
1586235120,1.082940,1.083010,1.082810,1.082870
1586235180,1.082870,1.082870,1.082630,1.082650
1586235240,1.082680,1.082700,1.082620,1.082690
1586235300,1.082670,1.082670,1.082500,1.082500
1586235360,1.082500,1.082600,1.082450,1.082580
1586235420,1.082580,1.082700,1.082570,1.082640
1586235480,1.082660,1.082810,1.082650,1.082770
1586235540,1.082760,1.082760,1.082590,1.082610
1586235600,1.082610,1.082620,1.082320,1.082340
1586235660,1.082340,1.082340,1.082240,1.082290
1586235720,1.082300,1.082550,1.082260,1.082550
1586235780,1.082540,1.082560,1.082360,1.082430
1586235840,1.082440,1.082610,1.082420,1.082560
1586235900,1.082570,1.082570,1.082450,1.082470
1586235960,1.082440,1.082480,1.082390,1.082470
1586236020,1.082480,1.082500,1.082450,1.082470
1586236080,1.082480,1.082490,1.082430,1.082430
1586236140,1.082430,1.082430,1.082350,1.082430
1586236200,1.082420,1.082580,1.082420,1.082450
1586236260,1.082440,1.082440,1.082070,1.082090
1586236320,1.082090,1.082320,1.082090,1.082300
1586236380,1.082300,1.082310,1.082150,1.082160
1586236440,1.082160,1.082330,1.082150,1.082330
1586236500,1.082340,1.082410,1.082340,1.082400
1586236560,1.082410,1.082500,1.082340,1.082460
1586236620,1.082460,1.082710,1.082460,1.082670
1586236680,1.082670,1.082800,1.082610,1.082640
1586236740,1.082630,1.082720,1.082620,1.082700
1586236800,1.082710,1.082720,1.082670,1.082710
1586236860,1.082710,1.082830,1.082700,1.082760
1586236920,1.082770,1.082800,1.082760,1.082790
1586236980,1.082840,1.082840,1.082750,1.082780
1586237040,1.082780,1.082790,1.082590,1.082620
1586237100,1.082610,1.082670,1.082490,1.082490
1586237160,1.082500,1.082560,1.082350,1.082350
1586237220,1.082340,1.082370,1.082260,1.082330
1586237280,1.082320,1.082490,1.082320,1.082490
1586237340,1.082480,1.082920,1.082460,1.082740
1586237400,1.082740,1.082740,1.082530,1.082540
1586237460,1.082540,1.082700,1.082430,1.082670
1586237520,1.082670,1.082740,1.082650,1.082660
1586237580,1.082660,1.082690,1.082580,1.082600
1586237640,1.082590,1.082640,1.082550,1.082640
1586237700,1.082650,1.082850,1.082590,1.082850
1586237760,1.082830,1.082960,1.082800,1.082940
1586237820,1.082950,1.082970,1.082830,1.082850
1586237880,1.082880,1.082890,1.082720,1.082740
1586237940,1.082750,1.082900,1.082740,1.082840
1586238000,1.082840,1.082900,1.082780,1.082780
1586238060,1.082770,1.082950,1.082760,1.082880
1586238120,1.082870,1.083060,1.082850,1.083050
1586238180,1.083050,1.084020,1.083050,1.083610
1586238240,1.083610,1.083760,1.083550,1.083650
1586238300,1.083660,1.083920,1.083560,1.083910
1586238360,1.083900,1.083970,1.083790,1.083880
1586238420,1.083880,1.083880,1.083650,1.083700
1586238480,1.083700,1.083720,1.083380,1.083430
1586238540,1.083440,1.083540,1.083370,1.083440
1586238600,1.083430,1.083460,1.083200,1.083460
1586238660,1.083450,1.083780,1.083440,1.083730
1586238720,1.083730,1.083800,1.083540,1.083570
1586238780,1.083560,1.083790,1.083540,1.083720
1586238840,1.083720,1.083840,1.083700,1.083810
1586238900,1.083810,1.084040,1.083810,1.084020
1586238960,1.084030,1.084060,1.083240,1.083240
1586239020,1.083250,1.083380,1.083160,1.083180
1586239080,1.083160,1.083160,1.082760,1.082780
1586239140,1.082820,1.082930,1.082780,1.082930
1586239200,1.082910,1.083050,1.082820,1.083050
1586239260,1.083050,1.083230,1.082900,1.082980
1586239320,1.082970,1.083050,1.082910,1.082980
1586239380,1.083020,1.083040,1.082690,1.082760
1586239440,1.082750,1.082770,1.082510,1.082510
1586239500,1.082520,1.082670,1.082470,1.082510
1586239560,1.082510,1.082510,1.082310,1.082350
1586239620,1.082350,1.082590,1.082330,1.082580
1586239680,1.082580,1.082800,1.082420,1.082780
1586239740,1.082800,1.082890,1.082520,1.082700
1586239800,1.082700,1.083190,1.082570,1.083190
1586239860,1.083170,1.083290,1.082850,1.082870
1586239920,1.082870,1.082930,1.082770,1.082780
1586239980,1.082790,1.082870,1.082640,1.082760
1586240040,1.082810,1.082950,1.082650,1.082900
1586240100,1.082910,1.083310,1.082890,1.083280
1586240160,1.083270,1.083490,1.083250,1.083400
1586240220,1.083400,1.083740,1.083270,1.083640
1586240280,1.083660,1.083670,1.083310,1.083310
1586240340,1.083310,1.083490,1.083270,1.083280
1586240400,1.083270,1.083450,1.083220,1.083360
1586240460,1.083360,1.083390,1.083220,1.083240
1586240520,1.083260,1.083640,1.083260,1.083570
1586240580,1.083600,1.083670,1.083440,1.083480
1586240640,1.083480,1.083520,1.083400,1.083500
1586240700,1.083500,1.083770,1.083450,1.083450
1586240760,1.083450,1.083600,1.083250,1.083480
1586240820,1.083480,1.083480,1.083300,1.083300
1586240880,1.083290,1.083300,1.083140,1.083200
1586240940,1.083190,1.083210,1.083020,1.083040
1586241000,1.083040,1.083110,1.082840,1.082840
1586241060,1.082850,1.083180,1.082690,1.083090
1586241120,1.083090,1.083330,1.083040,1.083310
1586241180,1.083320,1.083500,1.083250,1.083350
1586241240,1.083350,1.083540,1.083340,1.083370
1586241300,1.083370,1.083580,1.083360,1.083500
1586241360,1.083510,1.083570,1.083440,1.083510
1586241420,1.083510,1.083580,1.083310,1.083320
1586241480,1.083310,1.083310,1.083130,1.083270
1586241540,1.083280,1.083440,1.083250,1.083440
1586241600,1.083430,1.083440,1.083140,1.083250
1586241660,1.083230,1.083570,1.083160,1.083510
1586241720,1.083490,1.083750,1.083450,1.083640
1586241780,1.083610,1.083660,1.083370,1.083430
1586241840,1.083410,1.083520,1.083250,1.083460
