time,open,high,low,close
1594699200,0.903490,0.903490,0.903480,0.903480
1594699260,0.903480,0.903500,0.903470,0.903470
1594699320,0.903490,0.903490,0.903420,0.903420
1594699380,0.903430,0.903430,0.903420,0.903420
1594699440,0.903420,0.903470,0.903420,0.903440
1594699500,0.903440,0.903450,0.903390,0.903390
1594699560,0.903390,0.903450,0.903390,0.903450
1594699620,0.903450,0.903470,0.903450,0.903470
1594699680,0.903470,0.903470,0.903460,0.903460
1594699740,0.903460,0.903460,0.903460,0.903460
1594699800,0.903470,0.903540,0.903470,0.903520
1594699860,0.903520,0.903520,0.903490,0.903490
1594699920,0.903490,0.903540,0.903490,0.903540
1594699980,0.903530,0.903610,0.903510,0.903580
1594700040,0.903580,0.903580,0.903550,0.903560
1594700100,0.903560,0.903610,0.903550,0.903580
1594700160,0.903580,0.903600,0.903560,0.903560
1594700220,0.903560,0.903560,0.903510,0.903550
1594700280,0.903550,0.903570,0.903530,0.903530
1594700340,0.903530,0.903590,0.903520,0.903540
1594700400,0.903540,0.903570,0.903520,0.903560
1594700460,0.903570,0.903630,0.903570,0.903590
1594700520,0.903570,0.903590,0.903520,0.903520
1594700580,0.903520,0.903560,0.903520,0.903520
1594700640,0.903520,0.903530,0.903520,0.903520
1594700700,0.903520,0.903530,0.903520,0.903520
1594700760,0.903520,0.903560,0.903520,0.903530
1594700820,0.903530,0.903550,0.903530,0.903540
1594700880,0.903540,0.903550,0.903530,0.903550
1594700940,0.903550,0.903610,0.903550,0.903590
1594701000,0.903590,0.903600,0.903570,0.903590
1594701060,0.903590,0.903640,0.903590,0.903600
1594701120,0.903600,0.903650,0.903600,0.903610
1594701180,0.903610,0.903610,0.903600,0.903600
1594701240,0.903600,0.903600,0.903530,0.903560
1594701300,0.903560,0.903610,0.903560,0.903590
1594701360,0.903600,0.903600,0.903600,0.903600
1594701420,0.903580,0.903580,0.903580,0.903580
1594701480,0.903590,0.903600,0.903590,0.903590
1594701540,0.903590,0.903610,0.903590,0.903600
1594701600,0.903600,0.903620,0.903600,0.903610
1594701660,0.903620,0.903640,0.903620,0.903640
1594701720,0.903630,0.903630,0.903610,0.903610
1594701780,0.903610,0.903670,0.903610,0.903640
1594701840,0.903660,0.903660,0.903580,0.903580
1594701900,0.903580,0.903630,0.903580,0.903610
1594701960,0.903600,0.903630,0.903580,0.903630
1594702020,0.903640,0.903710,0.903620,0.903630
1594702080,0.903630,0.903630,0.903560,0.903620
1594702140,0.903610,0.903620,0.903590,0.903610
1594702200,0.903610,0.903640,0.903610,0.903640
1594702260,0.903640,0.903670,0.903600,0.903600
