time,open,high,low,close
1623038400,0.773540,0.773540,0.773490,0.773510
1623038460,0.773510,0.773510,0.773510,0.773510
1623038520,0.773500,0.773570,0.773480,0.773560
1623038580,0.773550,0.773550,0.773460,0.773460
1623038640,0.773450,0.773450,0.773420,0.773420
1623038700,0.773430,0.773460,0.773430,0.773460
1623038760,0.773460,0.773460,0.773450,0.773450
1623038820,0.773420,0.773420,0.773370,0.773400
1623038880,0.773410,0.773410,0.773320,0.773320
1623038940,0.773320,0.773380,0.773310,0.773310
1623039000,0.773320,0.773360,0.773310,0.773310
1623039060,0.773310,0.773350,0.773300,0.773300
1623039120,0.773340,0.773350,0.773300,0.773310
1623039180,0.773300,0.773340,0.773300,0.773330
1623039240,0.773320,0.773340,0.773320,0.773340
1623039300,0.773360,0.773380,0.773360,0.773370
1623039360,0.773390,0.773400,0.773390,0.773400
1623039420,0.773380,0.773380,0.773310,0.773310
1623039480,0.773300,0.773350,0.773260,0.773340
1623039540,0.773360,0.773410,0.773360,0.773410
1623039600,0.773440,0.773460,0.773440,0.773460
1623039720,0.773490,0.773510,0.773470,0.773510
1623039780,0.773560,0.773640,0.773560,0.773630
1623039840,0.773620,0.773630,0.773600,0.773600
1623039900,0.773630,0.773680,0.773630,0.773640
1623039960,0.773650,0.773670,0.773650,0.773660
1623040020,0.773670,0.773700,0.773670,0.773700
1623040080,0.773670,0.773680,0.773620,0.773670
1623040140,0.773680,0.773730,0.773660,0.773730
1623040200,0.773730,0.773790,0.773730,0.773760
1623040260,0.773780,0.773840,0.773780,0.773840
1623040320,0.773840,0.773860,0.773800,0.773820
1623040380,0.773820,0.773910,0.773810,0.773910
1623040440,0.773900,0.773920,0.773870,0.773910
1623040500,0.773930,0.773940,0.773880,0.773910
1623040560,0.773930,0.774070,0.773930,0.774060
1623040620,0.774070,0.774100,0.774010,0.774010
1623040680,0.774020,0.774120,0.774020,0.774120
1623040740,0.774130,0.774150,0.774120,0.774130
1623040800,0.774130,0.774160,0.774050,0.774090
1623040860,0.774110,0.774160,0.774110,0.774160
1623040920,0.774200,0.774270,0.774200,0.774270
1623040980,0.774260,0.774270,0.774210,0.774210
1623041040,0.774190,0.774190,0.774160,0.774170
1623041100,0.774170,0.774170,0.774140,0.774150
1623041160,0.774140,0.774150,0.774140,0.774140
1623041220,0.774140,0.774140,0.774090,0.774090
1623041280,0.774070,0.774170,0.774060,0.774170
1623041340,0.774190,0.774240,0.774180,0.774220
1623041400,0.774230,0.774250,0.774210,0.774240
1623041460,0.774240,0.774240,0.774140,0.774150
1623041520,0.774160,0.774170,0.774100,0.774110
1623041580,0.774100,0.774100,0.774040,0.774050
1623041640,0.774040,0.774040,0.774030,0.774030
1623041700,0.774020,0.774020,0.774000,0.774010
1623041760,0.774000,0.774010,0.773910,0.773950
1623041820,0.773950,0.773950,0.773870,0.773870
1623041880,0.773880,0.773880,0.773790,0.773790
1623041940,0.773820,0.773840,0.773800,0.773840
1623042000,0.773840,0.773910,0.773840,0.773900
1623042060,0.773940,0.773960,0.773870,0.773900
1623042120,0.773910,0.773910,0.773870,0.773880
1623042180,0.773870,0.773890,0.773860,0.773890
1623042240,0.773920,0.773920,0.773860,0.773870
1623042300,0.773870,0.773870,0.773870,0.773870
1623042360,0.773870,0.773890,0.773840,0.773850
1623042420,0.773870,0.773950,0.773860,0.773950
1623042480,0.773950,0.773970,0.773930,0.773950
1623042540,0.773930,0.773930,0.773850,0.773870
1623042600,0.773870,0.773870,0.773850,0.773860
1623042660,0.773860,0.773860,0.773720,0.773730
1623042720,0.773730,0.773760,0.773720,0.773720
1623042780,0.773700,0.773700,0.773650,0.773660
1623042840,0.773660,0.773670,0.773570,0.773570
1623042900,0.773550,0.773550,0.773550,0.773550
1623043020,0.773540,0.773540,0.773520,0.773520
1623043080,0.773540,0.773550,0.773510,0.773530
1623043140,0.773540,0.773560,0.773540,0.773560
1623043260,0.773560,0.773560,0.773510,0.773510
1623043320,0.773540,0.773540,0.773540,0.773540
1623043380,0.773520,0.773550,0.773510,0.773540
1623043440,0.773570,0.773590,0.773560,0.773560
1623043500,0.773570,0.773570,0.773520,0.773520
1623043560,0.773550,0.773610,0.773550,0.773610
1623043620,0.773600,0.773600,0.773510,0.773510
1623043680,0.773520,0.773520,0.773400,0.773400
1623043800,0.773400,0.773410,0.773310,0.773350
1623043860,0.773370,0.773370,0.773290,0.773290
1623043920,0.773300,0.773410,0.773300,0.773410
1623043980,0.773370,0.773370,0.773280,0.773280
1623044040,0.773240,0.773300,0.773210,0.773260
1623044100,0.773250,0.773250,0.773190,0.773190
1623044160,0.773200,0.773210,0.773180,0.773210
1623044220,0.773220,0.773260,0.773210,0.773220
1623044280,0.773240,0.773320,0.773240,0.773320
1623044340,0.773320,0.773360,0.773310,0.773310
1623044400,0.773290,0.773290,0.773240,0.773250
1623044460,0.773240,0.773290,0.773240,0.773290
1623044520,0.773300,0.773420,0.773300,0.773420
1623044580,0.773400,0.773570,0.773400,0.773510
1623044640,0.773530,0.773630,0.773530,0.773590
1623044700,0.773580,0.773620,0.773420,0.773440
1623044760,0.773470,0.773560,0.773470,0.773560
1623044820,0.773580,0.773630,0.773430,0.773460
1623044880,0.773440,0.773490,0.773420,0.773450
1623044940,0.773470,0.773510,0.773460,0.773480
