time,open,high,low,close
1778817600,1.373940,1.374060,1.373940,1.374030
1778817660,1.374030,1.374070,1.374010,1.374040
1778817720,1.374030,1.374100,1.374030,1.374060
1778817780,1.374060,1.374080,1.374020,1.374030
1778817840,1.374050,1.374130,1.374050,1.374110
1778817900,1.374110,1.374120,1.374030,1.374030
1778817960,1.374050,1.374070,1.374030,1.374070
1778818020,1.374070,1.374080,1.374050,1.374070
1778818080,1.374070,1.374070,1.374050,1.374060
1778818140,1.374070,1.374070,1.374020,1.374060
1778818200,1.374050,1.374060,1.374030,1.374040
1778818260,1.374040,1.374070,1.374020,1.374060
1778818320,1.374040,1.374050,1.373990,1.374010
1778818380,1.374020,1.374030,1.373950,1.373950
1778818440,1.373940,1.373960,1.373930,1.373950
1778818500,1.373960,1.373970,1.373950,1.373960
1778818560,1.373960,1.373960,1.373950,1.373950
1778818620,1.373960,1.373970,1.373960,1.373960
1778818680,1.373960,1.373980,1.373960,1.373960
1778818740,1.373970,1.374000,1.373970,1.373980
1778818800,1.373980,1.374000,1.373970,1.373990
1778818860,1.374000,1.374000,1.373980,1.373980
1778818920,1.374000,1.374070,1.373980,1.374060
1778818980,1.374060,1.374080,1.374060,1.374060
1778819040,1.374060,1.374080,1.374050,1.374060
1778819100,1.374050,1.374080,1.374040,1.374070
1778819160,1.374070,1.374080,1.374030,1.374040
1778819220,1.374030,1.374070,1.374030,1.374060
1778819280,1.374060,1.374120,1.374060,1.374110
1778819340,1.374100,1.374160,1.374080,1.374140
1778819400,1.374140,1.374150,1.374080,1.374080
1778819460,1.374090,1.374130,1.374090,1.374130
1778819520,1.374120,1.374120,1.374090,1.374110
1778819580,1.374110,1.374120,1.374110,1.374110
1778819640,1.374120,1.374160,1.374110,1.374140
1778819700,1.374130,1.374240,1.374130,1.374240
1778819760,1.374250,1.374250,1.374190,1.374240
1778819820,1.374240,1.374280,1.374160,1.374160
1778819880,1.374160,1.374270,1.374160,1.374260
1778819940,1.374260,1.374280,1.374250,1.374280
1778820000,1.374270,1.374320,1.374270,1.374310
1778820060,1.374310,1.374330,1.374260,1.374310
1778820120,1.374320,1.374370,1.374310,1.374360
1778820180,1.374360,1.374410,1.374360,1.374360
1778820240,1.374380,1.374470,1.374360,1.374460
1778820300,1.374470,1.374470,1.374450,1.374460
1778820360,1.374460,1.374490,1.374360,1.374370
1778820420,1.374360,1.374410,1.374350,1.374400
1778820480,1.374430,1.374440,1.374400,1.374440
1778820540,1.374430,1.374510,1.374430,1.374470
1778820600,1.374460,1.374480,1.374450,1.374460
1778820660,1.374460,1.374530,1.374450,1.374510
1778820720,1.374510,1.374530,1.374510,1.374510
1778820780,1.374510,1.374550,1.374480,1.374520
