time,open,high,low,close,spread
1786420800,1.154295,1.154305,1.154270,1.154270,0.000039
1786420860,1.154275,1.154330,1.154265,1.154305,0.000035
1786420920,1.154315,1.154400,1.154315,1.154395,0.000041
1786420980,1.154390,1.154400,1.154380,1.154395,0.000029
1786421040,1.154390,1.154390,1.154360,1.154385,0.000038
1786421100,1.154390,1.154400,1.154375,1.154395,0.000037
1786421160,1.154385,1.154385,1.154350,1.154350,0.000036
1786421220,1.154345,1.154395,1.154345,1.154375,0.000037
1786421280,1.154380,1.154395,1.154375,1.154380,0.000038
1786421340,1.154375,1.154385,1.154360,1.154365,0.000030
1786421400,1.154360,1.154365,1.154340,1.154355,0.000035
1786421460,1.154350,1.154395,1.154350,1.154395,0.000039
1786421520,1.154400,1.154400,1.154355,1.154355,0.000032
1786421580,1.154365,1.154410,1.154365,1.154410,0.000039
1786421640,1.154415,1.154415,1.154395,1.154395,0.000029
1786421700,1.154385,1.154410,1.154385,1.154405,0.000040
1786421760,1.154415,1.154495,1.154415,1.154455,0.000036
1786421820,1.154445,1.154450,1.154435,1.154435,0.000035
1786421880,1.154425,1.154450,1.154425,1.154440,0.000040
1786421940,1.154435,1.154435,1.154415,1.154435,0.000035
1786422000,1.154425,1.154425,1.154405,1.154405,0.000039
1786422060,1.154410,1.154410,1.154385,1.154395,0.000041
1786422120,1.154400,1.154410,1.154395,1.154405,0.000031
1786422180,1.154400,1.154425,1.154395,1.154410,0.000038
1786422240,1.154415,1.154415,1.154395,1.154410,0.000040
1786422300,1.154425,1.154435,1.154420,1.154425,0.000041
1786422360,1.154435,1.154435,1.154415,1.154415,0.000038
1786422420,1.154420,1.154425,1.154395,1.154420,0.000044
1786422480,1.154425,1.154475,1.154425,1.154465,0.000034
1786422540,1.154470,1.154480,1.154445,1.154455,0.000029
1786422600,1.154460,1.154485,1.154340,1.154450,0.000034
1786422660,1.154455,1.154535,1.154360,1.154440,0.000037
1786422720,1.154420,1.154445,1.154400,1.154400,0.000032
1786422780,1.154395,1.154425,1.154345,1.154365,0.000041
1786422840,1.154375,1.154375,1.154285,1.154285,0.000038
1786422900,1.154280,1.154285,1.154235,1.154270,0.000033
1786422960,1.154275,1.154275,1.154210,1.154210,0.000038
1786423020,1.154195,1.154260,1.154195,1.154235,0.000041
1786423080,1.154240,1.154255,1.154205,1.154255,0.000040
1786423140,1.154250,1.154250,1.154220,1.154240,0.000041
1786423200,1.154245,1.154255,1.154165,1.154165,0.000040
1786423260,1.154160,1.154160,1.154085,1.154085,0.000035
1786423320,1.154080,1.154095,1.154045,1.154095,0.000037
1786423380,1.154090,1.154145,1.154065,1.154125,0.000036
1786423440,1.154135,1.154145,1.154090,1.154105,0.000035
1786423500,1.154100,1.154240,1.154085,1.154235,0.000041
1786423560,1.154240,1.154310,1.154240,1.154285,0.000036
1786423620,1.154270,1.154275,1.154095,1.154095,0.000037
1786423680,1.154085,1.154110,1.154085,1.154095,0.000038
1786423740,1.154090,1.154095,1.153960,1.153970,0.000029
1786423800,1.153960,1.153980,1.153935,1.153940,0.000035
1786423860,1.153945,1.154025,1.153940,1.154020,0.000035
1786423920,1.154015,1.154020,1.153995,1.154005,0.000038
1786423980,1.154010,1.154100,1.154000,1.154090,0.000028
1786424040,1.154085,1.154130,1.154045,1.154095,0.000034
1786424100,1.154100,1.154210,1.154100,1.154205,0.000035
1786424160,1.154210,1.154265,1.154195,1.154260,0.000035
1786424220,1.154255,1.154260,1.154200,1.154200,0.000033
1786424280,1.154205,1.154215,1.154200,1.154205,0.000038
1786424340,1.154215,1.154295,1.154195,1.154285,0.000038
1786428000,1.154120,1.154180,1.154080,1.154180,0.000028
1786428060,1.154190,1.154310,1.154180,1.154255,0.000029
1786428120,1.154260,1.154290,1.154220,1.154250,0.000026
1786428180,1.154260,1.154340,1.154240,1.154240,0.000029
1786428240,1.154250,1.154250,1.154160,1.154210,0.000026
1786428300,1.154220,1.154220,1.154110,1.154120,0.000026
1786428360,1.154140,1.154185,1.154140,1.154160,0.000023
1786428420,1.154150,1.154155,1.154100,1.154100,0.000023
1786428480,1.154085,1.154110,1.154070,1.154100,0.000027
1786428540,1.154110,1.154150,1.154100,1.154115,0.000025
1786428600,1.154110,1.154110,1.154055,1.154055,0.000026
1786428660,1.154060,1.154110,1.154060,1.154100,0.000025
1786428720,1.154115,1.154155,1.154105,1.154130,0.000032
1786428780,1.154135,1.154155,1.154085,1.154110,0.000025
1786428840,1.154100,1.154110,1.154015,1.154040,0.000026
1786428900,1.154035,1.154120,1.154000,1.154050,0.000025
1786428960,1.154055,1.154055,1.154005,1.154055,0.000020
1786429020,1.154065,1.154095,1.154040,1.154055,0.000024
1786429080,1.154045,1.154045,1.153890,1.153890,0.000023
1786429140,1.153895,1.153910,1.153815,1.153830,0.000027
1786429200,1.153820,1.153820,1.153540,1.153540,0.000031
1786429260,1.153555,1.153615,1.153535,1.153545,0.000028
1786429320,1.153550,1.153575,1.153495,1.153540,0.000026
1786429380,1.153550,1.153695,1.153540,1.153545,0.000031
1786429440,1.153535,1.153595,1.153470,1.153470,0.000034
1786429500,1.153460,1.153535,1.153460,1.153510,0.000027
1786429560,1.153520,1.153625,1.153520,1.153610,0.000026
1786429620,1.153600,1.153790,1.153600,1.153740,0.000026
1786429680,1.153735,1.153795,1.153725,1.153755,0.000026
1786429740,1.153745,1.153745,1.153610,1.153685,0.000026
1786429800,1.153670,1.153735,1.153610,1.153610,0.000026
1786429860,1.153620,1.153640,1.153480,1.153515,0.000024
1786429920,1.153495,1.153530,1.153480,1.153510,0.000029
1786429980,1.153505,1.153510,1.153295,1.153315,0.000030
1786430040,1.153330,1.153470,1.153330,1.153455,0.000026
1786430100,1.153450,1.153490,1.153400,1.153405,0.000028
1786430160,1.153410,1.153520,1.153400,1.153450,0.000025
1786430220,1.153435,1.153640,1.153430,1.153630,0.000024
1786430280,1.153640,1.153660,1.153580,1.153590,0.000029
1786430340,1.153595,1.153720,1.153595,1.153710,0.000029
1786430400,1.153720,1.153770,1.153710,1.153745,0.000027
1786430460,1.153740,1.153800,1.153695,1.153695,0.000039
1786430520,1.153700,1.153740,1.153680,1.153740,0.000035
1786430580,1.153750,1.153750,1.153690,1.153690,0.000030
1786430640,1.153675,1.153680,1.153590,1.153655,0.000032
1786430700,1.153660,1.153660,1.153535,1.153555,0.000029
1786430760,1.153570,1.153590,1.153540,1.153540,0.000028
1786430820,1.153550,1.153590,1.153500,1.153590,0.000029
1786430880,1.153620,1.153640,1.153590,1.153620,0.000031
1786430940,1.153615,1.153630,1.153590,1.153605,0.000029
1786431000,1.153615,1.153640,1.153575,1.153590,0.000025
1786431060,1.153605,1.153650,1.153595,1.153595,0.000030
1786431120,1.153590,1.153600,1.153455,1.153455,0.000025
1786431180,1.153450,1.153495,1.153440,1.153490,0.000030
1786431240,1.153470,1.153495,1.153400,1.153450,0.000026
1786431300,1.153465,1.153500,1.153410,1.153500,0.000025
1786431360,1.153515,1.153560,1.153500,1.153540,0.000026
1786431420,1.153525,1.153600,1.153495,1.153600,0.000022
1786431480,1.153610,1.153640,1.153555,1.153610,0.000028
1786431540,1.153620,1.153695,1.153560,1.153695,0.000033
1786431600,1.153705,1.153810,1.153700,1.153805,0.000030
1786431660,1.153795,1.153820,1.153780,1.153805,0.000029
1786431720,1.153810,1.153950,1.153810,1.153860,0.000026
1786431780,1.153850,1.153865,1.153725,1.153755,0.000026
1786431840,1.153770,1.153920,1.153760,1.153860,0.000028
1786431900,1.153865,1.153900,1.153795,1.153810,0.000026
1786431960,1.153800,1.153865,1.153790,1.153855,0.000025
1786432020,1.153850,1.153920,1.153830,1.153850,0.000027
1786432080,1.153835,1.153965,1.153800,1.153965,0.000026
1786432140,1.153985,1.154010,1.153820,1.153860,0.000025
1786432200,1.153850,1.153860,1.153800,1.153830,0.000026
1786432260,1.153820,1.153870,1.153790,1.153860,0.000027
1786432320,1.153855,1.153910,1.153760,1.153880,0.000025
1786432380,1.153875,1.153915,1.153875,1.153910,0.000025
1786432440,1.153905,1.153905,1.153840,1.153855,0.000025
1786432500,1.153850,1.153850,1.153735,1.153755,0.000021
1786432560,1.153740,1.153755,1.153665,1.153750,0.000025
