time,open,high,low,close
1779703200,30235,30275,30220,30275
1779717600,30273.25,30273.25,30190.25,30225.75
1779746400,30235,30258.75,30048.5,30090.25
1779760800,30086,30105.5,30063,30079.5
1779775200,30096,30127.75,30025,30127.75
1779789600,30128,30286,30102.75,30286
1779804000,30288,30400.5,30167.75,30278
1779818400,30275.25,30394.25,30269,30333.75
1779832800,30324,30442.75,30310,30405
1779847200,30407,30441,30350,30387
1779861600,30393.25,30500,30342.5,30494.5
1779876000,30500,30668,30222,30349.75
1779890400,30341,30380.5,30161.5,30274.5
1779904800,30258.5,30409,30244.5,30409
1779919200,30411,30418.25,30250,30362
1779933600,30365,30365,30047,30186.5
1779948000,30192.25,30283.25,30167,30264.5
1779962400,30245.75,30397,30150,30274
1779976800,30262.75,30636,30255.75,30610.75
1779991200,30606.5,30629.25,30566.5,30605
1780005600,30630,30655.25,30514.75,30544.75
1780020000,30540.5,30609.5,30524.5,30597.25
1780034400,30604.25,30655,30565.25,30620.75
1780048800,30626.75,30812.25,30586,30812.25
1780063200,30810,30829.5,30565.25,30590.5
1780077600,30592.5,30731.5,30586.5,30676.25
1780264800,30705,30850,30661,30842.75
1780279200,30845,30884.75,30832.75,30879.25
1780293600,30877.25,30885,30740,30748
1780308000,30761.5,30794.5,30584,30597.5
1780322400,30594.5,30989.75,30584,30962.75
1780336800,30960.5,30964.5,30796.5,30800
1780351200,30818.75,30820.5,30626.75,30626.75
1780365600,30629,30784,30607.5,30769
1780380000,30773.5,30875.75,30760,30859
1780394400,30848.75,30892.25,30717.25,30892.25
1780408800,30894,31004,30815,30921
1780423200,30916.25,31052,30890,31035.5
1780437600,31035.5,31048.5,30863.75,30971.75
1780452000,30981,31024.75,30959.25,30985.5
1780466400,30989.5,31064,30965,31031
1780480800,31031.5,31104.5,30790,30863.75
1780495200,30859.75,31032,30799.25,30940
1780509600,30930,30989,30772.25,30791.25
1780524000,30760,30826.25,30668,30739.25
1780538400,30743,30801,30647.75,30772.25
1780552800,30776,30840,30540.25,30623
1780567200,30618.25,30657.25,30460,30546.75
1780581600,30542.25,30860,30447.25,30857.75
1780596000,30858.75,30898,30691.5,30698.25
1780610400,30686.5,30728.25,30350,30490
1780624800,30486.75,30545,30442,30463
1780639200,30463.5,30553,30358,30490
1780653600,30494,30530,30060.25,30062.25
1780668000,30063.75,30230,29639,29756.75
1780682400,29759,29761.25,29060,29104.5
1780869600,29127.5,29570,29100.25,29434.5
1780884000,29455,29525,29251.25,29289.75
1780898400,29290,29572,29290,29520
1780912800,29524.75,29890,29456.25,29637
1780927200,29632.75,30028.5,29619,29842.5
1780941600,29850.25,29905,29663.75,29709.75
1780956000,29712,29833.25,29590.75,29780.5
1780970400,29779.75,29942.75,29746.25,29923
1780984800,29926.75,29988,29856.75,29979.5
1780999200,29970,30138.75,29910.25,29961.25
1781013600,29960.25,30005,28500.75,29110.5
1781028000,29114.25,29478.75,29066.25,29419.5
1781042400,29493.75,29493.75,29236,29323.5
1781056800,29316,29329.5,29139.5,29224
1781071200,29222.5,29297,28966.75,29060
1781085600,29065.75,29449.5,28889.75,29310.5
1781100000,29313,29537,28892.75,29053.75
1781114400,29062.25,29110.75,28684.5,28730.75
1781128800,28748,29043,28542,28918.25
1781143200,28924,29081.5,28810,29028
1781157600,29023.5,29215,28965.25,29161
1781172000,29157,29295.5,28922.75,29183.5
1781186400,29188,29583.25,28854.25,29496.75
1781200800,29496.75,29825,29351.25,29728
1781215200,29740.25,29928.75,29730.25,29838
1781229600,29838,29869.5,29664,29690.25
1781244000,29689.75,29958,29546.5,29912.25
1781258400,29911.5,29953,29518.25,29642
1781272800,29642.25,30053,29630.5,29975.5
1781287200,29976.5,30023.75,29871.75,29970.25
1781474400,30100,30486.75,30100,30468
1781488800,30467.5,30550,30461.25,30536
1781503200,30536.5,30628.5,30509.5,30549
1781517600,30549.75,30800,30529.5,30703.25
1781532000,30703.25,30918.5,30670.25,30858.75
1781546400,30858.75,30895.75,30815.25,30831.25
1781560800,30833,30869,30755.25,30784.25
1781575200,30784.25,30857.25,30769.5,30806.25
1781589600,30805.5,30944.25,30797.5,30870
1781604000,30870.25,30975.5,30750.75,30807.5
1781618400,30807.5,30857.75,30403.25,30477
1781632800,30476.75,30496.25,30273.75,30300.25
1781647200,30314,30449.5,30308,30446.75
1781661600,30447,30526.75,30417,30500.25
1781676000,30499.75,30584.25,30448.25,30461.75
1781690400,30463,30540.75,30346,30347.75
1781704800,30347.75,30544.75,30289,30471.75
1781719200,30465.25,30520,29922,30140.75
1781733600,30146,30439,30092.25,30381.25
1781748000,30382,30431,30284,30354.5
1781762400,30354.25,30499.25,30321.5,30488.75
1781776800,30488.75,30615,30359.5,30467
1781791200,30468,30737.75,30448.75,30708.5
1781805600,30708.5,30783.25,30645,30726.5
1781820000,30740,30771,30592.25,30595
1781834400,30595,30619.75,30388,30482.25
1781848800,30481.5,30667.25,30478.75,30626
1781863200,30626.25,30696,30522.25,30681.75
1781877600,30681.25,30705,30636.5,30651
1782079200,30580.75,30662,30336.75,30607.25
1782093600,30607.5,30664.5,30524,30640.75
1782108000,30641,30782,30637.5,30699.75
1782122400,30699.5,30937.75,30699,30937.5
1782136800,30936.75,30967.75,30502.75,30614.75
1782151200,30615,30677.75,30534,30662
1782165600,30662,30699.75,30405,30460.5
1782180000,30460.25,30474,30092,30107.75
1782194400,30108.25,30134.25,29776,29886
1782208800,29886.75,29934,29616.5,29926
1782223200,29926,30046.75,29695,29732.5
1782237600,29732.75,29782.5,29577.25,29750.25
1782252000,29766.25,29891.75,29581.5,29826.5
1782266400,29827,29884.75,29614.75,29819.75
1782280800,29820,29866.75,29754.25,29809
1782295200,29808.75,29874,29564,29684.5
1782309600,29685.75,29907.5,29364.75,29388.25
1782324000,29388.75,30158.75,29263,30099
1782338400,30095.75,30169,29936.5,29997.5
1782352800,29998,30121.75,29924,30089.25
1782367200,30090,30217.75,30077.75,30131.75
1782381600,30132.25,30264.25,29296.5,29317
1782396000,29318.25,29871.5,29307.75,29794
1782410400,29794.5,29919.5,29615.5,29760.5
1782424800,29748,29893.75,29462.25,29492.5
1782439200,29493,29507.75,29160,29326
1782453600,29326,29563.25,29286,29371.25
1782468000,29371.75,29464.5,29182,29443
1782482400,29442.75,29717.25,29409,29544.5
1782496800,29544.75,29582,29254.75,29290
1782684000,29280.5,29684.75,29280,29516.5
1782698400,29516.75,29672.75,29388.75,29669.75
1782712800,29669.5,29732,29578,29665
1782727200,29664.75,29838.5,29557,29617.25
1782741600,29618,30038.75,29274,30003.75
1782756000,30004,30069,29973.5,29995.5
1782770400,30005.5,30088,29935.25,30053.75
1782784800,30054,30217.25,29978,30167.25
1782799200,30167.25,30173.5,30019.5,30081.75
1782813600,30082.5,30367.75,29996.5,30362
1782828000,30365.75,30563,30274.25,30523.75
1782842400,30524.5,30600,30484.25,30501
1782856800,30502.5,30555.75,30450.75,30453
1782871200,30453.25,30477.25,30367,30429.25
1782885600,30429.75,30444.25,30298.75,30384.25
1782900000,30384.25,30435.5,30087.25,30282.5
1782914400,30282.5,30357.75,30136.5,30163
1782928800,30163.5,30231.75,30009.25,30064.5
1782943200,30084.75,30227.25,29953,30202.75
1782957600,30203.25,30239,30037,30050.25
