time,open,high,low,close
1785522000,28428,28446.75,28420.25,28437.25
1785522300,28437.25,28439,28412.5,28422.25
1785522600,28422.25,28449,28422.25,28435
1785522900,28434.5,28436.75,28415.25,28426.25
1785523200,28426.5,28442.5,28416,28432.75
1785523500,28432.75,28451.25,28422,28447.75
1785523800,28447.75,28461.75,28443.5,28445.75
1785524100,28445.75,28453,28416.25,28433.75
1785524400,28433.5,28458.75,28418.25,28420.5
1785524700,28421.25,28432.75,28405.25,28428
1785525000,28428.25,28443.25,28419,28432.5
1785525300,28433,28488,28426.5,28485
1785525600,28485.5,28498.5,28467.5,28470.25
1785525900,28470.25,28480.5,28460.5,28475.25
1785526200,28475,28481.75,28441.75,28459.5
1785526500,28460.25,28473.75,28451.25,28458.75
1785526800,28458.5,28485,28434.25,28477.25
1785527100,28477.5,28510.75,28477.25,28509
1785527400,28508.75,28524.5,28473.75,28507
1785527700,28508,28517.5,28383.5,28403
1785528000,28402.5,28436,28340.5,28363.5
1785528300,28362.75,28400.5,28347.75,28391.25
1785528600,28391.5,28406,28387.5,28393.75
1785528900,28393.75,28395.5,28364.25,28381.75
1785529200,28381.75,28388.75,28374.25,28374.75
1785529500,28374.5,28380.25,28360.25,28371.75
1785529800,28371,28400.5,28355.75,28394.5
1785530100,28394.25,28396.5,28381.75,28392.25
1785530400,28391.75,28394.5,28378,28381.5
1785530700,28381.5,28386.75,28378.25,28383.25
1785531000,28383,28386.25,28314,28344.25
1785531300,28344.25,28344.5,28266,28284
1785708000,28567.5,28627.75,28550,28615
1785708300,28615.5,28617.5,28578.75,28604.5
1785708600,28602.75,28642,28600.25,28623.75
1785708900,28623.75,28631.75,28580.5,28595.75
1785709200,28596.5,28633,28595.5,28612
1785709500,28612.25,28629.5,28600.5,28613.5
1785709800,28613.5,28624.25,28607,28613.75
1785710100,28615,28622.25,28609.5,28613
1785710400,28613,28622.5,28595,28599.5
1785710700,28599.25,28605.5,28587.25,28587.75
1785711000,28588.75,28593.25,28581.25,28585.5
1785711300,28584.5,28591.25,28560,28570.5
1785711600,28570,28591.25,28567,28577
1785711900,28577,28589.75,28552,28552.25
1785712200,28552,28566.75,28541.5,28557.5
1785712500,28557.5,28565.5,28553,28561
1785712800,28561,28598,28555.5,28590.5
1785713100,28589.5,28595,28578.5,28585.25
1785713400,28585.5,28622,28579,28589.75
1785713700,28589.5,28591.75,28579,28581
1785714000,28580.25,28609.25,28573.75,28604.25
1785714300,28604.25,28616,28570.5,28603
1785714600,28603.5,28637.75,28559,28591
1785714900,28591.25,28621.25,28577.25,28613.5
1785715200,28611.75,28611.75,28562,28571
1785715500,28570.5,28600,28554.25,28597.25
1785715800,28596,28614.75,28572.75,28610
1785716100,28610,28630.25,28594.5,28599.5
1785716400,28599.5,28614,28578.25,28579
1785716700,28579.25,28587.75,28536.5,28555
1785717000,28554.25,28588,28542,28583.25
1785717300,28583.25,28611,28577,28598.25
1785717600,28597.5,28611.25,28573.25,28582.5
1785717900,28583,28618,28572,28617
1785718200,28617,28624,28582.25,28613.5
1785718500,28614,28627,28604.25,28622.25
1785718800,28622.25,28630,28601.25,28624.5
1785719100,28624.5,28635,28603.5,28616.75
1785719400,28616.5,28627.75,28584,28591.75
1785719700,28592.5,28594.25,28564,28569.5
1785720000,28569.25,28594.75,28565.75,28591.5
1785720300,28591,28615.75,28590.25,28608.25
1785720600,28607,28618,28595,28598.75
1785720900,28598.25,28601.75,28578.25,28601.75
1785721200,28602,28630,28598.75,28629.25
1785721500,28630,28633,28618,28620.25
1785721800,28620.5,28641.25,28618.75,28631.25
1785722100,28631,28650,28625.25,28643.75
1785722400,28644.25,28663.75,28631,28654.75
1785722700,28655,28659.75,28633.5,28640
1785723000,28640.5,28668.75,28638.75,28663
1785723300,28663,28676.25,28654.5,28675.25
1785723600,28675.25,28680.75,28658.25,28661.75
1785723900,28661.75,28662.75,28634.5,28640
1785724200,28639,28662.5,28634.5,28662
1785724500,28662.5,28670,28653,28656.25
