time,open,high,low,close
1785794400,28930,28943.5,28919,28940
1785794460,28935.25,28939.5,28931.5,28935.75
1785794520,28938.5,28942.5,28931,28931.75
1785794580,28932.25,28932.25,28920.75,28924.5
1785794640,28927.5,28931.75,28924,28929
1785794700,28929,28939,28927,28935.5
1785794760,28935.75,28936,28929,28929
1785794820,28928.75,28942,28928.75,28941.5
1785794880,28942.25,28945,28936,28941.75
1785794940,28940.25,28943,28939.75,28941
1785795000,28940.25,28949.75,28939,28947.25
1785795060,28946.25,28950,28946.25,28949.5
1785795120,28948.75,28949.75,28944.25,28947.75
1785795180,28945.75,28950.75,28929.75,28930.5
1785795240,28931.75,28934.75,28922.25,28927.75
1785795300,28927.75,28947.25,28927.75,28944
1785795360,28943,28948.5,28942.25,28945.75
1785795420,28945,28945.75,28940.75,28941.5
1785795480,28941.5,28943.75,28940.5,28941.5
1785795540,28942.75,28946.75,28939.75,28945
1785795600,28945,28946.25,28937.25,28944.25
1785795660,28945.25,28946,28940.25,28940.75
1785795720,28942.25,28944,28939.25,28943.75
1785795780,28944.5,28947.5,28944.5,28945
1785795840,28944,28946,28943.5,28945.5
1785795900,28944.5,28945,28941.25,28943.5
1785795960,28942,28942,28938,28939.5
1785796020,28941.25,28946,28941.25,28944.5
1785796080,28943.75,28946.5,28943.5,28944.5
1785796140,28943.25,28945.25,28943,28944
1785796200,28941.5,28945.75,28939.5,28940.25
1785796260,28940.25,28942.25,28939,28941.75
1785796320,28939.75,28942.25,28935.75,28935.75
1785796380,28936,28939.5,28932.25,28937
1785796440,28940,28958.75,28940,28951.5
1785796500,28949.75,28949.75,28938,28943
1785796560,28945.25,28953,28945.25,28947.25
1785796620,28945.75,28947.75,28944,28947.5
1785796680,28947.5,28950,28945,28950
1785796740,28949.75,28955.25,28948.5,28950
1785796800,28952.5,28961.5,28951.75,28960.5
1785796860,28959.5,28962.25,28957.5,28960.5
1785796920,28961.5,28961.75,28958.5,28959.5
1785796980,28960,28960.5,28956.5,28957.25
1785797040,28956.5,28959.25,28955.75,28957.75
1785797100,28956.5,28956.75,28946.25,28951
1785797160,28949.25,28952.25,28947.25,28949.75
1785797220,28949,28949,28941.25,28946.75
1785797280,28949,28951,28947,28947.75
1785797340,28949,28951.5,28943.5,28946.25
1785797400,28946.25,28946.75,28941.25,28943.25
1785797460,28944,28946.25,28942.75,28943
1785797520,28944.5,28947.75,28944.25,28945.25
1785797580,28946.75,28951,28945.25,28945.25
1785797640,28945,28952.75,28942,28951.25
1785797700,28950.75,28952.5,28948,28949.25
1785797760,28949.75,28950.75,28947,28947
1785797820,28947.5,28948.5,28946,28947.5
1785797880,28947,28947.5,28944.5,28945.75
1785797940,28946.5,28949,28944.75,28945.75
1785798000,28944,28947,28940.25,28943.5
1785798060,28943.25,28947.25,28938,28938.25
1785798120,28939.25,28947.75,28935.75,28944.5
1785798180,28945.5,28946.75,28944.75,28946.75
1785798240,28946.5,28946.5,28940,28940.75
1785798300,28939.5,28942.75,28938.5,28939.75
1785798360,28940.75,28941.25,28930.25,28931.75
1785798420,28931.5,28937,28930.75,28933.25
1785798480,28931.75,28935,28931.75,28934
1785798540,28935.75,28938.5,28933.75,28936.75
1785798600,28938,28940.25,28935.75,28939.5
1785798660,28938.75,28941.5,28938,28939.75
1785798720,28939.5,28940.25,28935,28936.75
1785798780,28936.5,28937.5,28934.75,28936.25
1785798840,28937.25,28938.5,28936,28938.5
1785798900,28938.25,28945.5,28938.25,28944.25
1785798960,28942.75,28949.5,28941.5,28947.5
1785799020,28946.5,28948.5,28945.75,28947.75
1785799080,28947,28949.25,28944.25,28948.25
1785799140,28947.5,28956.75,28946.75,28952
1785799200,28952,28954.25,28951,28954.25
1785799260,28953.25,28957.75,28950.25,28954
1785799320,28954,28958.75,28952.5,28954.5
1785799380,28955.5,28955.75,28949.5,28951.5
1785799440,28951.75,28952,28947.25,28947.25
1785799500,28947.25,28950,28947.25,28948.5
1785799560,28948,28948,28941.5,28945
1785799620,28946.25,28951.25,28946.25,28950.5
1785799680,28948.5,28948.5,28945.5,28946.75
1785799740,28945.5,28948.75,28945.25,28948.75
1785799800,28947.75,28950,28944,28945
1785799860,28943.25,28946.75,28941.25,28945.75
1785799920,28947,28956.5,28946.25,28954
1785799980,28954.75,28955,28950.75,28953
1785800040,28952,28959.75,28952,28955.25
1785800100,28956.5,28957,28952.75,28952.75
1785800160,28952.75,28956.75,28952.75,28956.5
1785800220,28954.75,28956.25,28951.75,28951.75
1785800280,28950.75,28951.5,28934,28934.75
1785800340,28934.5,28939,28934,28936.5
1785800400,28937.25,28939.75,28937,28938.25
1785800460,28940,28946.5,28939.75,28943.5
1785800520,28943.25,28945.5,28940.5,28943.5
1785800580,28941.75,28945,28941.75,28943.25
1785800640,28943.25,28945.5,28940,28941.75
1785800700,28941.75,28958.25,28939.5,28955.5
1785800760,28954.25,28958,28951,28955.75
1785800820,28957.25,28964,28957.25,28959.75
1785800880,28960,28960.75,28954,28956
1785800940,28956.5,28957.5,28953,28955.25
1785801000,28957.5,28963,28955,28958.25
1785801060,28956.75,28961,28949.25,28954.25
1785801120,28955.5,28957.5,28952.25,28952.25
1785801180,28954.5,28956.75,28947,28951.5
1785801240,28954.75,28955,28950,28951.5
1785801300,28952.5,28953.25,28949,28951.75
1785801360,28952.25,28961.5,28952.25,28958.25
1785801420,28959.5,28961,28956,28959.5
1785801480,28957.25,28962.75,28957,28961.75
1785801540,28962.25,28972.25,28959.5,28971
1785801600,28971.25,28971.5,28940.75,28951.5
1785801660,28953,28966.75,28949.25,28963.75
1785801720,28964.75,28970,28961.5,28963.5
1785801780,28965.75,28971.25,28961,28969.75
1785801840,28969.75,28976.25,28967,28968.75
1785801900,28967.25,28973.75,28961.75,28967
1785801960,28968,28968.75,28958,28959.5
1785802020,28959.5,28963.75,28948.25,28962
1785802080,28963.75,28967.25,28958.5,28959.25
1785802140,28956.75,28973,28955.5,28961.25
1785802200,28961.5,28961.75,28951,28953.75
1785802260,28953.75,28954.5,28941.5,28946.75
1785802320,28948.25,28949.5,28927.25,28931.5
1785802380,28931.25,28935.75,28928,28929
1785802440,28928.75,28938.25,28928.5,28930.75
1785802500,28932.25,28932.75,28910.25,28914
1785802560,28913.25,28918.5,28908.5,28911.75
1785802620,28911,28921,28908.75,28914
1785802680,28913.75,28916.25,28903.25,28910
1785802740,28908.75,28918.5,28907,28914.25
1785802800,28912.25,28924.25,28909,28924.25
1785802860,28923.75,28926.5,28918.25,28918.25
1785802920,28917.75,28918.5,28910,28911
1785802980,28912.75,28912.75,28900.5,28905
1785803040,28905.25,28919.25,28903.5,28913
1785803100,28912.75,28922.75,28907.25,28922.25
1785803160,28921.25,28921.5,28915.5,28920.5
1785803220,28919.25,28919.25,28902.5,28905.25
1785803280,28904.5,28912.5,28903,28906.25
1785803340,28906.75,28910.25,28903,28905.75
1785803400,28905.5,28907.75,28891.75,28896.5
1785803460,28897.75,28899.75,28889.75,28892.5
1785803520,28893.75,28895.25,28888.75,28892
1785803580,28892.75,28905,28890,28897
1785803640,28896.25,28897.25,28881.25,28884.5
1785803700,28882.75,28884.25,28871.75,28872.5
1785803760,28873.25,28886.5,28873.25,28878.75
1785803820,28878.25,28884,28874.75,28876.25
1785803880,28877.25,28885.75,28872,28884.5
1785803940,28884.75,28889.75,28877,28882.25
1785804000,28881.75,28887.75,28873.25,28877
1785804060,28876,28878.75,28869.5,28872
1785804120,28872.75,28879,28864.25,28870
1785804180,28869,28895,28869,28892
1785804240,28895.75,28896,28886.25,28891.25
1785804300,28892.25,28895.5,28872.5,28877.5
1785804360,28879.25,28881.25,28870.25,28877.75
1785804420,28877.75,28881.75,28872.75,28879.25
1785804480,28878.5,28900,28876.75,28896.5
1785804540,28896.75,28898.75,28891,28891
1785804600,28892,28898.5,28883.25,28886
1785804660,28885.5,28901,28885.5,28899.75
1785804720,28900.5,28904.5,28898,28899.25
1785804780,28899.25,28908.25,28896.25,28906.5
1785804840,28906,28908,28891.75,28893
1785804900,28894,28899,28875,28878.5
1785804960,28879.25,28893.5,28870,28878.75
1785805020,28879,28885.5,28873.75,28881.25
1785805080,28881,28881,28868,28873.75
1785805140,28874.5,28879,28870,28876.75
1785805200,28876,28877.25,28852.25,28856.75
1785805260,28856.75,28866.5,28853.25,28865.75
1785805320,28865,28875,28852,28854.75
1785805380,28857.5,28857.5,28833.75,28839.75
