time,open,high,low,close
1786541400,54051.0,54081.0,53938.0,53940.0
1786541460,53940.0,53963.0,53898.0,53898.0
1786541520,53896.0,53948.0,53894.0,53931.0
1786541580,53932.0,53970.0,53925.0,53942.0
1786541640,53943.0,54001.0,53938.0,53974.0
1786541700,53977.0,54016.0,53959.0,53998.0
1786541760,53995.0,54006.0,53972.0,53979.0
1786541820,53979.0,53992.0,53961.0,53981.0
1786541880,53982.0,54009.0,53982.0,54008.0
1786541940,54010.0,54025.0,53990.0,53992.0
1786542000,53990.0,54004.0,53983.0,54004.0
1786542060,54000.0,54028.0,53999.0,54018.0
1786542120,54014.0,54014.0,53990.0,54001.0
1786542180,54006.0,54006.0,53965.0,53971.0
1786542240,53969.0,53982.0,53938.0,53939.0
1786542300,53944.0,53972.0,53944.0,53949.0
1786542360,53952.0,53957.0,53913.0,53914.0
1786542420,53914.0,53926.0,53903.0,53920.0
1786542480,53922.0,53974.0,53912.0,53970.0
1786542540,53968.0,53983.0,53952.0,53972.0
1786542600,53973.0,53992.0,53962.0,53971.0
1786542660,53969.0,53988.0,53959.0,53973.0
1786542720,53970.0,53970.0,53927.0,53932.0
1786542780,53931.0,53962.0,53926.0,53960.0
1786542840,53961.0,53961.0,53940.0,53940.0
1786542900,53938.0,53952.0,53934.0,53941.0
1786542960,53942.0,53949.0,53912.0,53927.0
1786543020,53929.0,53935.0,53920.0,53920.0
1786543080,53919.0,53930.0,53905.0,53905.0
1786543140,53906.0,53909.0,53884.0,53888.0
1786543200,53888.0,53907.0,53872.0,53900.0
1786543260,53902.0,53929.0,53898.0,53929.0
1786543320,53930.0,53933.0,53915.0,53926.0
1786543380,53929.0,53931.0,53888.0,53889.0
1786543440,53890.0,53898.0,53887.0,53895.0
1786543500,53896.0,53904.0,53880.0,53889.0
1786543560,53890.0,53892.0,53866.0,53871.0
1786543620,53868.0,53871.0,53856.0,53862.0
1786543680,53864.0,53865.0,53842.0,53852.0
1786543740,53854.0,53865.0,53847.0,53855.0
1786543800,53855.0,53879.0,53854.0,53878.0
1786543860,53880.0,53883.0,53843.0,53847.0
1786543920,53845.0,53865.0,53842.0,53862.0
1786543980,53866.0,53881.0,53860.0,53877.0
1786544040,53876.0,53892.0,53872.0,53882.0
1786544100,53883.0,53896.0,53867.0,53892.0
1786544160,53893.0,53906.0,53889.0,53898.0
1786544220,53901.0,53925.0,53897.0,53924.0
1786544280,53923.0,53951.0,53921.0,53947.0
1786544340,53949.0,53952.0,53936.0,53943.0
1786544400,53944.0,53947.0,53908.0,53925.0
1786544460,53925.0,53939.0,53925.0,53936.0
1786544520,53936.0,53946.0,53929.0,53934.0
1786544580,53935.0,53960.0,53931.0,53959.0
1786544640,53959.0,53972.0,53946.0,53949.0
1786544700,53947.0,53949.0,53924.0,53924.0
1786544760,53923.0,53964.0,53920.0,53964.0
1786544820,53965.0,53965.0,53946.0,53951.0
1786544880,53951.0,53963.0,53949.0,53958.0
1786544940,53960.0,53966.0,53930.0,53940.0
1786545000,53941.0,53964.0,53934.0,53942.0
1786545060,53940.0,53943.0,53830.0,53931.0
1786545120,53930.0,53934.0,53905.0,53905.0
1786545180,53910.0,53923.0,53903.0,53923.0
1786545240,53924.0,53928.0,53893.0,53895.0
1786545300,53897.0,53907.0,53890.0,53899.0
1786545360,53899.0,53908.0,53887.0,53904.0
1786545420,53903.0,53912.0,53895.0,53903.0
1786545480,53903.0,53908.0,53894.0,53894.0
1786545540,53892.0,53920.0,53884.0,53916.0
1786545600,53915.0,53926.0,53910.0,53922.0
1786545660,53924.0,53935.0,53920.0,53932.0
1786545720,53927.0,53942.0,53924.0,53942.0
1786545780,53944.0,53945.0,53938.0,53940.0
1786545840,53941.0,53948.0,53928.0,53933.0
1786545900,53935.0,53939.0,53929.0,53933.0
1786545960,53935.0,53948.0,53935.0,53938.0
1786546020,53940.0,53940.0,53900.0,53903.0
1786546080,53903.0,53905.0,53893.0,53895.0
1786546140,53895.0,53927.0,53895.0,53927.0
1786546200,53924.0,53932.0,53906.0,53908.0
1786546260,53907.0,53917.0,53903.0,53913.0
1786546320,53913.0,53915.0,53900.0,53906.0
1786546380,53906.0,53909.0,53891.0,53895.0
1786546440,53896.0,53905.0,53879.0,53881.0
1786546500,53880.0,53884.0,53872.0,53874.0
1786546560,53877.0,53888.0,53875.0,53879.0
1786546620,53879.0,53882.0,53868.0,53868.0
1786546680,53867.0,53896.0,53867.0,53883.0
1786546740,53885.0,53892.0,53881.0,53885.0
1786546800,53884.0,53885.0,53856.0,53862.0
1786546860,53860.0,53872.0,53860.0,53862.0
1786546920,53865.0,53875.0,53862.0,53871.0
1786546980,53873.0,53878.0,53855.0,53861.0
1786547040,53866.0,53874.0,53861.0,53863.0
1786547100,53862.0,53864.0,53856.0,53861.0
1786547160,53863.0,53868.0,53849.0,53868.0
1786547220,53867.0,53870.0,53856.0,53860.0
1786547280,53858.0,53869.0,53853.0,53866.0
1786547340,53863.0,53872.0,53862.0,53871.0
1786547400,53873.0,53883.0,53871.0,53875.0
1786547460,53875.0,53880.0,53864.0,53871.0
1786547520,53872.0,53890.0,53868.0,53889.0
1786547580,53892.0,53899.0,53886.0,53890.0
1786547640,53890.0,53890.0,53870.0,53872.0
1786547700,53869.0,53869.0,53851.0,53857.0
1786547760,53870.0,53881.0,53870.0,53873.0
1786547820,53873.0,53881.0,53870.0,53881.0
1786547880,53880.0,53880.0,53868.0,53868.0
1786547940,53867.0,53869.0,53859.0,53869.0
1786548000,53872.0,53875.0,53863.0,53870.0
1786548060,53865.0,53871.0,53851.0,53859.0
1786548120,53857.0,53860.0,53850.0,53857.0
1786548180,53857.0,53857.0,53840.0,53855.0
1786548240,53852.0,53867.0,53851.0,53865.0
1786548300,53864.0,53872.0,53861.0,53869.0
1786548360,53868.0,53869.0,53862.0,53869.0
1786548420,53869.0,53869.0,53862.0,53869.0
1786548480,53869.0,53878.0,53859.0,53878.0
1786548540,53880.0,53892.0,53877.0,53892.0
1786548600,53891.0,53897.0,53885.0,53895.0
1786548660,53894.0,53895.0,53882.0,53887.0
1786548720,53888.0,53893.0,53875.0,53878.0
1786548780,53880.0,53885.0,53867.0,53869.0
1786548840,53871.0,53881.0,53863.0,53877.0
1786548900,53876.0,53885.0,53870.0,53874.0
1786548960,53872.0,53886.0,53871.0,53884.0
1786549020,53884.0,53885.0,53873.0,53876.0
1786549080,53875.0,53888.0,53874.0,53881.0
1786549140,53881.0,53882.0,53854.0,53857.0
1786549200,53856.0,53869.0,53855.0,53869.0
1786549260,53864.0,53888.0,53864.0,53885.0
1786549320,53889.0,53896.0,53885.0,53895.0
1786549380,53894.0,53908.0,53890.0,53907.0
1786549440,53908.0,53914.0,53899.0,53905.0
1786549500,53908.0,53915.0,53908.0,53909.0
1786549560,53911.0,53913.0,53907.0,53910.0
1786549620,53908.0,53911.0,53901.0,53905.0
1786549680,53909.0,53909.0,53895.0,53897.0
1786549740,53901.0,53913.0,53897.0,53912.0
1786549800,53912.0,53915.0,53890.0,53894.0
1786549860,53896.0,53899.0,53893.0,53898.0
1786549920,53897.0,53907.0,53894.0,53903.0
1786549980,53901.0,53908.0,53898.0,53898.0
1786550040,53903.0,53903.0,53900.0,53901.0
1786550100,53905.0,53905.0,53898.0,53899.0
1786550160,53904.0,53917.0,53904.0,53909.0
1786550220,53910.0,53919.0,53910.0,53917.0
1786550280,53915.0,53919.0,53908.0,53908.0
1786550340,53907.0,53912.0,53903.0,53910.0
1786550400,53907.0,53928.0,53906.0,53926.0
1786550460,53927.0,53938.0,53923.0,53936.0
1786550520,53936.0,53940.0,53930.0,53933.0
1786550580,53935.0,53937.0,53929.0,53933.0
1786550640,53937.0,53939.0,53929.0,53930.0
1786550700,53931.0,53933.0,53928.0,53931.0
1786550760,53930.0,53931.0,53921.0,53922.0
1786550820,53923.0,53923.0,53905.0,53907.0
1786550880,53909.0,53911.0,53902.0,53911.0
1786550940,53911.0,53922.0,53911.0,53919.0
1786551000,53918.0,53918.0,53910.0,53913.0
1786551060,53914.0,53919.0,53906.0,53919.0
1786551120,53917.0,53925.0,53916.0,53925.0
1786551180,53926.0,53930.0,53922.0,53930.0
1786551240,53930.0,53944.0,53930.0,53938.0
1786551300,53941.0,53941.0,53931.0,53934.0
1786551360,53938.0,53943.0,53934.0,53939.0
