time,open,high,low,close
1786627800,29911.0,29912.75,29880.0,29893.0
1786627860,29893.0,29905.5,29866.5,29872.0
1786627920,29871.75,29887.25,29863.5,29880.5
1786627980,29879.75,29913.5,29879.5,29901.25
1786628040,29901.0,29947.25,29901.0,29945.5
1786628100,29945.25,29980.25,29940.0,29980.0
1786628160,29979.75,30025.5,29977.75,30024.75
1786628220,30025.0,30037.25,30020.0,30030.75
1786628280,30031.25,30031.5,30020.25,30027.0
1786628340,30027.5,30039.75,30020.5,30038.25
1786628400,30038.0,30049.0,30033.25,30045.5
1786628460,30045.5,30053.5,30011.25,30011.75
1786628520,30011.25,30037.75,30009.25,30031.25
1786628580,30031.75,30037.25,30007.0,30007.5
1786628640,30007.0,30017.75,29995.5,30012.25
1786628700,30013.5,30064.75,30005.25,30063.25
1786628760,30063.5,30097.0,30063.0,30095.25
1786628820,30095.25,30113.0,30090.5,30108.0
1786628880,30109.0,30125.25,30104.5,30123.0
1786628940,30122.75,30146.0,30121.5,30135.0
1786629000,30135.25,30155.0,30119.25,30153.25
1786629060,30153.25,30154.25,30140.25,30148.5
1786629120,30149.25,30153.75,30131.5,30139.0
1786629180,30139.0,30139.75,30123.25,30124.0
1786629240,30124.75,30151.25,30123.0,30146.0
1786629300,30146.25,30150.0,30130.25,30132.25
1786629360,30132.0,30148.5,30122.75,30148.5
1786629420,30149.0,30155.0,30142.25,30152.75
1786629480,30153.0,30182.25,30150.75,30178.0
1786629540,30177.75,30180.75,30173.0,30176.0
1786629600,30175.75,30184.5,30155.75,30182.0
1786629660,30181.5,30181.75,30159.5,30168.0
1786629720,30168.0,30188.0,30166.75,30182.0
1786629780,30181.25,30181.5,30164.75,30169.5
1786629840,30169.5,30179.25,30159.25,30177.0
1786629900,30177.0,30189.75,30173.75,30181.5
1786629960,30182.0,30183.5,30169.75,30173.25
1786630020,30173.5,30177.5,30160.75,30172.75
1786630080,30171.25,30175.0,30164.75,30174.0
1786630140,30174.0,30184.75,30173.25,30178.75
1786630200,30178.75,30198.25,30178.75,30197.25
1786630260,30197.25,30211.25,30192.5,30208.75
1786630320,30209.0,30210.5,30203.0,30207.0
1786630380,30207.25,30214.75,30203.5,30206.25
1786630440,30206.75,30210.25,30196.75,30204.75
1786630500,30206.25,30208.75,30199.0,30204.75
1786630560,30205.0,30215.75,30198.75,30207.25
1786630620,30206.75,30208.5,30193.75,30206.0
1786630680,30205.25,30217.5,30199.25,30209.5
1786630740,30209.75,30214.75,30196.5,30198.0
1786630800,30197.75,30198.0,30185.25,30193.5
1786630860,30193.5,30207.75,30191.0,30206.75
1786630920,30206.25,30209.5,30199.25,30208.0
1786630980,30207.75,30216.75,30205.0,30210.75
1786631040,30210.25,30216.25,30205.0,30206.0
1786631100,30206.0,30215.75,30198.0,30213.0
1786631160,30212.25,30213.75,30204.5,30209.0
1786631220,30209.25,30214.0,30204.0,30212.25
1786631280,30211.75,30234.0,30207.25,30231.25
1786631340,30230.75,30239.5,30227.0,30234.25
1786631400,30233.25,30238.5,30227.5,30236.75
1786631460,30236.5,30249.5,30233.75,30249.5
1786631520,30248.75,30262.25,30246.5,30255.0
1786631580,30254.25,30257.0,30248.0,30251.75
1786631640,30251.75,30266.25,30251.25,30262.75
1786631700,30263.0,30267.5,30258.75,30262.5
1786631760,30262.25,30264.75,30254.25,30261.25
1786631820,30260.75,30263.75,30255.5,30257.25
1786631880,30256.75,30256.75,30240.25,30247.0
1786631940,30247.5,30256.25,30246.0,30251.75
1786632000,30252.0,30260.25,30249.75,30258.0
1786632060,30257.5,30258.0,30240.5,30241.75
1786632120,30241.0,30246.5,30237.0,30244.0
1786632180,30242.5,30248.5,30232.5,30243.25
1786632240,30243.0,30244.25,30236.0,30236.5
1786632300,30236.0,30236.75,30218.75,30220.5
1786632360,30219.75,30241.5,30216.5,30236.0
1786632420,30236.25,30241.25,30230.5,30234.75
1786632480,30234.25,30236.25,30216.0,30224.0
1786632540,30224.25,30226.5,30212.25,30219.0
1786632600,30218.75,30225.25,30208.0,30211.0
1786632660,30210.75,30225.5,30209.75,30219.75
1786632720,30218.5,30228.5,30213.5,30222.75
1786632780,30222.75,30223.75,30212.0,30219.0
1786632840,30218.75,30228.0,30214.75,30226.75
1786632900,30226.25,30227.5,30200.0,30204.25
1786632960,30204.5,30210.0,30199.5,30206.5
1786633020,30206.5,30215.75,30203.5,30214.5
1786633080,30215.0,30217.75,30202.0,30216.5
1786633140,30216.0,30216.5,30198.25,30199.5
1786633200,30199.25,30221.5,30193.75,30219.25
1786633260,30218.5,30228.0,30218.5,30226.5
1786633320,30227.0,30231.5,30214.25,30216.5
1786633380,30216.5,30218.75,30196.25,30199.0
1786633440,30198.5,30204.25,30195.5,30199.0
1786633500,30199.25,30220.0,30197.0,30219.5
1786633560,30219.0,30224.25,30208.75,30214.25
1786633620,30214.5,30218.75,30205.25,30205.25
1786633680,30205.0,30215.25,30198.75,30204.25
1786633740,30204.75,30217.0,30201.0,30215.0
1786633800,30214.75,30222.5,30206.25,30222.25
1786633860,30221.5,30227.75,30220.75,30224.5
1786633920,30224.5,30227.0,30210.75,30211.5
1786633980,30211.75,30228.0,30210.75,30226.0
1786634040,30226.25,30228.25,30212.75,30217.5
1786634100,30217.5,30221.75,30211.0,30219.5
1786634160,30219.75,30223.0,30211.25,30213.5
