time,open,high,low,close
1350252000,13255,13369,13208,13359
1350338400,13356,13487,13347,13453
1350424800,13448,13498,13432,13489
1350511200,13485,13530,13451,13487
1350597600,13483,13499,13246,13252
1350856800,13251,13308,13174,13292
1350943200,13293,13316,13021,13041
1351029600,13038,13096,12999,13021
1351116000,13026,13119,12974,13056
1351202400,13066,13087,12937,13054
1351461600,13048,13054,12954,13054
1351548000,12973,13066,12926,13054
1351634400,13077,13124,12987,13030
1351720800,12991,13212,12969,13165
1351807200,13165,13226,12988,12991
1352070000,12989,13078,12973,13053
1352156400,13045,13229,13034,13201
1352242800,13198,13251,12827,12863
1352329200,12872,12931,12760,12775
1352415600,12777,12842,12670,12764
1352674800,12764,12816,12732,12780
1352761200,12777,12855,12684,12717
1352847600,12731,12803,12509,12544
1352934000,12545,12581,12464,12522
1353020400,12520,12573,12434,12570
1353279600,12579,12764,12573,12738
1353366000,12733,12777,12666,12759
1353452400,12757,12813,12696,12800
1353538800,12802,12982,12801,12961
1353884400,12949,12951,12870,12951
1353970800,12940,12971,12845,12859
1354057200,12867,12967,12740,12958
1354143600,12961,13049,12939,12994
1354230000,12987,13056,12973,13025
1354489200,13003,13080,12930,12937
1354575600,12940,13008,12914,12914
1354662000,12919,13076,12905,13017
1354748400,13015,13073,12997,13066
1354834800,13070,13154,13037,13154
1355094000,13147,13194,13103,13174
1355180400,13169,13304,13152,13280
1355266800,13275,13326,13221,13225
1355353200,13221,13269,13145,13154
1355439600,13157,13216,13116,13163
1355698800,13188,13255,13140,13239
1355785200,13189,13307,13170,13276
1355871600,13276,13318,13181,13184
1355958000,13184,13270,13160,13265
1356044400,13261,13267,12963,13158
1356303600,13133,13136,13060,13065
1356476400,13094,13111,13011,13041
1356562800,13050,13079,12894,13022
1356649200,13022,13052,12766,12801
1356908400,12801,13078,12742,13046
1357081200,13177,13344,13166,13327
1357167600,13324,13360,13287,13321
1357254000,13322,13377,13296,13358
1357513200,13361,13366,13272,13315
1357599600,13312,13324,13232,13264
1357686000,13266,13356,13264,13330
1357772400,13328,13430,13316,13429
1357858800,13425,13436,13377,13434
1358118000,13432,13457,13396,13438
1358204400,13438,13482,13378,13478
1358290800,13476,13480,13388,13433
1358377200,13434,13575,13394,13538
1358463600,13540,13586,13514,13577
1358722800,13574,13718,13531,13713
1358895600,13706,13733,13673,13714
1358982000,13702,13818,13701,13757
1359068400,13752,13840,13744,13816
1359327600,13816,13859,13803,13827
1359414000,13825,13918,13799,13912
1359500400,13905,13919,13822,13823
1359586800,13830,13886,13797,13830
1359673200,13833,13962,13828,13943
1359932400,13941,13949,13806,13839
1360018800,13838,13958,13834,13940
1360105200,13935,13955,13852,13930
1360191600,13932,13958,13802,13893
1360278000,13898,13975,13883,13936
1360537200,13938,13963,13891,13926
1360623600,13922,13992,13888,13985
1360710000,13984,14006,13918,13954
1360796400,13955,13967,13882,13956
1360882800,13952,13977,13879,13952
1361142000,13937,14023,13933,14015
1361314800,14007,14035,13883,13891
1361401200,13895,13910,13811,13881
1361487600,13876,13995,13876,13976
1361746800,13985,14064,13746,13772
1361833200,13773,13900,13770,13869
1361919600,13870,14091,13846,14064
1362006000,14062,14133,14012,14038
1362092400,14043,14093,13919,14074
1362351600,14058,14133,14003,14132
1362438000,14127,14270,14113,14251
1362524400,14247,14309,14234,14279
1362610800,14276,14340,14260,14330
1362697200,14320,14427,14302,14383
1362952800,14366,14448,14352,14448
1363039200,14379,14409,14341,14389
1363125600,14386,14408,14347,14403
1363212000,14403,14468,14388,14447
1363298400,14443,14480,14397,14435
1363557600,14368,14448,14269,14397
1363644000,14389,14443,14308,14366
1363730400,14365,14476,14347,14422
1363816800,14412,14441,14309,14349
1363903200,14347,14471,14325,14471
1364162400,14451,14517,14320,14396
1364248800,14399,14487,14385,14482
1364335200,14481,14495,14364,14449
1364421600,14445,14511,14396,14510
1364767200,14508,14533,14453,14503
1364853600,14501,14610,14487,14595
1364940000,14592,14606,14454,14493
1365026400,14489,14557,14466,14529
1365112800,14530,14534,14361,14493
1365372000,14479,14588,14432,14580
1365458400,14580,14651,14532,14613
1365544800,14610,14763,14593,14748
1365631200,14747,14823,14721,14804
1365717600,14799,14811,14726,14789
1365976800,14787,14797,14468,14510
1366063200,14505,14698,14504,14688
1366149600,14681,14691,14494,14545
1366236000,14545,14615,14403,14435
1366322400,14424,14505,14407,14481
1366581600,14475,14550,14394,14517
1366668000,14512,14661,14444,14654
1366754400,14647,14693,14608,14614
1366840800,14610,14711,14595,14657
1366927200,14660,14684,14597,14652
1367186400,14648,14786,14631,14755
1367272800,14754,14786,14673,14784
1367359200,14783,14793,14626,14645
1367445600,14648,14776,14644,14762
1367532000,14758,14953,14742,14903
1367791200,14901,14927,14881,14902
1367877600,14901,14997,14876,14992
1367964000,14983,15067,14960,15059
1368050400,15056,15106,15009,15060
1368136800,15054,15112,14998,15071
1368396000,15039,15070,15012,15059
1368482400,15055,15185,15013,15185
1368568800,15178,15278,15144,15246
1368655200,15239,15278,15192,15223
1368741600,15217,15334,15213,15325
1369000800,15301,15367,15290,15318
1369087200,15315,15414,15298,15359
1369173600,15358,15523,15241,15335
1369260000,15333,15345,15143,15295
1369346400,15298,15334,15181,15304
1369605600,15305,15508,15270,15381
1369778400,15369,15390,15209,15285
1369864800,15292,15389,15239,15323
1369951200,15323,15382,15098,15104
1370210400,15118,15242,15099,15220
1370296800,15220,15298,15088,15174
1370383200,15169,15189,14933,14963
1370469600,14962,15049,14835,15033
1370556000,15031,15249,14996,15220
1370815200,15194,15293,15178,15225
1370901600,15225,15247,15074,15142
1370988000,15140,15241,14972,14978
1371074400,14984,15205,14873,15191
1371160800,15192,15210,15041,15053
1371420000,15052,15265,15046,15204
1371506400,15122,15274,15107,15260
1371592800,15247,15278,15025,15032
1371679200,15035,15046,14655,14704
1371765600,14704,14801,14609,14713
1372024800,14715,14731,14474,14588
1372111200,14595,14738,14527,14681
1372197600,14684,14865,14621,14834
1372284000,14831,15003,14820,14936
1372370400,14937,15002,14801,14813
1372629600,14833,15012,14791,14885
