time,open,high,low,close
1786572000,53905,53905,53874,53883
1786572060,53879,53889,53859,53871
1786572120,53871,53873,53835,53868
1786572180,53869,53870,53869,53870
1786572240,53872,53879,53872,53878
1786572300,53878,53878,53871,53871
1786572360,53874,53875,53874,53875
1786572420,53880,53881,53877,53877
1786572480,53879,53882,53879,53882
1786572660,53878,53878,53878,53878
1786572720,53880,53880,53880,53880
1786572780,53875,53875,53875,53875
1786572840,53874,53880,53874,53880
1786572960,53882,53882,53878,53879
1786573020,53880,53882,53880,53882
1786573080,53883,53885,53883,53883
1786573140,53884,53885,53883,53884
1786573200,53886,53888,53885,53888
1786573260,53885,53886,53882,53882
1786573320,53881,53884,53881,53884
1786573380,53883,53884,53883,53884
1786573440,53888,53888,53887,53887
1786573500,53890,53890,53886,53887
1786573560,53886,53886,53884,53884
1786573620,53883,53885,53883,53885
1786573680,53887,53887,53886,53886
1786573800,53881,53881,53877,53877
1786573860,53876,53878,53876,53878
1786573920,53879,53879,53879,53879
1786573980,53879,53879,53877,53877
1786574040,53875,53876,53875,53876
1786574100,53876,53876,53876,53876
1786574160,53877,53877,53877,53877
1786574220,53880,53880,53880,53880
1786574280,53880,53881,53880,53881
1786574460,53882,53890,53882,53890
1786574520,53885,53885,53885,53885
1786574580,53881,53883,53881,53883
1786574700,53885,53885,53885,53885
1786574820,53882,53882,53880,53880
1786574880,53879,53879,53879,53879
1786574940,53880,53880,53880,53880
1786575000,53879,53879,53879,53879
1786575060,53881,53883,53881,53883
1786575180,53881,53881,53881,53881
1786575240,53883,53883,53882,53882
1786575300,53885,53887,53880,53882
1786575420,53879,53880,53879,53880
1786575480,53879,53879,53878,53878
1786575540,53878,53878,53878,53878
1786575600,53881,53883,53881,53883
1786575660,53892,53892,53891,53891
1786575720,53888,53892,53888,53892
1786575780,53894,53894,53894,53894
1786575840,53893,53893,53893,53893
1786575900,53892,53892,53892,53892
1786575960,53891,53892,53891,53892
1786576020,53892,53892,53892,53892
1786576080,53892,53893,53892,53893
1786576140,53895,53897,53894,53896
1786576200,53896,53897,53895,53895
1786576260,53895,53899,53895,53896
1786576320,53896,53898,53896,53898
1786576380,53899,53899,53896,53896
1786576440,53898,53899,53898,53899
1786576560,53901,53901,53901,53901
1786576620,53898,53898,53897,53897
1786576680,53898,53898,53896,53896
1786576860,53900,53900,53900,53900
1786576920,53897,53901,53897,53901
1786576980,53900,53900,53900,53900
1786577040,53900,53900,53900,53900
1786577160,53898,53898,53898,53898
1786577220,53899,53902,53899,53902
1786577280,53901,53901,53901,53901
1786577340,53899,53900,53899,53900
1786577400,53898,53898,53897,53897
1786577520,53896,53896,53893,53895
1786577580,53894,53896,53894,53896
1786577640,53898,53898,53892,53893
1786577760,53895,53896,53895,53896
1786577820,53896,53897,53896,53896
1786577940,53897,53897,53897,53897
1786578000,53898,53898,53896,53896
1786578060,53896,53896,53896,53896
1786578120,53896,53897,53896,53897
1786578180,53898,53898,53897,53897
1786578300,53895,53895,53890,53891
1786578360,53889,53889,53884,53888
1786578420,53884,53886,53883,53886
1786578480,53885,53885,53877,53877
1786578540,53879,53880,53875,53880
1786578600,53882,53884,53882,53883
1786578660,53885,53885,53885,53885
1786578780,53883,53883,53883,53883
1786578840,53883,53883,53883,53883
1786578900,53884,53884,53882,53882
1786579020,53882,53883,53881,53881
1786579140,53882,53882,53875,53876
1786579200,53876,53879,53866,53873
1786579260,53876,53880,53874,53878
1786579320,53879,53879,53874,53876
1786579380,53876,53881,53876,53881
1786579440,53883,53884,53879,53879
1786579500,53877,53878,53874,53875
1786579560,53879,53881,53874,53874
1786579620,53876,53884,53876,53881
1786579680,53877,53878,53877,53878
1786579740,53874,53875,53869,53871
1786579800,53871,53879,53869,53873
1786579860,53872,53872,53859,53860
1786579920,53860,53861,53854,53861
1786579980,53862,53864,53861,53864
1786580040,53867,53867,53856,53856
1786580100,53856,53856,53849,53849
1786580160,53845,53848,53845,53847
1786580220,53844,53844,53841,53844
1786580280,53851,53852,53849,53849
1786580340,53848,53848,53844,53845
1786580400,53846,53846,53839,53839
1786580460,53840,53843,53840,53841
1786580520,53843,53844,53840,53842
1786580580,53844,53848,53840,53843
1786580640,53844,53857,53840,53856
1786580700,53855,53855,53848,53849
1786580760,53848,53849,53840,53840
1786580820,53841,53843,53841,53843
1786580880,53840,53840,53837,53839
1786580940,53838,53838,53836,53836
1786581000,53837,53837,53837,53837
1786581060,53836,53839,53835,53838
1786581120,53837,53843,53837,53842
1786581180,53841,53841,53838,53840
1786581240,53842,53852,53842,53851
1786581300,53848,53851,53848,53850
1786581360,53850,53850,53850,53850
1786581420,53847,53847,53847,53847
1786581480,53843,53843,53837,53837
1786581540,53837,53839,53837,53837
1786581600,53836,53836,53830,53835
1786581660,53837,53838,53836,53836
1786581720,53832,53832,53829,53830
1786581780,53828,53832,53828,53832
1786581840,53835,53841,53835,53839
1786581900,53841,53844,53841,53842
1786581960,53845,53845,53844,53844
1786582020,53840,53840,53837,53839
1786582080,53838,53843,53838,53843
1786582140,53841,53841,53839,53839
1786582200,53838,53846,53838,53844
1786582260,53843,53843,53838,53839
1786582320,53839,53843,53837,53842
1786582380,53844,53845,53842,53843
1786582440,53841,53841,53841,53841
1786582500,53838,53838,53838,53838
1786582560,53838,53844,53838,53843
