time,open,high,low,close
1785238440,27888.25,27895.5,27874.5,27876.25
1785238500,27875,27882.75,27873.25,27878.75
1785238560,27880.75,27929.25,27874,27910
1785238620,27909,27912.25,27897,27900.75
1785238680,27899.75,27907,27894,27894
1785238740,27893.5,27893.5,27871.25,27872
1785238800,27872.75,27872.75,27855.5,27860.5
1785238860,27860.25,27861.5,27848.25,27856
1785238920,27857,27860.75,27850.25,27856
1785238980,27855.5,27869.25,27855.5,27862
1785239040,27861.75,27877.75,27858,27863.75
1785239100,27862.5,27883.5,27859.75,27883.5
1785239160,27883.5,27895.75,27879.5,27892
1785239220,27893.75,27913.75,27890.75,27909.5
1785239280,27911.25,27919.75,27908.5,27916.5
1785239340,27916.5,27920.25,27906.25,27910.5
1785239400,27910.25,27915.5,27898.75,27904
1785239460,27907.5,27923.5,27906.25,27922.25
1785239520,27922.75,27927.75,27918.75,27921.5
1785239580,27919.25,27921.5,27911.25,27919.75
1785239640,27916.75,27924,27914,27919
1785239700,27919,27932.75,27919,27923
1785239760,27922.25,27932.5,27918.75,27928
1785239820,27930,27937,27926,27927.5
1785239880,27927.75,27959.25,27926.75,27958
1785239940,27957.25,27975,27957.25,27963.75
1785240000,27962.5,27976.5,27960.5,27968
1785240060,27967.25,27972.75,27956,27958.25
1785240120,27958.25,27967.5,27954,27966
1785240180,27966.5,27973.75,27959,27972
1785240240,27972,27993.75,27969.75,27983
1785240300,27984.25,27991.5,27978,27986.75
1785240360,27987.5,28001.75,27981,27981.75
1785240420,27981,27988.5,27975.25,27975.25
1785240480,27975,27978.75,27970,27971
1785240540,27970.75,27989.5,27970.75,27978.75
1785240600,27978.25,27982.75,27958.75,27966.75
1785240660,27967.25,27968.75,27958.25,27958.25
1785240720,27958,27965.75,27955.25,27957
1785240780,27956.25,27961.5,27949.25,27960.75
1785240840,27961.25,27968,27958.75,27963
1785240900,27967,27967.5,27950,27954.25
1785240960,27954,27960.75,27949.5,27960.75
1785241020,27958.75,27965.25,27957.25,27959.25
1785241080,27960.75,27970,27958,27968.25
1785241140,27966.5,27973.25,27960.25,27968.25
1785241200,27970,27970.5,27958.5,27963.25
1785241260,27963.5,27976.75,27960.75,27974.25
1785241320,27973.75,27973.75,27963.25,27964
1785241380,27964,27980,27961.25,27968
1785241440,27965.25,27977.25,27954.25,27975.25
1785241500,27976,27994.25,27970,27992
1785241560,27992.5,27996.75,27984,27989
1785241620,27991,28018.5,27988.25,28012.75
1785241680,28009.75,28011.5,27997.5,27997.5
1785241740,27998.25,28012,27995.75,28010
1785241800,28010.75,28027.75,28004.75,28022
1785241860,28022,28023.25,27992.5,28003.25
1785241920,28003.5,28011.5,28001.25,28009.5
1785241980,28010.25,28016,27993.75,27995.25
1785242040,27996.75,28001,27967.5,27979
1785242100,27979,27986,27971.5,27980
1785242160,27978.25,27998.5,27968.5,27991
1785242220,27990.5,27994.5,27969,27973.5
1785242280,27973.75,27982.5,27970.75,27973.25
1785242340,27972.25,27973.75,27964.75,27966
1785242400,27966,27981.5,27961.25,27964.25
1785242460,27963.75,27970.25,27956.25,27967.5
1785242520,27967.5,27998.25,27965.5,27990.75
1785242580,27991.25,28007,27989.25,27999.25
1785242640,28000.75,28018,27998.5,28009.5
1785242700,28010.5,28014.5,28005.75,28012
1785242760,28012.25,28032.75,28009.75,28019.5
1785242820,28019.5,28025.5,28013.5,28017.75
1785242880,28017.5,28018.25,28007.75,28011.25
1785242940,28011.75,28018.5,28001.25,28006.5
1785243000,28007.5,28010.5,27982.5,27982.75
1785243060,27982.25,27988.5,27977.5,27987.25
1785243120,27988.25,27992.5,27984.5,27985.25
1785243180,27984.5,27990.75,27982,27984
1785243240,27983.5,28013.25,27982.25,28007.75
1785243300,28009.25,28017.5,28004.75,28010.25
1785243360,28011.25,28016.75,28007,28012.5
1785243420,28012.25,28015.5,28007.25,28009.25
1785243480,28009,28009,27993.5,27995
1785243540,27997,27998.25,27992,27993.25
1785243600,27993.75,28004.5,27985,27986.5
1785243660,27986,27992.5,27977.25,27986
1785243720,27985.75,27992.5,27980,27984.75
1785243780,27984.5,27992.5,27974.5,27979.75
1785243840,27978.5,27985.75,27976.25,27980
1785243900,27977.5,27983,27974,27983
1785243960,27982.5,28011.5,27982.5,28006.5
1785244020,28006,28016,28005.25,28015.5
1785244080,28015.5,28027.75,28010.25,28019.75
1785244140,28020.25,28024.5,28016.5,28018
1785244200,28017,28023,28010.5,28020.25
1785244260,28020,28022,28000.75,28003.75
1785244320,28004.75,28008.5,27998.5,28000.75
1785244380,28000.25,28006.25,27999.25,28004
1785244440,28003.25,28005.25,27996.25,28001.25
1785244500,28003,28003.75,27994.75,28001
1785244560,28001,28007.5,27997.25,28003.75
1785244620,28004.5,28014.75,28002.25,28009
1785244680,28007,28028.5,28006.5,28028.25
1785244740,28028.25,28028.25,28011.75,28013.5
1785244800,28013.5,28021,28010.5,28018
1785244860,28017.5,28020.75,28009.25,28016.75
1785244920,28017.25,28019.5,27994.25,27997.5
1785244980,27997,27999.25,27986,27987
1785245040,27988,27999,27986.5,27998.5
1785245100,27998,27998,27969,27978
1785245160,27980.25,27980.75,27968,27976
1785245220,27975.75,27977,27952.25,27967.75
1785245280,27965,27965,27938.25,27948
1785245340,27947.75,27955.5,27938,27949
1785245400,27950,27992,27928.75,27943.5
1785245460,27945.5,27949,27899.25,27910.5
1785245520,27910.5,27918,27871.25,27898.5
1785245580,27896.75,27918.25,27883.25,27903.75
1785245640,27904.5,27916.75,27875.75,27877
